"","Drug_brand_name","Sponsor","Properties","Indication","DrugId","DiseaseId","TA","Year","OriginalDrugId"
"1","Concizumab","Novo Nordisk","TFPI-targeted mAb","Haemophilia A and B","CHEMBL4297730","MONDO_0010602","Other",2023,"CHEMBL4297730"
"2","Concizumab","Novo Nordisk","TFPI-targeted mAb","Haemophilia A and B","CHEMBL4297730","MONDO_0010604","Other",2023,"CHEMBL4297730"
"3","Donanemab","Eli Lilly","Amyloid-beta-targeted mAb","Alzheimer disease","CHEMBL4297245","MONDO_0004975","Other",2023,"CHEMBL4297245"
"4","Lecanemab","Eisai/Biogen","Amyloid-beta-targeted mAb","Alzheimer disease","CHEMBL3833321","MONDO_0004975","Other",2023,"CHEMBL3833321"
"5","Momelotinib","GSK/Sierra Oncology","ALK2, JAK1 and JAK2 inhibitor","Myelofibrosis","CHEMBL1078178","MONDO_0044903","Oncology",2023,"CHEMBL1078178"
"6","Nedosiran","Novo Nordisk","LDH-targeted siRNA","Hyperoxaluria","CHEMBL4594338","MONDO_0002474","Other",2023,"CHEMBL4594338"
"7","Olorofim","F2G","Dihydroorotate dehydrogenase inhibitor","Fungal infections","CHEMBL4297609","MONDO_0002041","Infectious",2023,"CHEMBL4297609"
"8","Repotrectinib","Bristol Myers Squibb/Turning Point","ROS1 inhibitor","ROS1+ NSCLC","CHEMBL4298138","EFO_0003060","Oncology",2023,"CHEMBL4298138"
"9","Talquetamab","J&J","GPRC5D _ CD3 bispecific antibody","Multiple myeloma","CHEMBL4594503","EFO_0001378","Oncology",2023,"CHEMBL4594503"
"10","Tofersen","Biogen/Ionis","SOD1 antisense agent","SOD1-mutated ALS","CHEMBL3833346","MONDO_0004976","Other",2023,"CHEMBL3833346"
"11","Valoctocogene roxaparvovec","BioMarin","Factor VIII gene therapy","Haemophilia A","CHEMBL4297579","MONDO_0010602","Other",2023,"CHEMBL4297579"
"12","Zuranolone","Sage/Biogen","GABAA�receptor positive allosteric modulator","MDD and postpartum depression","CHEMBL4105630","MONDO_0002009","Psychiatric",2023,"CHEMBL4105630"
"13","Zuranolone","Sage/Biogen","GABAA�receptor positive allosteric modulator","MDD and postpartum depression","CHEMBL4105630","EFO_0007453","Psychiatric",2023,"CHEMBL4105630"
"14","Abrocitinib","Pfizer","JAK inhibitor","Atopic dermatitis","CHEMBL3655081","EFO_0000274","Dermatology",2022,"CHEMBL3655081"
"15","Adagrasib","Mirati","KRAS-G12C inhibitor","KRASG12C-mutated NSCLC","CHEMBL4594350","EFO_0003060","Oncology",2022,"CHEMBL4594350"
"16","Daridorexant","Idorsia","Orexin receptor antagonist","Insomnia","CHEMBL4297590","EFO_0004698","Other",2022,"CHEMBL4297590"
"17","Daridorexant","Idorsia","Orexin receptor antagonist","Insomnia","CHEMBL4297590","EFO_0005271","Other",2022,"CHEMBL4297590"
"18","DaxibotulinumtoxinA","Revance","Botulinum toxin","Glabellar lines","CHEMBL3707359","HP_0009762","Other",2022,"CHEMBL3707359"
"19","Deucravacitinib","Bristol Myers Squibb","TYK2 inhibitor","Plaque psoriasis","CHEMBL4435170","EFO_1001494","Dermatology",2022,"CHEMBL4435170"
