is_oncology,has_genetics,is_orphan,expedited
0,0,0,1
0,1,0,0
0,0,1,0
0,1,0,1
0,1,0,0
0,1,0,1
0,1,0,0
0,1,0,1
0,0,0,0
0,0,0,0
0,0,1,0
1,1,1,1
1,1,1,1
1,1,1,1
0,1,1,1
0,1,0,1
0,1,0,0
0,1,1,0
0,1,0,0
0,1,1,0
1,0,1,0
0,1,0,0
0,1,1,1
1,1,0,1
0,1,0,0
1,1,0,1
0,0,1,0
1,1,0,1
0,1,0,1
0,1,1,0
0,1,1,0
1,1,1,1
1,1,0,0
0,1,0,1
1,1,1,1
1,1,1,1
1,1,0,0
0,1,0,0
0,1,0,1
0,1,0,0
0,0,0,0
0,1,1,0
1,1,0,1
0,1,1,0
0,1,0,1
0,1,1,1
1,1,1,1
0,1,0,1
0,1,1,1
0,0,1,1
0,1,0,1
0,1,1,0
1,1,1,1
0,1,0,1
0,1,0,1
1,1,0,1
0,0,1,0
1,1,1,1
0,1,1,1
1,1,1,1
0,0,0,1
1,1,1,1
1,1,0,1
0,0,0,0
0,1,1,0
0,1,1,1
0,1,1,1
0,1,0,1
0,1,0,0
0,1,1,1
1,1,0,1
1,0,1,1
0,0,0,1
0,1,1,1
0,1,1,1
1,1,0,1
1,1,1,1
0,0,1,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
1,1,1,1
0,1,0,0
0,1,1,0
0,1,1,1
0,1,0,1
1,1,1,1
0,1,0,1
0,1,1,1
1,1,0,1
0,0,0,0
0,0,0,1
0,1,0,1
0,1,0,0
1,1,1,0
0,1,1,1
0,1,1,0
0,1,1,1
1,1,1,1
1,1,0,1
0,0,0,0
0,1,1,1
1,1,1,1
0,0,0,1
0,1,1,1
0,1,0,1
1,1,0,1
0,0,1,0
1,1,0,1
0,1,1,0
1,1,1,1
0,1,0,1
1,1,1,1
1,1,1,0
0,1,1,1
0,1,1,1
0,1,0,1
0,1,1,0
0,1,0,0
0,1,0,1
1,1,0,1
0,0,0,0
1,1,1,1
0,1,0,1
0,0,0,0
0,1,0,1
0,1,1,0
1,0,1,1
1,0,0,1
1,1,0,1
0,1,0,0
0,0,1,1
0,1,1,1
1,1,1,1
0,1,1,0
1,1,1,1
1,1,0,1
0,1,0,0
1,1,1,1
0,1,1,1
1,1,1,1
1,1,0,1
0,0,1,1
1,1,0,1
1,1,1,1
1,1,0,1
0,1,1,1
1,1,0,1
0,1,0,0
0,0,1,0
1,1,1,1
1,1,1,1
0,1,0,0
1,1,0,1
0,0,1,0
1,1,1,1
1,1,1,0
0,1,1,1
1,1,0,1
0,0,0,0
0,1,0,0
0,0,1,0
0,1,1,1
0,1,1,1
0,1,0,0
1,1,0,0
0,1,1,0
0,1,0,1
0,1,0,0
0,0,1,0
0,1,1,0
0,1,1,1
1,1,1,1
0,1,0,1
0,1,0,0
1,1,0,1
0,1,1,1
0,1,0,1
0,1,0,1
0,1,0,0
0,1,0,1
0,0,0,1
1,1,1,0
0,1,0,1
0,0,0,1
0,1,0,0
0,0,0,0
0,1,1,0
0,1,1,1
1,0,1,1
1,1,1,1
0,1,0,0
1,1,0,1
0,1,1,1
0,1,1,1
0,0,0,1
0,1,0,0
0,1,1,0
0,1,1,1
0,1,1,1
0,0,0,1
0,1,0,0
0,1,0,0
1,1,1,1
0,1,1,0
1,1,1,1
1,1,0,1
0,0,0,0
1,1,1,1
1,1,1,1
1,1,0,1
0,1,1,0
1,1,1,1
1,1,0,1
0,1,1,1
0,0,1,1
0,1,0,1
0,0,1,0
1,1,0,1
0,1,0,0
0,1,1,0
0,1,0,1
0,1,1,0
1,1,1,1
0,1,0,1
0,1,0,0
0,0,1,0
1,1,1,0
0,0,0,1
0,0,0,1
0,1,0,0
0,1,1,0
1,1,1,1
1,1,0,1
1,1,1,1
1,1,1,1
0,1,1,1
1,1,0,0
0,1,1,0
1,1,1,1
0,1,0,1
0,1,0,0
0,1,1,0
0,1,0,0
0,1,0,0
0,1,0,0
0,0,1,1
0,1,0,1
0,1,1,0
0,1,0,1
0,1,0,0
0,1,1,1
0,1,0,1
0,0,1,0
1,1,1,1
1,1,1,1
1,1,1,1
0,0,0,1
0,0,0,0
1,1,0,1
0,1,1,0
0,1,1,0
0,0,1,0
1,1,0,1
1,1,0,1
0,1,1,0
1,1,1,1
0,1,1,1
0,0,1,1
1,1,1,1
0,0,0,1
0,1,1,1
1,1,1,1
1,1,0,1
0,1,0,1
0,1,1,0
0,1,0,1
1,1,1,1
0,1,0,1
0,0,0,0
0,1,1,0
1,1,1,1
1,1,1,1
1,1,0,1
0,1,0,0
0,1,0,1
0,1,1,0
1,1,1,1
0,1,1,0
0,0,1,1
0,0,0,0
0,1,0,0
0,0,0,0
1,1,0,1
0,1,0,1
1,1,0,1
0,0,0,1
0,1,1,1
0,1,1,1
1,1,0,1
0,1,1,0
1,1,1,1
1,1,0,1
0,1,0,1
0,1,0,0
0,1,0,0
0,1,0,0
0,1,1,0
0,1,1,1
0,1,1,1
0,0,0,1
0,0,1,0
0,0,1,1
1,1,0,1
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,1
0,0,0,1
0,0,0,1
1,1,1,1
1,1,0,1
0,1,0,0
0,0,1,0
1,1,0,1
0,1,1,0
0,1,0,0
0,0,0,1
0,0,1,1
0,1,0,1
0,1,0,1
0,1,1,0
0,1,1,1
1,1,1,1
1,1,0,1
