"","_1","Drug_name","Brand_name_3","DrugId","Brand_name_5","Sponsor","Properties","Indication","Indication_EFO","DiseaseId","TA","Year","id"
"1",1,"GLUCARPIDASE","Voraxaze",NA,NA,NA,"Recombinant bacterial enzyme that hydrolyses methotrexate","Toxic plasma methotrexate concentrations in patients with delayed methotrexate clearance",NA,NA,NA,2012,"CHEMBL1863515"
"2",2,"INGENOL MEBUTATE","Picato",NA,NA,NA,"MOA unknown","Actinic keratosis","EFO_0002496","actinic keratosis",NA,2012,"CHEMBL1863513"
"3",3,"AXITINIB","Inlyta",NA,NA,NA,"VEGFR1, -2 and -3 inhibitor","Advanced renal cell carcinoma",NA,NA,NA,2012,"CHEMBL1289926"
"4",4,"VISMODEGIB","Erivedge",NA,NA,NA,"Smoothened (Hedgehog pathway) inhibitor","Metastatic or locally advanced basal cell carcinoma",NA,NA,NA,2012,"CHEMBL473417"
"5",5,"IVACAFTOR","Kalydeco",NA,NA,NA,"CFTR potentiator","Cystic fibrosis in patients with the G551D mutation in the CFTR gene",NA,NA,NA,2012,"CHEMBL2010601"
"6",6,"TAFLUPROST","Zioptan",NA,NA,NA,"Selective prostaglandin F prostanoid receptor agonist","Elevated intraocular pressure in patients with open-angle glaucoma or ocular hypertension",NA,NA,NA,2012,"CHEMBL1963683"
"7",7,"LUCINACTANT","Surfaxin",NA,NA,NA,"Pulmonary surfactant","Prevention of respiratory distress syndrome",NA,NA,NA,2012,"CHEMBL1963685"
"8",8,"PEGINESATIDE ACETATE","Omontys",NA,NA,NA,"Synthetic, pegylated erythropoiesis-stimulating agent","Anaemia due to chronic kidney disease",NA,NA,NA,2012,"CHEMBL1963684"
"9",9,"FLORBETAPIR F-18","Amyvid",NA,NA,NA,"Radioactive diagnostic agent","Diagnostic agent to estimate amyloid-β plaques in patients with suspected Alzheimer's disease",NA,NA,NA,2012,NA
"10",10,"AVANAFIL","Stendra",NA,NA,NA,"PDE5 inhibitor","Erectile dysfunction","EFO_0004234","erectile dysfunction",NA,2012,"CHEMBL1963681"
"11",11,"TALIGLUCERASE ALFA","Elelyso",NA,NA,NA,"Recombinant β-glucocerebrosidase; produced in carrot cells","Gaucher's disease","MONDO_0018150","gaucher disease",NA,2012,"CHEMBL1964120"
"12",12,"PERTUZUMAB","Perjeta",NA,NA,NA,"HER2-targeting mAb","HER2-positive metastatic breast cancer",NA,NA,NA,2012,"CHEMBL2007641"
"13",13,"LORCASERIN","Belviq",NA,NA,NA,"5-HT2C receptor agonist","Obesity","EFO_0001073","obesity",NA,2012,"CHEMBL360328"
"14",14,"MIRABEGRON","Myrbetriq",NA,NA,NA,"β3-adrenergic receptor agonist","Overactive bladder","EFO_1000781","overactive bladder",NA,2012,"CHEMBL2095212"
"15",15,"CITRIC ACID","Prepopik",NA,NA,NA,"Osmotic and stimulant laxatives","Cleansing of the colon before colonoscopy",NA,NA,NA,2012,"CHEMBL1261"
"16",15,"MAGNESIUM OXIDE","Prepopik",NA,NA,NA,"Osmotic and stimulant laxatives","Cleansing of the colon before colonoscopy",NA,NA,NA,2012,"CHEMBL1200572"
"17",15,"SODIUM PICOSULFATE","Prepopik",NA,NA,NA,"Osmotic and stimulant laxatives","Cleansing of the colon before colonoscopy",NA,NA,NA,2012,"CHEMBL1697768"
"18",16,"CARFILZOMIB","Kyprolis",NA,NA,NA,"20S proteasome inhibitor","Multiple myeloma","EFO_0001378","multiple myeloma",NA,2012,"CHEMBL451887"
"19",17,"ACLIDINIUM BROMIDE","Tudorza Pressair",NA,NA,NA,"Long-acting antimuscarinic agent","Bronchospasms associated with COPD",NA,NA,NA,2012,"CHEMBL551466"
"20",18,"ZIV-AFLIBERCEPT","Zaltrap",NA,NA,NA,"Recombinant fusion protein that binds VEGFA, VEGFB and PIGF","Metastatic colorectal cancer","EFO_1001480","metastatic colorectal cancer",NA,2012,NA
"21",19,"COBICISTAT","Stribild",NA,NA,NA,"Cytochrome P450 inhibitor; HIV-1 integrase inhibitor; NRTI; acyclic nucleoside phosphonate analogue","HIV-1 infection","EFO_0000180","hiv-1 infection",NA,2012,"CHEMBL2095208"
