"Brand_name","Drug_name_original","Drug_name","Sponsor","DrugId","Properties","Indication","Indication_EFO","DiseaseId","TA","Review_type_2","Year","targetIds"
"Lutathera","Lutetium Lu 177 dotatate","LUTETIUM LU 177 DOTATATE","Advanced Accelerator Applications/Novartis","CHEMBL3989924","Somatostatin receptor-targeted radiopharmaceutical","GEP-NETs","digestive system neuroendocrine neoplasm","MONDO_0024503","Oncology","P, O, F",2018,"ENSG00000139874, ENSG00000162009, ENSG00000278195, ENSG00000132671, ENSG00000180616"
"Biktarvy","Bictegravir; emtricitabine; tenofovir alafenamide","BICTEGRAVIR","Gilead Sciences","CHEMBL3989866","HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors","HIV","hiv infection","EFO_0000764","Other","P",2018,""
"Biktarvy","Bictegravir; emtricitabine; tenofovir alafenamide","EMTRICITABINE","Gilead Sciences","CHEMBL885","HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors","HIV","hiv infection","EFO_0000764","Other","P",2018,""
"Biktarvy","Bictegravir; emtricitabine; tenofovir alafenamide","TENOFOVIR ALAFENAMIDE","Gilead Sciences","CHEMBL2107825","HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors","HIV","hiv infection","EFO_0000764","Other","P",2018,""
"Symdeko","Tezacaftor; ivacaftor","TEZACAFTOR","Vertex Pharmaceuticals","CHEMBL3544914","CFTR corrector and CFTR potentiator","Cystic fibrosis","cystic fibrosis","MONDO_0009061","Other","P, O, B, F",2018,"ENSG00000001626"
"Symdeko","Tezacaftor; ivacaftor","IVACAFTOR","Vertex Pharmaceuticals","CHEMBL2010601","CFTR corrector and CFTR potentiator","Cystic fibrosis","cystic fibrosis","MONDO_0009061","Other","P, O, B, F",2018,"ENSG00000001626"
"Erleada","Apalutamide","APALUTAMIDE","Johnson & Johnson","CHEMBL3183409","Androgen receptor inhibitor","Prostate cancer","prostate cancer","MONDO_0008315","Oncology","P, F",2018,"ENSG00000169083"
"Trogarzo","Ibalizumab","IBALIZUMAB","TaiMed Biologics/Theratechnologies","CHEMBL1743029","CD4 antibody","HIV","hiv infection","EFO_0000764","Other","P, O, B, F",2018,"ENSG00000010610"
"Ilumya","Tildrakizumab","TILDRAKIZUMAB","Sun Pharma","CHEMBL2108681","IL-23 antibody","Plaque psoriasis","psoriasis vulgaris","EFO_1001494","Other","S",2018,"ENSG00000110944, ENSG00000113302"
"Tavalisse","Fostamatinib","FOSTAMATINIB","Rigel Pharmaceuticals","CHEMBL2103830","SYK inhibitor","Immune thrombocytopenic purpura","autoimmune thrombocytopenic purpura","EFO_0007160","Other","S, O",2018,"ENSG00000165025"
"Crysvita","Burosumab","BUROSUMAB","Ultragenyx Pharmaceutical/Kyowa Hakko Kirin","CHEMBL3707326","FGF23 antibody","X-linked hypophosphataemia","Hypophosphatemia","HP_0002148","Other","P, O, B, F",2018,"ENSG00000118972"
"Akynzeo IV","Palonosetron; fosnetupitant","PALONOSETRON","Helsinn Group","CHEMBL1189679","5-HT3-receptor antagonist and NK1-receptor antagonist","Chemotherapy-induced emesis","Chemotherapy-induced nausea and vomiting","EFO_0006911","Other","S",2018,"ENSG00000166736"
"Akynzeo IV","Palonosetron; fosnetupitant","FOSNETUPITANT","Helsinn Group","CHEMBL3989917","5-HT3-receptor antagonist and NK1-receptor antagonist","Chemotherapy-induced emesis","Chemotherapy-induced nausea and vomiting","EFO_0006911","Other","S",2018,"ENSG00000115353"
"Lucemyra","Lofexidine","LOFEXIDINE","US WorldMeds","CHEMBL17860","beta2-adrenoceptor agonist","Opioid withdrawal","opioid dependence","EFO_0005611","Other","P, F",2018,"ENSG00000150594, ENSG00000274286, ENSG00000184160"
"Aimovig","Erenumab","ERENUMAB","Amgen/Novartis","CHEMBL3833329","CGRP receptor antibody","Migraine","migraine disorder","MONDO_0005277","Other","S",2018,"ENSG00000064989"
"Lokelma","Sodium zirconium cyclosilicate","SODIUM ZIRCONIUM CYCLOSILICATE","AstraZeneca","CHEMBL3301592","Potassium binder","Hyperkalaemia","hyperkalemia","HP_0002153","Other","S",2018,""
"Doptelet","Avatrombopag","AVATROMBOPAG","Dova Pharmaceuticals","CHEMBL2103883","Thrombopoietin receptor agonist","Thrombocytopenia","thrombocytopenia","HP_0001873","Other","P",2018,"ENSG00000117400"
"Palynziq","Pegvaliase","PEGVALIASE","BioMarin Pharmaceutical","CHEMBL4297802","PAL replacement therapy","Phenylketonuria","phenylketonuria","MONDO_0009861","Other","P, O, F",2018,""
"Olumiant","Baricitinib","BARICITINIB","Incyte/Eli Lilly","CHEMBL2105759","JAK inhibitor","Rheumatoid arthritis","rheumatoid arthritis","EFO_0000685","Other","S",2018,"ENSG00000096968, ENSG00000162434"
"Moxidectin","Moxidectin","MOXIDECTIN","Medicines Development for Global Health","CHEMBL2104415","Antihelmintic GABA receptor and glutamate channel modulator","River blindness","ocular onchocerciasis","EFO_0007398","Other","P, O",2018,""
