brandDrugName,originalDrugName,drugName,drugId,sponsor,properties,therapeuticArea,indication,diseaseName,diseaseIds,diseaseClass,reviewType,yearApproval
Adempas,Riociguat,RIOCIGUAT,CHEMBL2107834,Bayer,Soluble guanylyl cyclase stimulator,Other indication,Persistent or recurrent chronic thromboembolic pulmonary hypertension and pulmonary arterial hypertension,pulmonary arterial hypertension,EFO_0001361,Serious,"P,O",2013
Anoro Ellipta,"Umeclidinium, vilanterol","UMECLIDINIUM,VILANTEROL","CHEMBL1187833,CHEMBL1198857",GSK,Anticholinergic and a LABA,Other indication,Chronic obstructive pulmonary disease,chronic obstructive pulmonary disease,EFO_0000341,Serious,S,2013
Aptiom,Eslicarbazepine,ESLICARBAZEPINE,CHEMBL315985,Sunovion,"MOA unknown, but thought to involve voltage-gated sodium channels",Other indication,Partial-onset seizures,Seizure,HP_0001250,Not concordant,S,2013
Breo Ellipta,"Fluticasone, vilanterol","FLUTICASONE,VILANTEROL","CHEMBL1473,CHEMBL1198857",GSK,Corticosteroid plus LABA,Other indication,Chronic obstructive pulmonary disease,chronic obstructive pulmonary disease,EFO_0000341,Serious,S,2013
Brintellix,Vortioxetine,VORTIOXETINE,CHEMBL2104993,Takeda,Serotonin reuptake inhibitor,Other indication,Major depressive disorder,major depressive disorder,MONDO_0002009,Not serious,S,2013
Dotarem,Gadoterate meglumine,GADOTERATEMEGLUMINE,CHEMBL2219415,Guerbet,Gadolinium-based contrast agent,No human target,Contrast agent to visualize disruption of the blood-brain barrier,NA,NA,NA,P,2013
Duavee,"Bazedoxifene acetate, oestrogens","BAZEDOXIFENEACETATE,ESTROGENS,CONJUGATED","CHEMBL2106615,CHEMBL1201649",Pfizer,Conjugated oestrogens with an oestrogen receptor modulator,Other indication,Moderate to Serious vasomotor symptoms associated with menopause and prevention of postmenopausal osteoporosis,menopause; postmenopausal osteoporosis,"EFO_0003922,EFO_0003854",Not serious,S,2013
Gazyva,Obinutuzumab,OBINUTUZUMAB,CHEMBL1743048,Genentech,Humanized CD20-specific monoclonal antibody,Oncology,Previously untreated chronic lymphocytic leukaemia,chronic lymphocytic leukemia,EFO_0000095,Serious,"P,O,B",2013
Gilotrif,Afatinib,AFATINIB,CHEMBL1173655,Boehringer Ingelheim,"EGFR (ERBB1), HER2 (ERBB2), and HER4 (ERRB4) kinase inhibitor",Oncology,First-line treatment of patients with metastatic NSCLC whose tumours have EGFR exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test,non-small cell lung carcinoma,EFO_0003060,Serious,"P,O,F",2013
Imbruvica,Ibrutinib,IBRUTINIB,CHEMBL1873475,Pharmacyclics,Bruton's tyrosine kinase inhibitor,Oncology,Mantle cell lymphoma,Mantle cell lymphoma,EFO_1001469,Serious,"P,O,B,F",2013
Invokana,Canagliflozin,"CANAGLIFLOZIN,CANAGLIFLOZIN","CHEMBL4594217,CHEMBL2048484",Janssen,SGLT2 inhibitor,Other indication,Type 2 diabetes,type 2 diabetes mellitus,MONDO_0005148,Not concordant,S,2013
