"","Drug_name","Brand_name","Sponsor","Properties","Review_type","Year","Indication","Indication_EFO","DiseaseId","TA","Drug_name_original","DrugId"
"1","DAPAGLIFLOZIN","Farxiga","AstraZeneca","SGLT2 inhibitor","S",2014,"Type 2 diabetes","type 2 diabetes mellitus","MONDO_0005148","Metabolic","Dapagliflozin","CHEMBL429910"
"2","TASIMELTEON","Hetlioz","Vanda","Melatonin-receptor agonist","P, O",2014,"Non-24-hour sleep-wake disorder","sleep-wake disorder","MONDO_0003406","Neurological","Tasimelteon","CHEMBL2103822"
"3","ELOSULFASE ALFA","Vimizim","BioMarin","Hydrolytic lysosomal glycosaminoglycan-specific enzyme","P, O",2014,"Mucopolysaccharidosis type IVA","mucopolysaccharidosis type 4A","MONDO_0009659","Metabolic","Elosulfase alfa","CHEMBL2108676"
"4","DROXIDOPA","Northera","Lundbeck","Synthetic amino-acid precursor of noradrenaline; MOA unknown","P, O, A",2014,"Light-headedness in patients with neurogenic orthostatic hypotension","primary orthostatic hypotension","MONDO_0015914","Neurological","Droxidopa","CHEMBL2103827"
"5","METRELEPTIN","Myalept","Amylin","Leptin analogue","P, O",2014,"Leptin deficiency in patients with congenital or acquired generalized lipodystrophy","congenital generalized lipodystrophy","EFO_1000681","Endocrine","Metreleptin","CHEMBL2107857"
"6","FLORBETABEN-F18","Neuraceq","Piramal Imaging","Radioactive diagnostic agent","S",2014,"Imaging of the brain to estimate density of neuritic amyloid-beta plaques","neuritic plaque measurement","EFO_0006798","Imaging","Florbetaben-F18",NA
"7","MILTEFOSINE","Impavido","Knight","MOA unknown","P, O",2014,"Leishmaniasis","Leishmaniasis","EFO_0005044","Infectious","Miltefosine","CHEMBL125"
"8","APREMILAST","Otezla","Celgene","Phosphodiesterase 4 inhibitor","S",2014,"Psoriatic arthritis and plaque psoriasis","psoriatic arthritis; psoriasis vulgaris","EFO_0003778; EFO_1001494","Dermatology","Apremilast","CHEMBL514800"
"9","ALBIGLUTIDE","Tanzeum","GlaxoSmithKline","GLP1-receptor agonist","S",2014,"Type 2 diabetes","type 2 diabetes mellitus","MONDO_0005148","Metabolic","Albiglutide","CHEMBL2107841"
"10","RAMUCIRUMAB","Cyramza","Eli Lilly","VEGFR2 antagonist","P, O",2014,"Gastric cancer","gastric cancer","MONDO_0001056","Oncology","Ramucirumab","CHEMBL1743062"
