Drug_name,Brand_name,Sponsor,Properties,Review_type,Year,Indication,Indication_EFO,DiseaseId,TA,Drug_name_original,DrugId,Why_has_no
DAPAGLIFLOZIN,Farxiga,AstraZeneca,SGLT2 inhibitor,S,2014,Type 2 diabetes,type 2 diabetes mellitus,MONDO_0005148,Metabolic,Dapagliflozin,CHEMBL429910,Related indication (Glycosuria)
TASIMELTEON,Hetlioz,Vanda,Melatonin-receptor agonist,"P, O",2014,Non-24-hour sleep-wake disorder,sleep-wake disorder,MONDO_0003406,Neurological,Tasimelteon,CHEMBL2103822,Related indication (chronotype measurement)
ELOSULFASE ALFA,Vimizim,BioMarin,Hydrolytic lysosomal glycosaminoglycan-specific enzyme,"P, O",2014,Mucopolysaccharidosis type IVA,mucopolysaccharidosis type 4A,MONDO_0009659,Metabolic,Elosulfase alfa,CHEMBL2108676,
DROXIDOPA,Northera,Lundbeck,Synthetic amino-acid precursor of noradrenaline; MOA unknown,"P, O, A",2014,Light-headedness in patients with neurogenic orthostatic hypotension,primary orthostatic hypotension,MONDO_0015914,Neurological,Droxidopa,CHEMBL2103827,
METRELEPTIN,Myalept,Amylin,Leptin analogue,"P, O",2014,Leptin deficiency in patients with congenital or acquired generalized lipodystrophy,congenital generalized lipodystrophy,EFO_1000681,Endocrine,Metreleptin,CHEMBL2107857,
FLORBETABEN-F18,Neuraceq,Piramal Imaging,Radioactive diagnostic agent,S,2014,Imaging of the brain to estimate density of neuritic amyloid-beta plaques,neuritic plaque measurement,EFO_0006798,Imaging,Florbetaben-F18,CHEMBL566752,
MILTEFOSINE,Impavido,Knight,MOA unknown,"P, O",2014,Leishmaniasis,Leishmaniasis,EFO_0005044,Infectious,Miltefosine,CHEMBL125,
APREMILAST,Otezla,Celgene,Phosphodiesterase 4 inhibitor,S,2014,Psoriatic arthritis and plaque psoriasis,psoriatic arthritis; psoriasis vulgaris,EFO_0003778; EFO_1001494,Dermatology,Apremilast,CHEMBL514800,
ALBIGLUTIDE,Tanzeum,GlaxoSmithKline,GLP1-receptor agonist,S,2014,Type 2 diabetes,type 2 diabetes mellitus,MONDO_0005148,Metabolic,Albiglutide,CHEMBL2107841,
RAMUCIRUMAB,Cyramza,Eli Lilly,VEGFR2 antagonist,"P, O",2014,Gastric cancer,gastric cancer,MONDO_0001056,Oncology,Ramucirumab,CHEMBL1743062,
SILTUXIMAB,Sylvant,Janssen Biotech,IL-6-specific antibody,"P, O",2014,Multicentric Castleman's disease,Castleman disease,MONDO_0015564,Other,Siltuximab,CHEMBL1743070,
CERITINIB,Zykadia,Novartis,"Kinase inhibitor against ALK, IGF1R, insulin receptor and ROS1","P, O, B, A",2014,ALK-positive metastatic NSCLC,non-small cell lung carcinoma,EFO_0003060,Oncology,Ceritinib,CHEMBL2403108,
VORAPAXAR,Zontivity,Merck & Co.,Protease-activated receptor 1 antagonist,S,2014,Thrombotic cardiovascular events (after myocardial infarction or with peripheral arterial disease*),myocardial infarction; peripheral arterial disease,EFO_0000612; EFO_0004265,Cardiovascular,Vorapaxar,CHEMBL493982,Related indication (mean corpuscular volume)
VEDOLIZUMAB,Entyvio,Takeda,Integrin-receptor antagonist,P,2014,Ulcerative colitis and Crohn's disease,ulcerative colitis; Crohn's disease,EFO_0000729; EFO_0000384,Gastrointestinal,Vedolizumab,CHEMBL1743087,
DALBAVANCIN,Dalvance,Durata,Semisynthetic lipoglycopeptide,P,2014,ABSSSI (Acute Bacterial Skin and Skin Structure Infections),staphylococcal skin infections,EFO_1001849,Infectious,Dalbavancin,CHEMBL3301669,
EFINACONAZOLE,Jublia,Dow,Azole antifungal,S,2014,Onychomycosis of the toenails,paronychia,EFO_0007421,Dermatology,Efinaconazole,CHEMBL2103877,
TEDIZOLID,Sivextro,Cubist,Oxazolidinone-class antibacterial,P,2014,ABSSSI (Acute Bacterial Skin and Skin Structure Infections),staphylococcal skin infections,EFO_1001849,Infectious,Tedizolid,CHEMBL1257051,
BELINOSTAT,Beleodaq,Spectrum,Histone-deacetylase inhibitor,"P, O, A",2014,Peripheral T-cell lymphoma,unspecified peripheral T-cell lymphoma,EFO_0000211,Hematology,Belinostat,CHEMBL408513,
TAVABOROLE,Kerydin,Anacor,Oxaborole antifungal,S,2014,Onychomycosis of the toenails,paronychia,EFO_0007421,Dermatology,Tavaborole,CHEMBL443052,
IDELALISIB,Zydelig,Gilead Sciences,PI3Kâp110-delta subunit inhibitor,"P, O, B, A",2014,"CLL, B-cell non-Hodgkin lymphoma and SLL",chronic lymphocytic leukemia; B-cell non-Hodgkins lymphoma,EFO_0000095; EFO_1001938,Hematology,Idelalisib,CHEMBL2216870,
OLODATEROL,Striverdi Respimat,Boehringer Ingelheim,Long-acting beta2-adrenoceptor agonist,S,2014,COPD,chronic obstructive pulmonary disease,EFO_0000341,Respiratory,Olodaterol,CHEMBL605846,
EMPAGLIFLOZIN,Jardiance,Boehringer Ingelheim,SGLT2 inhibitor,S,2014,Type 2 diabetes,type 2 diabetes mellitus,MONDO_0005148,Metabolic,Empagliflozin,CHEMBL2107830,Related indication (Glycosuria)
ORITAVANCIN,Orbactiv,The Medicines Company,Semi-synthetic lipoglycopeptide,P,2014,ABSSSI (Acute Bacterial Skin and Skin Structure Infections),staphylococcal skin infections,EFO_1001849,Infectious,Oritavancin,CHEMBL1688530,
SUVOREXANT,Belsomra,Merck & Co.,Orexin-receptor antagonist,S,2014,Insomnia,insomnia,EFO_0004698,Mental health,Suvorexant,CHEMBL1083659,
PEGINTERFERON BETA-1A,Plegridy,Biogen Idec,Long-acting interferon-beta1A,S,2014,Relapsing multiple sclerosis,relapsing-remitting multiple sclerosis,EFO_0003929,Neurological,Peginterferon beta-1A,CHEMBL2108677,Related indication (cytokine measurement)
ELIGLUSTAT,Cerdelga,Genzyme,Glucosylceramide-synthase inhibitor,"P, O",2014,Gaucher's disease,Gaucher disease,MONDO_0018150,Metabolic,Eliglustat,CHEMBL2110588,Related target (SMPD1)
PEMBROLIZUMAB,Keytruda,Merck & Co.,PD1-specific antibody,"P, O, B, A",2014,Metastatic melanoma *and others (2021 approval),metastatic melanoma; cancer,EFO_0002617; MONDO_0004992,Oncology,Pembrolizumab,CHEMBL3137343,"Downstream regulator (CD274), Post-approval"
NALOXEGOL,Movantik,AstraZeneca,Opioid-receptor antagonist,S,2014,Opioid-induced constipation,Constipation,HP_0002019,Gastrointestinal,Naloxegol,CHEMBL2219418,Cohort problem
DULAGLUTIDE,Trulicity,Eli Lilly,GLP1-receptor agonist,S,2014,Type 2 diabetes,type 2 diabetes mellitus,MONDO_0005148,Metabolic,Dulaglutide,CHEMBL2108027,
SULFUR HEXAFLUORIDE LIPID-TYPE A MICROSPHERES,Lumason,Bracco,Ultrasound contrast agent,S,2014,Cardiovascular imaging,NA,NA,Imaging,Sulfur hexafluoride lipid-type A microspheres,NA,
NETUPITANT,Akynzeo,Helsinn,An NK1-receptor antagonist plus a 5-HT3-receptor antagonist,S,2014,Chemotherapy-related nausea,Chemotherapy-induced nausea and vomiting,EFO_0006911,Other,Netupitant; palonosetron,CHEMBL206253,Cohort problem
PALONOSETRON,Akynzeo,Helsinn,An NK1-receptor antagonist plus a 5-HT3-receptor antagonist,S,2014,Chemotherapy-related nausea,Chemotherapy-induced nausea and vomiting,EFO_0006911,Other,Netupitant; palonosetron,CHEMBL1189679,Cohort problem
LEDIPASVIR,Harvoni,Gilead Sciences,An NS5A inhibitor plus an HCV nucleotide-analogue NS5B-polymerase inhibitor,"P, B",2014,Genotype 1 HCV,hepatitis C virus infection,EFO_0003047,Infectious,Ledipasvir; sofosbuvir,CHEMBL2374220,
SOFOSBUVIR,Harvoni,Gilead Sciences,An NS5A inhibitor plus an HCV nucleotide-analogue NS5B-polymerase inhibitor,"P, B",2014,Genotype 1 HCV,hepatitis C virus infection,EFO_0003047,Infectious,Ledipasvir; sofosbuvir,CHEMBL1259059,
PIRFENIDONE,Esbriet,InterMune,MOA unknown,"P, O, B",2014,IPF (idiopathic pulmonary fibrosis),idiopathic pulmonary fibrosis,EFO_0000768,Respiratory,Pirfenidone,CHEMBL1256391,
NINTEDANIB,Ofev,Boehringer Ingelheim,"Kinase inhibitor against PDGFRs, FGFRs, VEGFRs and FLT3","P, O, B",2014,IPF (idiopathic pulmonary fibrosis),idiopathic pulmonary fibrosis,EFO_0000768,Respiratory,Nintedanib,CHEMBL502835,
BLINATUMOMAB,Blincyto,Amgen,CD19- and CD3-bispecific antibody,"P, O, B, A",2014,B-ALL,precursor B-cell acute lymphoblastic leukemia,MONDO_0020511,Oncology,Blinatumomab,CHEMBL1742992,Unknown (cancer immunotherapy)
FINAFLOXACIN,Xtoro,Alcon,Fluoroquinolone antimicrobial,P,2014,Acute otitis externa (swimmer's ear),otitis externa,EFO_0009560,Otolaryngology,Finafloxacin,CHEMBL1908370,
OLAPARIB,Lynparza,AstraZeneca,PARP inhibitor,"P, O, A",2014,Advanced BRCA-mutated ovarian cancer,ovarian cancer,MONDO_0008170,Oncology,Olaparib,CHEMBL521686,
OMBITASVIR,Viekira Pak,AbbVie,An NS5A inhibitor plus an NS3A- and NS4A-protease inhibitor plus a non-nucleoside NS5B-palm-polymerase inhibitor plus a CYP3A inhibitor,"P, B",2014,Chronic HCV genotype 1 infection,hepatitis C virus infection,EFO_0003047,Infectious,Ombitasvir; paritaprevir; dasabuvir; ritonavir,CHEMBL3127326,
PARITAPREVIR,Viekira Pak,AbbVie,An NS5A inhibitor plus an NS3A- and NS4A-protease inhibitor plus a non-nucleoside NS5B-palm-polymerase inhibitor plus a CYP3A inhibitor,"P, B",2014,Chronic HCV genotype 1 infection,hepatitis C virus infection,EFO_0003047,Infectious,Ombitasvir; paritaprevir; dasabuvir; ritonavir,CHEMBL3391662,
DASABUVIR,Viekira Pak,AbbVie,An NS5A inhibitor plus an NS3A- and NS4A-protease inhibitor plus a non-nucleoside NS5B-palm-polymerase inhibitor plus a CYP3A inhibitor,"P, B",2014,Chronic HCV genotype 1 infection,hepatitis C virus infection,EFO_0003047,Infectious,Ombitasvir; paritaprevir; dasabuvir; ritonavir,CHEMBL3137312,
RITONAVIR,Viekira Pak,AbbVie,An NS5A inhibitor plus an NS3A- and NS4A-protease inhibitor plus a non-nucleoside NS5B-palm-polymerase inhibitor plus a CYP3A inhibitor,"P, B",2014,Chronic HCV genotype 1 infection,hepatitis C virus infection,EFO_0003047,Infectious,Ombitasvir; paritaprevir; dasabuvir; ritonavir,CHEMBL163,
CEFTOLOZANE,Zerbaxa,Cubist,A cephalosporin antibacterial plus a beta-lactamase inhibitor,P,2014,Complicated intra-abdominal infections and complicated urinary tract infections,infection,EFO_0000544,Infectious,Ceftolozane; tazobactam,CHEMBL2103872,
TAZOBACTAM,Zerbaxa,Cubist,A cephalosporin antibacterial plus a beta-lactamase inhibitor,P,2014,Complicated intra-abdominal infections and complicated urinary tract infections,infection,EFO_0000544,Infectious,Ceftolozane; tazobactam,CHEMBL404,
PERAMIVIR,Rapivab,BioCryst,Neuraminidase inhibitor,S,2014,Influenza infection,influenza,EFO_0007328,Infectious,Peramivir,CHEMBL3989402,
