Drug_name,Brand_name,Sponsor,Properties,Review type,Year,DiseaseId,Indication_EFO,Indication
Plecanatide,Trulance,Synergy Pharmaceuticals,Guanylate cyclase C agonist,S,2017,HP_0012450,Chronic constipation,Chronic idiopathic constipation
Etelcalcetide,Parsabiv,Amgen/Kai Pharmaceuticals,Calcium-sensing receptor agonist,S,2017,EFO_0008506,hyperparathyroidism,Secondary hyperparathyroidism in patients with chronic kidney disease on haemodialysis
Deflazacort,Emflaza,PTC Therapeutics,Corticosteroid,"P, O",2017,MONDO_0010679,Duchenne muscular dystrophy,Duchenne muscular dystrophy
Brodalumab,Siliq,Valeant Pharmaceuticals,IL-17RA antagonist,S,2017,EFO_1001494,psoriasis vulgaris,Plaque psoriasis
Telotristat etiprate,Xermelo,Lexicon Pharmaceuticals,Tryptophan hydroxylase inhibitor,"P, O",2017,EFO_1000852; HP_0002014,carcinoid syndrome; Diarrhea,Carcinoid syndrome diarrhoea
Ribociclib,Kisqali,Novartis,CDK4/6 inhibitor,"P, B",2017,EFO_0009780,HER2 negative breast carcinoma,"HR-positive, HER2-negative breast cancer"
Safinamide,Xadago,US WorldMeds,MAO-B inhibitor,S,2017,MONDO_0005180,Parkinson disease,Parkinson disease
Naldemedine,Symproic,Shionogi,Opioid antagonist,S,2017,HP_0002019,Constipation,Opioid-induced constipation
Avelumab,Bavencio,Merck KGaA/Pfizer,PDL1-blocking antibody,"P, O, B, A",2017,EFO_1001471,Merkel cell skin cancer,Merkel cell carcinoma
Niraparib,Zejula,Tesaro,PARP inhibitor,"P, O, B",2017,MONDO_0002158; MONDO_0002229; MONDO_0015686,fallopian tube cancer; ovarian epithelial tumor; primary peritoneal carcinoma,"Epithelial ovarian, fallopian tube or primary peritoneal cancer"
Ocrelizumab,Ocrevus,Roche/Genentech,CD20-directed cytolytic antibody,"P, B",2017,EFO_0003840,chronic progressive multiple sclerosis,Relapsing or primary progressive forms of multiple sclerosis
Dupilumab,Dupixent,Regeneron/Sanofi,IL-4Rα antagonist,"P, B",2017,EFO_0000274,atopic eczema,Atopic dermatitis
Deutetrabenazine,Austedo,Teva,VMAT2 inhibitor,"S, O",2017,EFO_0004152; MONDO_0007739,chorea; Huntington disease,Chorea associated with Huntington disease
