,Drug_name,Brand_name,Sponsor,Properties,Review_type,Year,DiseaseId,Indication_EFO,Indication,Drug_name_original,DrugId,TA,Why_no_GE
1,PLECANATIDE,Trulance,Synergy Pharmaceuticals,Guanylate cyclase C agonist,S,2017,HP_0012450,Chronic constipation,Chronic idiopathic constipation,Plecanatide,CHEMBL2103867,Gastrointestinal,Unknown
2,VELCALCETIDE,Parsabiv,Amgen/Kai Pharmaceuticals,Calcium-sensing receptor agonist,S,2017,EFO_0008506,hyperparathyroidism,Secondary hyperparathyroidism in patients with chronic kidney disease on haemodialysis,Etelcalcetide,CHEMBL3545184,Nephrology,
3,DEFLAZACORT,Emflaza,PTC Therapeutics,Corticosteroid,"P, O",2017,MONDO_0010679,Duchenne muscular dystrophy,Duchenne muscular dystrophy,Deflazacort,CHEMBL1201891,Neurological,Unknown
4,BRODALUMAB,Siliq,Valeant Pharmaceuticals,IL-17RA antagonist,S,2017,EFO_1001494,psoriasis vulgaris,Plaque psoriasis,Brodalumab,CHEMBL1742996,Dermatology,
5,TELOTRISTAT ETIPRATE,Xermelo,Lexicon Pharmaceuticals,Tryptophan hydroxylase inhibitor,"P, O",2017,EFO_1000852; HP_0002014,carcinoid syndrome; Diarrhea,Carcinoid syndrome diarrhoea,Telotristat etiprate,CHEMBL3348963,Gastrointestinal,"Unknown, cohort problem"
6,RIBOCICLIB,Kisqali,Novartis,CDK4/6 inhibitor,"P, B",2017,EFO_0009780,HER2 negative breast carcinoma,"HR-positive, HER2-negative breast cancer",Ribociclib,CHEMBL3545110,Oncology,
7,SAFINAMIDE,Xadago,US WorldMeds,MAO-B inhibitor,S,2017,MONDO_0005180,Parkinson disease,Parkinson disease,Safinamide,CHEMBL396778,Neurological,
8,NALDEMEDINE,Symproic,Shionogi,Opioid antagonist,S,2017,HP_0002019,Constipation,Opioid-induced constipation,Naldemedine,CHEMBL2105755,Gastrointestinal,Cohort problem
9,AVELUMAB,Bavencio,Merck KGaA/Pfizer,PDL1-blocking antibody,"P, O, B, A",2017,EFO_1001471,Merkel cell skin cancer,Merkel cell carcinoma,Avelumab,CHEMBL3833373,Oncology,
10,NIRAPARIB,Zejula,Tesaro,PARP inhibitor,"P, O, B",2017,MONDO_0002158; MONDO_0002229; MONDO_0015686,fallopian tube cancer; ovarian epithelial tumor; primary peritoneal carcinoma,"Epithelial ovarian, fallopian tube or primary peritoneal cancer",Niraparib,CHEMBL1094636,Oncology,
11,OCRELIZUMAB,Ocrevus,Roche/Genentech,CD20-directed cytolytic antibody,"P, B",2017,EFO_0003840,chronic progressive multiple sclerosis,Relapsing or primary progressive forms of multiple sclerosis,Ocrelizumab,CHEMBL2108041,Neurological,Unknown
12,DUPILUMAB,Dupixent,Regeneron/Sanofi,IL-4RŒ± antagonist,"P, B",2017,EFO_0000274,atopic eczema,Atopic dermatitis,Dupilumab,CHEMBL2108675,Dermatology,
13,DUTETRABENAZINE,Austedo,Teva,VMAT2 inhibitor,"S, O",2017,EFO_0004152; MONDO_0007739,chorea; Huntington disease,Chorea associated with Huntington disease,Deutetrabenazine,CHEMBL3137326,Neurological,
