"Brand_name","Drug_name_original","Drug_name","Sponsor","DrugId","Properties","Indication","Indication_EFO","DiseaseId","TA","Review_type","Year","targetIds","has_GE","Why_no_GE","Related_indication_MoA","Related_DiseaseId_targetIds"
"Lutathera","Lutetium Lu 177 dotatate","LUTETIUM LU 177 DOTATATE","Advanced Accelerator Applications/Novartis","CHEMBL3989924","Somatostatin receptor-targeted radiopharmaceutical","GEP-NETs","digestive system neuroendocrine neoplasm","MONDO_0024503","Oncology","P, O",2018,"ENSG00000139874; ENSG00000162009; ENSG00000278195; ENSG00000132671; ENSG00000180616",TRUE,NA,NA,NA
"Biktarvy","Bictegravir; emtricitabine; tenofovir alafenamide","BICTEGRAVIR","Gilead Sciences","CHEMBL3989866","HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors","HIV","hiv infection","EFO_0000764","Infectious","P",2018,"",NA,NA,NA,NA
"Biktarvy","Bictegravir; emtricitabine; tenofovir alafenamide","EMTRICITABINE","Gilead Sciences","CHEMBL885","HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors","HIV","hiv infection","EFO_0000764","Infectious","P",2018,"",NA,NA,NA,NA
"Biktarvy","Bictegravir; emtricitabine; tenofovir alafenamide","TENOFOVIR ALAFENAMIDE","Gilead Sciences","CHEMBL2107825","HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors","HIV","hiv infection","EFO_0000764","Infectious","P",2018,"",NA,NA,NA,NA
"Symdeko","Tezacaftor; ivacaftor","TEZACAFTOR","Vertex Pharmaceuticals","CHEMBL3544914","CFTR corrector and CFTR potentiator","Cystic fibrosis","cystic fibrosis","MONDO_0009061","Metabolic","P, O, B",2018,"ENSG00000001626; ENSG00000001626",TRUE,NA,NA,NA
"Symdeko","Tezacaftor; ivacaftor","IVACAFTOR","Vertex Pharmaceuticals","CHEMBL2010601","CFTR corrector and CFTR potentiator","Cystic fibrosis","cystic fibrosis","MONDO_0009061","Metabolic","P, O, B",2018,"ENSG00000001626; ENSG00000001626",TRUE,NA,NA,NA
"Erleada","Apalutamide","APALUTAMIDE","Johnson & Johnson","CHEMBL3183409","Androgen receptor inhibitor","Prostate cancer","prostate cancer","MONDO_0008315","Oncology","P",2018,"ENSG00000169083",TRUE,NA,NA,NA
"Trogarzo","Ibalizumab","IBALIZUMAB","TaiMed Biologics/Theratechnologies","CHEMBL1743029","CD4 antibody","HIV","hiv infection","EFO_0000764","Infectious","P, O, B",2018,"ENSG00000010610",TRUE,NA,NA,NA
"Ilumya","Tildrakizumab","TILDRAKIZUMAB","Sun Pharma","CHEMBL2108681","IL-23 antibody","Plaque psoriasis","psoriasis vulgaris","EFO_1001494","Dermatology","S",2018,"ENSG00000110944; ENSG00000113302",TRUE,NA,NA,NA
"Tavalisse","Fostamatinib","FOSTAMATINIB","Rigel Pharmaceuticals","CHEMBL2103830","SYK inhibitor","Immune thrombocytopenic purpura","autoimmune thrombocytopenic purpura","EFO_0007160","Hematology","S, O",2018,"ENSG00000165025",TRUE,NA,NA,NA
