Brand_name,Drug_name_original,Drug_name,Sponsor,DrugId,Properties,Indication,Indication_EFO,DiseaseId,TA,Review_type,Year,targetIds,has_GE,Why no GE?,Related_indication_MoA,Related_DiseaseId_targetIds
Lutathera,Lutetium Lu 177 dotatate,LUTETIUM LU 177 DOTATATE,Advanced Accelerator Applications/Novartis,CHEMBL3989924,Somatostatin receptor-targeted radiopharmaceutical,GEP-NETs,digestive system neuroendocrine neoplasm,MONDO_0024503,Oncology,"P, O",2018,ENSG00000139874; ENSG00000162009; ENSG00000278195; ENSG00000132671; ENSG00000180616,TRUE,,,
Biktarvy,Bictegravir; emtricitabine; tenofovir alafenamide,BICTEGRAVIR,Gilead Sciences,CHEMBL3989866,HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors,HIV,hiv infection,EFO_0000764,Infectious,P,2018,,NA,,,
Biktarvy,Bictegravir; emtricitabine; tenofovir alafenamide,EMTRICITABINE,Gilead Sciences,CHEMBL885,HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors,HIV,hiv infection,EFO_0000764,Infectious,P,2018,,NA,,,
Biktarvy,Bictegravir; emtricitabine; tenofovir alafenamide,TENOFOVIR ALAFENAMIDE,Gilead Sciences,CHEMBL2107825,HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors,HIV,hiv infection,EFO_0000764,Infectious,P,2018,,NA,,,
Symdeko,Tezacaftor; ivacaftor,TEZACAFTOR,Vertex Pharmaceuticals,CHEMBL3544914,CFTR corrector and CFTR potentiator,Cystic fibrosis,cystic fibrosis,MONDO_0009061,Metabolic,"P, O, B",2018,ENSG00000001626; ENSG00000001626,TRUE,,,
Symdeko,Tezacaftor; ivacaftor,IVACAFTOR,Vertex Pharmaceuticals,CHEMBL2010601,CFTR corrector and CFTR potentiator,Cystic fibrosis,cystic fibrosis,MONDO_0009061,Metabolic,"P, O, B",2018,ENSG00000001626; ENSG00000001626,TRUE,,,
Erleada,Apalutamide,APALUTAMIDE,Johnson & Johnson,CHEMBL3183409,Androgen receptor inhibitor,Prostate cancer,prostate cancer,MONDO_0008315,Oncology,P,2018,ENSG00000169083,TRUE,,,
Trogarzo,Ibalizumab,IBALIZUMAB,TaiMed Biologics/Theratechnologies,CHEMBL1743029,CD4 antibody,HIV,hiv infection,EFO_0000764,Infectious,"P, O, B",2018,ENSG00000010610,TRUE,,,
Ilumya,Tildrakizumab,TILDRAKIZUMAB,Sun Pharma,CHEMBL2108681,IL-23 antibody,Plaque psoriasis,psoriasis vulgaris,EFO_1001494,Dermatology,S,2018,ENSG00000110944; ENSG00000113302,TRUE,,,
Tavalisse,Fostamatinib,FOSTAMATINIB,Rigel Pharmaceuticals,CHEMBL2103830,SYK inhibitor,Immune thrombocytopenic purpura,autoimmune thrombocytopenic purpura,EFO_0007160,Hematology,"S, O",2018,ENSG00000165025,TRUE,,,
Crysvita,Burosumab,BUROSUMAB,Ultragenyx Pharmaceutical/Kyowa Hakko Kirin,CHEMBL3707326,FGF23 antibody,X-linked hypophosphataemia,Hypophosphatemia,HP_0002148,Endocrine,"P, O, B",2018,ENSG00000118972,TRUE,,,
Akynzeo IV,Palonosetron; fosnetupitant,PALONOSETRON,Helsinn Group,CHEMBL1189679,5-HT3-receptor antagonist and NK1-receptor antagonist,Chemotherapy-induced emesis,Chemotherapy-induced nausea and vomiting,EFO_0006911,Other,S,2018,ENSG00000166736,FALSE,Cohort problem,,
Akynzeo IV,Palonosetron; fosnetupitant,FOSNETUPITANT,Helsinn Group,CHEMBL3989917,5-HT3-receptor antagonist and NK1-receptor antagonist,Chemotherapy-induced emesis,Chemotherapy-induced nausea and vomiting,EFO_0006911,Other,S,2018,ENSG00000115353,FALSE,Cohort problem,,
Lucemyra,Lofexidine,LOFEXIDINE,US WorldMeds,CHEMBL17860,beta2-adrenoceptor agonist,Opioid withdrawal,opioid dependence,EFO_0005611,Other,P,2018,ENSG00000150594; ENSG00000274286; ENSG00000184160,FALSE,Unknown,,
Aimovig,Erenumab,ERENUMAB,Amgen/Novartis,CHEMBL3833329,CGRP receptor antibody,Migraine,migraine disorder,MONDO_0005277,Neurological,S,2018,ENSG00000064989,TRUE,,,
Lokelma,Sodium zirconium cyclosilicate,SODIUM ZIRCONIUM CYCLOSILICATE,AstraZeneca,CHEMBL3301592,Potassium binder,Hyperkalaemia,hyperkalemia,HP_0002153,Nephrology,S,2018,,NA,,,
Doptelet,Avatrombopag,AVATROMBOPAG,Dova Pharmaceuticals,CHEMBL2103883,Thrombopoietin receptor agonist,Thrombocytopenia,thrombocytopenia,HP_0001873,Hematology,P,2018,ENSG00000117400,TRUE,,,
Palynziq,Pegvaliase,PEGVALIASE,BioMarin Pharmaceutical,CHEMBL4297802,PAL replacement therapy,Phenylketonuria,phenylketonuria,MONDO_0009861,Metabolic,"P, O",2018,,NA,,,
Olumiant,Baricitinib,BARICITINIB,Incyte/Eli Lilly,CHEMBL2105759,JAK inhibitor,Rheumatoid arthritis,rheumatoid arthritis,EFO_0000685,Immunology,S,2018,ENSG00000096968; ENSG00000162434,TRUE,,,
Moxidectin,Moxidectin,MOXIDECTIN,Medicines Development for Global Health,CHEMBL2104415,Antihelmintic GABA receptor and glutamate channel modulator,River blindness,ocular onchocerciasis,EFO_0007398,Other,"P, O",2018,,NA,,,
Epidiolex,Cannabidiol,CANNABIDIOL,GW Pharmaceuticals,CHEMBL190461,Cannabinoid,Dravet syndrome and Lennox-Gastaut syndrome,Dravet syndrome; Lennox-Gastaut syndrome,Orphanet_33069; MONDO_0016532,Neurological,"P, O",2018,ENSG00000118432,FALSE,,,
Zemdri,Plazomicin,PLAZOMICIN,Achaogen,CHEMBL1650559,Aminoglycoside antibacterial,Urinary tract infections,urinary tract infection,EFO_0003103,Infectious,P,2018,,NA,,,
Mektovi,Binimetinib,BINIMETINIB,Array BioPharma,CHEMBL3187723,MEK inhibitor,BRAF-mutated melanoma,melanoma,EFO_0000756,Oncology,"S, O",2018,ENSG00000126934; ENSG00000169032,TRUE,,,
