Drug_name,Brand_name,Sponsor,Properties,Indication,TA,Review type,Year
Lutetium Lu 177 dotatate ,Lutathera,Advanced Accelerator Applications/Novartis,Somatostatin receptor-targeted radiopharmaceutical,GEP-NETs,,"P, O",2018
Bictegravir; emtricitabine; tenofovir alafenamide ,Biktarvy,Gilead Sciences,HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors,HIV,,P,2018
Tezacaftor; ivacaftor ,Symdeko,Vertex Pharmaceuticals,CFTR corrector and CFTR potentiator,Cystic fibrosis,,"P, O, B",2018
Apalutamide ,Erleada,Johnson & Johnson,Androgen receptor inhibitor,Prostate cancer,,P,2018
Ibalizumab ,Trogarzo,TaiMed Biologics/Theratechnologies,CD4 antibody,HIV,,"P, O, B",2018
Tildrakizumab ,Ilumya,Sun Pharma,IL-23 antibody,Plaque psoriasis,,S,2018
Fostamatinib ,Tavalisse,Rigel Pharmaceuticals,SYK inhibitor,Immune thrombocytopenic purpura,,"S, O",2018
Burosumab ,Crysvita,Ultragenyx Pharmaceutical/Kyowa Hakko Kirin,FGF23 antibody,X-linked hypophosphataemia,,"P, O, B",2018
Palonosetron; fosnetupitant ,Akynzeo IV,Helsinn Group,5-HT3 receptor antagonist and NK1 receptor antagonist,Chemotherapy-induced emesis,,S,2018
Lofexidine ,Lucemyra,US WorldMeds,α2-adrenoceptor agonist,Opioid withdrawal,,P,2018
Erenumab ,Aimovig,Amgen/Novartis,CGRP receptor antibody,Migraine,,S,2018
Sodium zirconium cyclosilicate ,Lokelma,AstraZeneca,Potassium binder,Hyperkalaemia,,S,2018
Avatrombopag ,Doptelet,Dova Pharmaceuticals,Thrombopoietin receptor agonist,Thrombocytopenia,,P,2018
Pegvaliase ,Palynziq,BioMarin Pharmaceutical,PAL replacement therapy,Phenylketonuria,,"P, O",2018
Baricitinib ,Olumiant,Incyte/Eli Lilly,JAK inhibitor,Rheumatoid arthritis,,S,2018
Moxidectin ,NA,Medicines Development for Global Health,Antihelmintic GABA receptor and glutamate channel modulator,River blindness,,"P, O",2018
Cannabidiol ,Epidiolex,GW Pharmaceuticals,Cannabinoid,Dravet syndrome and Lennox–Gastaut syndrome,,"P, O",2018
Plazomicin ,Zemdri,Achaogen,Aminoglycoside antibacterial,Urinary tract infections,,P,2018
Binimetinib ,Mektovi,Array BioPharma,MEK inhibitor,BRAF-mutated melanoma,,"S, O",2018
Encorafenib ,Braftovi,Array BioPharma,BRAF inhibitor,BRAF-mutated melanoma,,"S, O",2018
