"","Drug_name","Brand_name","Sponsor","Properties","Indication","TA","Review_type","Year","Drug_name_original","DrugId"
"1","LUTETIUM LU 177 DOTATATE","Lutathera","Advanced Accelerator Applications/Novartis","Somatostatin receptor-targeted radiopharmaceutical","GEP-NETs",NA,"P, O",2018,"Lutetium Lu 177 dotatate",NA
"2","BICTEGRAVIR","Biktarvy","Gilead Sciences","HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors","HIV",NA,"P",2018,"Bictegravir; emtricitabine; tenofovir alafenamide","CHEMBL3989866"
"3","EMTRICITABINE","Biktarvy","Gilead Sciences","HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors","HIV",NA,"P",2018,"Bictegravir; emtricitabine; tenofovir alafenamide","CHEMBL885"
"4","TENOFOVIR ALAFENAMIDE","Biktarvy","Gilead Sciences","HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors","HIV",NA,"P",2018,"Bictegravir; emtricitabine; tenofovir alafenamide","CHEMBL2107825"
"5","TEZACAFTOR","Symdeko","Vertex Pharmaceuticals","CFTR corrector and CFTR potentiator","Cystic fibrosis",NA,"P, O, B",2018,"Tezacaftor; ivacaftor","CHEMBL3544914"
"6","IVACAFTOR","Symdeko","Vertex Pharmaceuticals","CFTR corrector and CFTR potentiator","Cystic fibrosis",NA,"P, O, B",2018,"Tezacaftor; ivacaftor","CHEMBL2010601"
"7","APALUTAMIDE","Erleada","Johnson & Johnson","Androgen receptor inhibitor","Prostate cancer",NA,"P",2018,"Apalutamide","CHEMBL3183409"
"8","IBALIZUMAB","Trogarzo","TaiMed Biologics/Theratechnologies","CD4 antibody","HIV",NA,"P, O, B",2018,"Ibalizumab","CHEMBL1743029"
"9","TILDRAKIZUMAB","Ilumya","Sun Pharma","IL-23 antibody","Plaque psoriasis",NA,"S",2018,"Tildrakizumab","CHEMBL2108681"
"10","FOSTAMATINIB","Tavalisse","Rigel Pharmaceuticals","SYK inhibitor","Immune thrombocytopenic purpura",NA,"S, O",2018,"Fostamatinib","CHEMBL2103830"
"11","BUROSUMAB","Crysvita","Ultragenyx Pharmaceutical/Kyowa Hakko Kirin","FGF23 antibody","X-linked hypophosphataemia",NA,"P, O, B",2018,"Burosumab","CHEMBL3707326"
"12","PALONOSETRON","Akynzeo IV","Helsinn Group","5-HT3 receptor antagonist and NK1 receptor antagonist","Chemotherapy-induced emesis",NA,"S",2018,"Palonosetron; fosnetupitant","CHEMBL1189679"
"13","FOSNETUPITANT","Akynzeo IV","Helsinn Group","5-HT3 receptor antagonist and NK1 receptor antagonist","Chemotherapy-induced emesis",NA,"S",2018,"Palonosetron; fosnetupitant","CHEMBL3989917"
"14","LOFEXIDINE","Lucemyra","US WorldMeds","α2-adrenoceptor agonist","Opioid withdrawal",NA,"P",2018,"Lofexidine","CHEMBL17860"
"15","ERENUMAB","Aimovig","Amgen/Novartis","CGRP receptor antibody","Migraine",NA,"S",2018,"Erenumab","CHEMBL3833329"
"16","SODIUM ZIRCONIUM CYCLOSILICATE","Lokelma","AstraZeneca","Potassium binder","Hyperkalaemia",NA,"S",2018,"Sodium zirconium cyclosilicate","CHEMBL3301592"
"17","AVATROMBOPAG","Doptelet","Dova Pharmaceuticals","Thrombopoietin receptor agonist","Thrombocytopenia",NA,"P",2018,"Avatrombopag","CHEMBL2103883"
"18","PEGVALIASE","Palynziq","BioMarin Pharmaceutical","PAL replacement therapy","Phenylketonuria",NA,"P, O",2018,"Pegvaliase","CHEMBL4297802"
"19","BARICITINIB","Olumiant","Incyte/Eli Lilly","JAK inhibitor","Rheumatoid arthritis",NA,"S",2018,"Baricitinib","CHEMBL2105759"
"20","MOXIDECTIN",NA,"Medicines Development for Global Health","Antihelmintic GABA receptor and glutamate channel modulator","River blindness",NA,"P, O",2018,"Moxidectin","CHEMBL2104415"
"21","CANNABIDIOL","Epidiolex","GW Pharmaceuticals","Cannabinoid","Dravet syndrome and Lennox–Gastaut syndrome",NA,"P, O",2018,"Cannabidiol","CHEMBL190461"
"22","PLAZOMICIN","Zemdri","Achaogen","Aminoglycoside antibacterial","Urinary tract infections",NA,"P",2018,"Plazomicin","CHEMBL1650559"
"23","BINIMETINIB","Mektovi","Array BioPharma","MEK inhibitor","BRAF-mutated melanoma",NA,"S, O",2018,"Binimetinib","CHEMBL3187723"
"24","ENCORAFENIB","Braftovi","Array BioPharma","BRAF inhibitor","BRAF-mutated melanoma",NA,"S, O",2018,"Encorafenib","CHEMBL3301612"
"25","TECOVIRIMAT","TPOXX","SIGA Technologies","Viral p37 protein inhibitor","Smallpox",NA,"P, O",2018,"Tecovirimat","CHEMBL1257073"
"26","IVOSIDENIB","Tibsovo","Agios Pharmaceuticals","IDH1 inhibitor","IDH1-mutated AML",NA,"P, O",2018,"Ivosidenib","CHEMBL3989958"
"27","TAFENOQUINE","Krintafel","Medicines for Malaria Venture/GlaxoSmithKline","8-Aminoquinoline antimalarial","Plasmodium vivax malaria",NA,"P, O, B",2018,"Tafenoquine","CHEMBL298470"
"28","ELAGOLIX SODIUM","Orilissa","AbbVie","GnRH receptor antagonist","Pain associated with endometriosis",NA,"P",2018,"Elagolix sodium","CHEMBL502182"
"29","FISH OIL TRIGLYCERIDES","Omegaven","Fresenius","Mixture of fatty acids","Parenteral nutrition-associated cholestasis",NA,"P, O",2018,"Fish oil triglycerides","CHEMBL4297535"
"30","LUSUTROMBOPAG","Mulpleta","Shionogi","Thrombopoietin receptor agonist","Thrombocytopenia",NA,"P",2018,"Lusutrombopag","CHEMBL2107831"
"31","MOGAMULIZUMAB","Poteligeo","Kyowa Hakko Kirin","CCR4 antibody","Mycosis fungoides and Sézary syndrome",NA,"P, O, B",2018,"Mogamulizumab","CHEMBL1743041"
"32","PATISIRAN","Onpattro","Alnylam Pharmaceuticals","TTR-directed small interfering RNA","Hereditary TTR-mediated amyloidosis",NA,"P, O, B",2018,"Patisiran","CHEMBL3989987"
"33","SEGESTERONE ACETATE","Annovera","TherapeuticsMD","Progestin and estrogen combined hormonal contraceptive","Female contraception",NA,"S",2018,"Segesterone acetate; ethinyl estradiol vaginal system","CHEMBL3707377"
"34","ETHINYL ESTRADIOL VAGINAL SYSTEM","Annovera","TherapeuticsMD","Progestin and estrogen combined hormonal contraceptive","Female contraception",NA,"S",2018,"Segesterone acetate; ethinyl estradiol vaginal system",NA
"35","MIGALASTAT","Galafold","Amicus Therapeutics","α-galactosidase regulator","Fabry disease",NA,"P, O, A",2018,"Migalastat","CHEMBL110458"
"36","STIRIPENTOL","Diacomit","Biocodex","GABA reuptake inhibitor","Dravet syndrome",NA,"P, O",2018,"Stiripentol","CHEMBL1983350"
"37","CENEGERMIN","Oxervate","Dompé","Recombinant NGF","Neurotrophic keratitis",NA,"P, O, B",2018,"Cenegermin","CHEMBL4297852"
"38","LANADELUMAB","Takhzyro","Dyax/Shire","Kallikrein antibody","Hereditary angioedema",NA,"P, O, B",2018,"Lanadelumab","CHEMBL3545189"
"39","ERAVACYCLINE","Xerava","Tetraphase Pharmaceuticals","Tetracycline antibiotic","Complicated intra-abdominal infections",NA,"P",2018,"Eravacycline","CHEMBL1951095"
"40","DORAVIRINE","Pifeltro","Merck & Co.","NNRTI","HIV",NA,"S",2018,"Doravirine","CHEMBL2364608"
"41","MOXETUMOMAB PASUDOTOX","Lumoxiti","AstraZeneca","CD22-directed antibody–drug conjugate","Hairy cell leukaemia",NA,"P, O",2018,"Moxetumomab pasudotox","CHEMBL1743043"
"42","FREMANEZUMAB","Ajovy","Teva","CGRP antibody","Migraine",NA,"P",2018,"Fremanezumab","CHEMBL4297756"
"43","DUVELISIB","Copiktra","Verastem","PI3K inhibitor","CLL, FL and SLL",NA,"P, O, A",2018,"Duvelisib","CHEMBL3039502"
"44","GALCANEZUMAB","Emgality","Eli Lilly","CGRP antibody","Migraine",NA,"S",2018,"Galcanezumab","CHEMBL3707328"
"45","DACOMITINIB","Vizimpro","Pfizer","EGFR inhibitor","EGFR-mutated NSCLC",NA,"P, O",2018,"Dacomitinib","CHEMBL2105719"
"46","DACOMITINIB","Vizimpro","Pfizer","EGFR inhibitor","EGFR-mutated NSCLC",NA,"P, O",2018,"Dacomitinib","CHEMBL2110732"
"47","CEMIPLIMAB","Libtayo","Regeneron/Sanofi","PD1 antibody","CSCC",NA,"P, B",2018,"Cemiplimab","CHEMBL4297723"
"48","SARECYCLINE","Seysara","Allergan","Tetracycline antibiotic","Severe acne vulgaris",NA,"S",2018,"Sarecycline","CHEMBL2364632"
"49","OMADACYCLINE","Nuzyra","Paratek Pharmaceuticals","Tetracycline antibiotic","CABP and ABSSSI",NA,"P",2018,"Omadacycline","CHEMBL1689772"
"50","ELAPEGADEMASE","Revcovi","Leadiant Biosciences","Recombinant adenosine deaminase","ADA-SCID",NA,"P, O",2018,"Elapegademase","CHEMBL3990026"
"51","INOTERSEN","Tegsedi","Ionis Pharmaceuticals","TTR-directed antisense oligonucleotide","Hereditary TTR-mediated amyloidosis",NA,"P, O",2018,"Inotersen","CHEMBL4297770"
"52","TALAZOPARIB","Talzenna","Pfizer","PARP inhibitor","BRCA-mutated HER2-negative breast cancer",NA,"P",2018,"Talazoparib","CHEMBL3137320"
"53","BALOXAVIR MARBOXIL","Xofluza","Shionogi/Roche","Polymerase acidic endonuclease inhibitor","Acute uncomplicated influenza",NA,"P",2018,"Baloxavir marboxil","CHEMBL4297503"
"54","LORLATINIB","Lorbrena","Pfizer","ALK and ROS1 inhibitor","ALK-positive NSCLC",NA,"P, O, B, A",2018,"Lorlatinib","CHEMBL3286830"
"55","REVEFENACIN","Yupelri","Theravance Biopharma/Mylan","Long-acting muscarinic receptor antagonist","COPD",NA,"S",2018,"Revefenacin","CHEMBL3833319"
"56","RIFAMYCIN","Aemcolo","Cosmo Technologies","Ansamycin antibacterial","Travellers’ diarrhoea",NA,"P",2018,"Rifamycin","CHEMBL437765"
"57","EMAPALUMAB","Gamifant","Novimmune","Interferon-γ-blocking antibody","Primary haemophagocytic lymphohistiocytosis",NA,"P, O, B",2018,"Emapalumab","CHEMBL3989977"
"58","GLASDEGIB","Daurismo","Pfizer","Hedgehog pathway inhibitor","AML",NA,"P, O",2018,"Glasdegib","CHEMBL2043437"
"59","LAROTRECTINIB","Vitrakvi","Loxo Oncology/Bayer","TRKA, TRKB and TRKC inhibitor","NTRK-positive solid cancers",NA,"P, O, B, A",2018,"Larotrectinib","CHEMBL3889654"
"60","GILTERITINIB","Xospata","Astellas","FLT3 inhibitor","FLT3-positive AML",NA,"P, O, B",2018,"Gilteritinib","CHEMBL3301622"
"61","AMIFAMPRIDINE","Firdapse","Catalyst Pharmaceuticals","Potassium channel blocker","Lambert–Eaton myasthenic syndrome",NA,"P, O",2018,"Amifampridine","CHEMBL354077"
"62","PRUCALOPRIDE","Motegrity","Shire/Takeda","5-HT4 receptor agonist","Chronic idiopathic constipation",NA,"S",2018,"Prucalopride","CHEMBL117287"
"63","CALASPARGASE PEGOL","Asparlas","Servier","Asparagine specific enzyme","ALL",NA,"S, O",2018,"Calaspargase pegol","CHEMBL2108728"
"64","RAVULIZUMAB","Ultomiris","Alexion","Complement inhibitor","Paroxysmal nocturnal haemoglobinuria",NA,"S, O",2018,"Ravulizumab","CHEMBL3989986"
"65","TAGRAXOFUSP","Elzonris","Stemline Therapeutics","IL-3 and diphtheria toxin fusion protein","Blastic plasmacytoid dendritic cell neoplasm",NA,"P, O, B",2018,"Tagraxofusp","CHEMBL4297573"
"66","PRABOTULINUMTOXINA","Jeuveau","Evolus","Acetylcholine release inhibitor and a neuromuscular blocking agent","Glabellar lines associated with corrugator and/or procerus muscle activity",NA,"S",2019,"PrabotulinumtoxinA",NA
"67","CAPLACIZUMAB","Cablivi","Sanofi/Ablynx","vWF-directed nanobody","ATTP",NA,"P, O",2019,"Caplacizumab","CHEMBL2109624"
"68","TRICLABENDAZOLE","Egaten","Novartis","Anthelmintic","Fascioliasis",NA,"P, O",2019,"Triclabendazole","CHEMBL1086440"
"69","BREXANOLONE","Zulresso","Sage Therapeutics","GABAA receptor-positive modulator","Postpartum depression",NA,"P, B",2019,"Brexanolone","CHEMBL207538"
"70","SOLRIAMFETOL","Sunosi","Jazz","Dopamine and noradrenaline reuptake inhibitor","Excessive sleepiness due to narcolepsy or obstructive sleep apnoea",NA,"S, O",2019,"Solriamfetol","CHEMBL4297620"
"71","SIPONIMOD","Mayzent","Novartis","S1P receptor modulator","Relapsing forms of multiple sclerosis",NA,"S",2019,"Siponimod","CHEMBL2336071"
"72","ROMOSOZUMAB","Evenity","Amgen","Sclerostin inhibitor","Osteoporosis",NA,"S",2019,"Romosozumab","CHEMBL2107874"
"73","ERDAFITINIB","Balversa","Janssen /J&J","FGFR inhibitor","Bladder cancer",NA,"P, B, A",2019,"Erdafitinib","CHEMBL3545376"
"74","RISANKIZUMAB","Skyrizi","AbbVie","IL-23 antagonist","Plaque psoriasis",NA,"S",2019,"Risankizumab","CHEMBL3990029"
"75","TAFAMIDIS","Vyndaqel","Pfizer/Foldrx","Transthyretin stabilizer","Heart disease caused by ATTR-CM",NA,"P, O, B",2019,"Tafamidis","CHEMBL2103837"
"76","ALPELISIB","Piqray","Novartis","PI3K inhibitor","Breast cancer",NA,"P",2019,"Alpelisib","CHEMBL2396661"
"77","POLATUZUMAB VEDOTIN","Polivy","Roche","CD79b-directed ADC","Diffuse large B-cell lymphoma",NA,"P, O, B, A",2019,"Polatuzumab vedotin","CHEMBL3301582"
"78","BREMELANOTIDE","Vyleesi","Amag","Melanocortin receptor agonist","Hypoactive sexual desire disorder",NA,"S",2019,"Bremelanotide","CHEMBL2070241"
"79","SELINEXOR","Xpovio","Karyopharm Therapeutics","XPO1 inhibitor","Multiple myeloma",NA,"P, O, A",2019,"Selinexor","CHEMBL3545185"
"80","CILASTATIN","Recarbrio","Merck & Co.","A renal dehydropeptidase inhibitor, a penem antibacterial and a β-lactamase inhibitor","Complicated urinary tract and complicated intra-abdominal infections",NA,"P",2019,"Cilastatin; imipenem; relebactam","CHEMBL766"
"81","IMIPENEM","Recarbrio","Merck & Co.","A renal dehydropeptidase inhibitor, a penem antibacterial and a β-lactamase inhibitor","Complicated urinary tract and complicated intra-abdominal infections",NA,"P",2019,"Cilastatin; imipenem; relebactam","CHEMBL43708"
"82","IMIPENEM","Recarbrio","Merck & Co.","A renal dehydropeptidase inhibitor, a penem antibacterial and a β-lactamase inhibitor","Complicated urinary tract and complicated intra-abdominal infections",NA,"P",2019,"Cilastatin; imipenem; relebactam","CHEMBL148"
"83","RELEBACTAM","Recarbrio","Merck & Co.","A renal dehydropeptidase inhibitor, a penem antibacterial and a β-lactamase inhibitor","Complicated urinary tract and complicated intra-abdominal infections",NA,"P",2019,"Cilastatin; imipenem; relebactam","CHEMBL3301605"
"84","RELEBACTAM","Recarbrio","Merck & Co.","A renal dehydropeptidase inhibitor, a penem antibacterial and a β-lactamase inhibitor","Complicated urinary tract and complicated intra-abdominal infections",NA,"P",2019,"Cilastatin; imipenem; relebactam","CHEMBL3112741"
"85","FERRIC MALTOL","Accrufer","Shield Therapeutics","Iron replacement product","Iron deficiency anaemia",NA,"S",2019,"Ferric maltol","CHEMBL4298110"
