Drug_name,Brand_name,Sponsor,DrugId,Properties,Indication,TA,Review_type,Year,Drug_name_original,Indication_EFO,DiseaseId
LUTETIUM LU 177 DOTATATE,Lutathera,Advanced Accelerator Applications/Novartis,CHEMBL3989924,Somatostatin receptor-targeted radiopharmaceutical,GEP-NETs,Imaging,"P, O",2018,Lutetium Lu 177 dotatate,digestive system neuroendocrine neoplasm,MONDO_0024503
BICTEGRAVIR,Biktarvy,Gilead Sciences,CHEMBL3989866,HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors,HIV,Infectious,P,2018,Bictegravir; emtricitabine; tenofovir alafenamide,hiv infection,EFO_0000764
EMTRICITABINE,Biktarvy,Gilead Sciences,CHEMBL885,HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors,HIV,Infectious,P,2018,Bictegravir; emtricitabine; tenofovir alafenamide,hiv infection,EFO_0000764
TENOFOVIR ALAFENAMIDE,Biktarvy,Gilead Sciences,CHEMBL2107825,HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors,HIV,Infectious,P,2018,Bictegravir; emtricitabine; tenofovir alafenamide,hiv infection,EFO_0000764
TEZACAFTOR,Symdeko,Vertex Pharmaceuticals,CHEMBL3544914,CFTR corrector and CFTR potentiator,Cystic fibrosis,Metabolic,"P, O, B",2018,Tezacaftor; ivacaftor,cystic fibrosis,MONDO_0009061
IVACAFTOR,Symdeko,Vertex Pharmaceuticals,CHEMBL2010601,CFTR corrector and CFTR potentiator,Cystic fibrosis,Metabolic,"P, O, B",2018,Tezacaftor; ivacaftor,cystic fibrosis,MONDO_0009061
APALUTAMIDE,Erleada,Johnson & Johnson,CHEMBL3183409,Androgen receptor inhibitor,Prostate cancer,Oncology,P,2018,Apalutamide,prostate cancer,MONDO_0008315
IBALIZUMAB,Trogarzo,TaiMed Biologics/Theratechnologies,CHEMBL1743029,CD4 antibody,HIV,Infectious,"P, O, B",2018,Ibalizumab,hiv infection,EFO_0000764
TILDRAKIZUMAB,Ilumya,Sun Pharma,CHEMBL2108681,IL-23 antibody,Plaque psoriasis,Dermatology,S,2018,Tildrakizumab,psoriasis vulgaris,EFO_1001494
FOSTAMATINIB,Tavalisse,Rigel Pharmaceuticals,CHEMBL2103830,SYK inhibitor,Immune thrombocytopenic purpura,Hematology,"S, O",2018,Fostamatinib,autoimmune thrombocytopenic purpura,EFO_0007160
BUROSUMAB,Crysvita,Ultragenyx Pharmaceutical/Kyowa Hakko Kirin,CHEMBL3707326,FGF23 antibody,X-linked hypophosphataemia,Endocrine,"P, O, B",2018,Burosumab,Hypophosphatemia,HP_0002148
PALONOSETRON,Akynzeo IV,Helsinn Group,CHEMBL1189679,5-HT3-receptor antagonist and NK1-receptor antagonist,Chemotherapy-induced emesis,Other,S,2018,Palonosetron; fosnetupitant,Chemotherapy-induced nausea and vomiting,EFO_0006911
FOSNETUPITANT,Akynzeo IV,Helsinn Group,CHEMBL3989917,5-HT3-receptor antagonist and NK1-receptor antagonist,Chemotherapy-induced emesis,Other,S,2018,Palonosetron; fosnetupitant,Chemotherapy-induced nausea and vomiting,EFO_0006911
LOFEXIDINE,Lucemyra,US WorldMeds,CHEMBL17860,beta2-adrenoceptor agonist,Opioid withdrawal,Other,P,2018,Lofexidine,opioid dependence,EFO_0005611
ERENUMAB,Aimovig,Amgen/Novartis,CHEMBL3833329,CGRP receptor antibody,Migraine,Neurological,S,2018,Erenumab,migraine disorder,MONDO_0005277
SODIUM ZIRCONIUM CYCLOSILICATE,Lokelma,AstraZeneca,CHEMBL3301592,Potassium binder,Hyperkalaemia,Nephrology,S,2018,Sodium zirconium cyclosilicate,hyperkalemia,HP_0002153
AVATROMBOPAG,Doptelet,Dova Pharmaceuticals,CHEMBL2103883,Thrombopoietin receptor agonist,Thrombocytopenia,Hematology,P,2018,Avatrombopag,thrombocytopenia,HP_0001873
PEGVALIASE,Palynziq,BioMarin Pharmaceutical,CHEMBL4297802,PAL replacement therapy,Phenylketonuria,Metabolic,"P, O",2018,Pegvaliase,phenylketonuria,MONDO_0009861
BARICITINIB,Olumiant,Incyte/Eli Lilly,CHEMBL2105759,JAK inhibitor,Rheumatoid arthritis,Immunology,S,2018,Baricitinib,rheumatoid arthritis,EFO_0000685
MOXIDECTIN,Moxidectin,Medicines Development for Global Health,CHEMBL2104415,Antihelmintic GABA receptor and glutamate channel modulator,River blindness,Other,"P, O",2018,Moxidectin,ocular onchocerciasis,EFO_0007398
CANNABIDIOL,Epidiolex,GW Pharmaceuticals,CHEMBL190461,Cannabinoid,Dravet syndrome and Lennox-Gastaut syndrome,Neurological,"P, O",2018,Cannabidiol,Dravet syndrome; Lennox-Gastaut syndrome,Orphanet_33069; MONDO_0016532
PLAZOMICIN,Zemdri,Achaogen,CHEMBL1650559,Aminoglycoside antibacterial,Urinary tract infections,Infectious,P,2018,Plazomicin,urinary tract infection,EFO_0003103
BINIMETINIB,Mektovi,Array BioPharma,CHEMBL3187723,MEK inhibitor,BRAF-mutated melanoma,Oncology,"S, O",2018,Binimetinib,melanoma,EFO_0000756
ENCORAFENIB,Braftovi,Array BioPharma,CHEMBL3301612,BRAF inhibitor,BRAF-mutated melanoma,Oncology,"S, O",2018,Encorafenib,melanoma,EFO_0000756
TECOVIRIMAT,TPOXX,SIGA Technologies,CHEMBL1257073,Viral p37 protein inhibitor,Smallpox,Infectious,"P, O",2018,Tecovirimat,smallpox,MONDO_0004651
IVOSIDENIB,Tibsovo,Agios Pharmaceuticals,CHEMBL3989958,IDH1 inhibitor,"IDH1-mutated AML, Locally Advanced or Metastatic Cholangiocarcinoma (*)",Oncology,"P, O",2018,Ivosidenib,acute myeloid leukemia; cholangiocarcinoma,EFO_0000222; EFO_0005221
TAFENOQUINE,Krintafel,Medicines for Malaria Venture/GlaxoSmithKline,CHEMBL298470,8-Aminoquinoline antimalarial,Plasmodium vivax malaria,Infectious,"P, O, B",2018,Tafenoquine,Plasmodium vivax malaria,EFO_0007445
ELAGOLIX SODIUM,Orilissa,AbbVie,CHEMBL502182,GnRH receptor antagonist,Pain associated with endometriosis,Other,P,2018,Elagolix sodium,adenomyosis; pain,MONDO_0010888; EFO_0003843
FISH OIL TRIGLYCERIDES,Omegaven,Fresenius,CHEMBL4297535,Mixture of fatty acids,Parenteral nutrition-associated cholestasis,Other,"P, O",2018,Fish oil triglycerides,cholestasis,MONDO_0001751
