"","Drug","Brand_name","Sponsor","Properties","Indication","Review","Year","id"
"1","AVAPRITINIB","Ayvakit","Blueprint Medicines","PDGFRA, PDGFRA mutants and KIT kinase inhibitor","GIST with PDGFRA exon 18 mutations","P, O, B",2020,"CHEMBL4204794"
"2","TEPROTUMUMAB","Tepezza","Horizon Therapeutics","IGF1R-directed mAb","Thyroid eye disease","P, O, B",2020,"CHEMBL1743079"
"3","TAZEMETOSTAT","Tazverik","Epizyme","EZH2 inhibitor","Epithelioid sarcoma","P, O, A",2020,"CHEMBL3414621"
"4","LACTITOL","Pizensy","Braintree Labs","Osmotic laxative","Chronic idiopathic constipation","S",2020,"CHEMBL1661"
"5","EPTINEZUMAB","Vyepti","Lundbeck","CGRP-directed mAb","Migraine","S",2020,"CHEMBL3833320"
"6","BEMPEDOIC ACID","Nexletol","Esperion Therapeutics","ACL inhibitor","HeFH or atherosclerotic cardiovascular disease","S",2020,"CHEMBL3545313"
"7","AMISULPRIDE","Barhemsys","Acacia","Dopamine D2 receptor antagonist","Nausea and vomiting after surgery","S",2020,"CHEMBL243712"
"8","RIMEGEPANT","Nurtec ODT","Biohaven","CGRP receptor antagonist","Migraine","S",2020,"CHEMBL2178422"
"9","ISATUXIMAB","Sarclisa","Sanofi","CD38-directed mAb","Multiple myeloma","S, O",2020,"CHEMBL3545131"
"10","OSILODROSTAT","Isturisa","Recordati Rare Diseases","Cortisol synthesis inhibitor","Cushing disease","S, O",2020,"CHEMBL3099695"
"11","OZANIMOD","Zeposia","Celgene/Bristol Myers Squibb","S1P receptor modulator","Multiple sclerosis","S",2020,"CHEMBL3707247"
"12","SELUMETINIB","Koselugo","AstraZeneca","MEK1/2 kinase inhibitor","Neurofibromatosis type 1","P, O, B",2020,"CHEMBL1614701"
"13","TUCATINIB","Tukysa","Seagen","HER2 kinase inhibitor","HER2-positive breast cancer","P, O, B",2020,"CHEMBL3989868"
"14","PEMIGATINIB","Pemazyre","Incyte","FGFR1-3 kinase inhibitor","Cholangiocarcinoma","P, O, B, A",2020,"CHEMBL4297522"
"15","SACITUZUMAB GOVITECAN","Trodelvy","Immunomedics/Gilead","TROP2-directed ADC, with topoisomerase inhibitor","Triple-negative breast cancer","P, B, A",2020,"CHEMBL3545262"
"16","OPICAPONE","Ongentys","Neurocrine","COMT inhibitor","Parkinson disease","S",2020,"CHEMBL1089318"
"17","CAPMATINIB","Tabrecta","Novartis","MET kinase inhibitor","NSCLC","P, O, B, A",2020,"CHEMBL3188267"
"18","SELPERCATINIB","Retevmo","Eli Lilly/Loxo Oncology","RET kinase inhibitor","RET fusion-positive NSCLC and thyroid cancer","P, O, B, A",2020,"CHEMBL4559134"
"19","RIPRETINIB","Qinlock","Deciphera","KIT and PDGFRA kinase inhibitor","GIST","P, O, B",2020,"CHEMBL4216467"
"20","FLUOROESTRADIOL F-18",NA,"Zionexa","Radioactive diagnostic","Imaging, breast cancer","S",2020,"CHEMBL4594261"
"21","ARTESUNATE","Artesunate","Amivas","Artemisinin antimalarial","Severe malaria","P, O, B",2020,"CHEMBL361497"
"22","FLORTAUCIPIR F-18",NA,"Eli Lilly","Radioactive diagnostic","Imaging, tau in Alzheimer disease","P",2020,NA
"23","INEBILIZUMAB","Uplizna","Viela Bio","CD19-directed mAb","NMOSD","S, O, B",2020,"CHEMBL2109334"
"24","LURBINECTEDIN","Zepzelca","Jazz","Alkylating drug","Small-cell lung cancer","P, O, A",2020,"CHEMBL4297516"
"25","TRIHEPTANOIN","Dojolvi","Ultragenyx","Medium-chain triglyceride","LC-FAODs","S, O",2020,"CHEMBL4297585"
"26","FOSTEMSAVIR","Rukobia","ViiV Healthcare","Attachment inhibitor","HIV","P, B",2020,"CHEMBL3301594"
"27","REMIMAZOLAM","Byfavo","Acacia","Benzodiazepine","Procedural sedation","S",2020,"CHEMBL4297526"
"28","CEDAZURIDINE","Inqovi","Otsuka","Cytidine deaminase inhibitor; nucleoside metabolic inhibitor","Myelodysplastic syndromes","P, O",2020,"CHEMBL3237547"
"29","DECITABINE","Inqovi","Otsuka","Cytidine deaminase inhibitor; nucleoside metabolic inhibitor","Myelodysplastic syndromes","P, O",2020,"CHEMBL1201129"
"30","ABAMETAPIR","Xeglyze","Dr Reddy’s","Metalloproteinase inhibitor","Head lice","S",2020,"CHEMBL2205807"
"31","TAFASITAMAB","Monjuvi","MorphoSys","CD19-directed mAb","DLBCL","P, O, B, A",2020,"CHEMBL4298047"
"32","BELANTAMAB MAFODOTIN","Blenrep","GlaxoSmithKline","BCMA-directed ADC, with microtubule inhibitor","Multiple myeloma","P, O, B, A",2020,"CHEMBL4298209"
"33","NIFURTIMOX","Lampit","Bayer","Nitrofuran antiprotozoal","Chagas disease","P, O, A",2020,"CHEMBL290960"
"34","OLICERIDINE","Olinvyk","Trevena","Opioid receptor agonist","Acute pain","S",2020,"CHEMBL2443262"
"35","RISDIPLAM","Evrysdi","Roche/Genentech","SMN2 splicing modifier","Spinal muscular atrophy","P, O",2020,"CHEMBL4297528"
"36","VILTOLARSEN","Viltepso","Nippon Shinyaku","Dystrophin splicing modifier","Duchenne muscular dystrophy","P, O, A",2020,"CHEMBL4298062"
"37","SATRALIZUMAB","Enspryng","Roche/Genentech","IL-6R-directed mAb","NMOSD","S, O, B",2020,"CHEMBL3833307"
"38","CLASCOTERONE","Winlevi","Cassiopea SpA","Androgen receptor inhibitor","Acne vulgaris","S",2020,"CHEMBL3590187"
"39","SOMAPACITAN","Sogroya","Novo Nordisk","Growth hormone analogue","Growth hormone deficiency","S",2020,"CHEMBL3707290"
"40","COPPER DOTATATE CU-64",NA,"Radiomedix","Radioactive diagnostic","Imaging, cancer","P, O",2020,NA
"41","PRALSETINIB","Gavreto","Blueprint Medicines/Roche","RET kinase inhibitor","RET fusion-positive NSCLC","P, O, B, A",2020,"CHEMBL4582651"
"42","ATOLTIVIMAB","Inmazeb","Regeneron","Cocktail of Ebola glycoprotein-directed mAbs","Ebola virus","P, O, B",2020,"CHEMBL4298183"
"43","ODESIVIMAB","Inmazeb","Regeneron","Cocktail of Ebola glycoprotein-directed mAbs","Ebola virus","P, O, B",2020,"CHEMBL4298188"
"44","MAFTIVIMAB","Inmazeb","Regeneron","Cocktail of Ebola glycoprotein-directed mAbs","Ebola virus","P, O, B",2020,"CHEMBL4298184"
"45","REMDESIVIR","Veklury","Gilead","Nucleotide analogue RNA polymerase inhibitor","COVID-19","P",2020,"CHEMBL4065616"
"46","LONAFARNIB","Zokinvy","Eiger","Farnesyltransferase inhibitor","HGPS","P, O, B",2020,"CHEMBL298734"
"47","LUMASIRAN","Oxlumo","Alnylam","HAO1-directed siRNA","Hyperoxaluria type 1","P, O, B",2020,"CHEMBL4297779"
"48","NAXITAMAB","Danyelza","Y-mAbs Therapeutics","GD2-directed mAb","High-risk neuroblastoma","P, O, B, A",2020,"CHEMBL4297984"
"49","SETMELANOTIDE","Imcivree","Rhythm","MC4 receptor agonist","Rare genetic diseases of obesity","P, O, B",2020,"CHEMBL3301624"
"50","PSMA-11 GA-68",NA,"UCLA","Radioactive diagnostic","Imaging, prostate cancer","S",2020,NA
"51","BEROTRALSTAT","Orladeyo","BioCryst","Plasma kallikrein inhibitor","Hereditary angioedema","S, O",2020,"CHEMBL4594271"
"52","TIRBANIBULIN","Klisyri","Athenex","Microtubule inhibitor","Actinic keratosis","S",2020,"CHEMBL571546"
"53","MARGETUXIMAB","Margenza","MacroGenics","HER2-directed mAb","HER2-positive breast cancer","S",2020,"CHEMBL2364649"
"54","RELUGOLIX","Orgovyx","Myovant Sciences","GnRH receptor antagonist","Prostate cancer","P",2020,"CHEMBL1800159"
"55","ANSUVIMAB","Ebanga","Ridgeback","Ebola glycoprotein-directed mAb","Ebola virus","P, O, B",2020,"CHEMBL4594388"
"56","VIBEGRON","Gemtesa","Urovant Sciences","β3-adrenoceptor agonist","Overactive bladder","S",2020,"CHEMBL2107826"
"57","PRABOTULINUMTOXINA","Jeuveau","Evolus","Acetylcholine release inhibitor and a neuromuscular blocking agent","Glabellar lines associated with corrugator and/or procerus muscle activity","S",2019,NA
"58","CAPLACIZUMAB","Cablivi","Sanofi/Ablynx","vWF-directed nanobody","ATTP","P, O",2019,"CHEMBL2109624"
"59","TRICLABENDAZOLE","Egaten","Novartis","Anthelmintic","Fascioliasis","P, O",2019,"CHEMBL1086440"
"60","BREXANOLONE","Zulresso","Sage Therapeutics","GABAA receptor-positive modulator","Postpartum depression","P, B",2019,"CHEMBL207538"
"61","SOLRIAMFETOL","Sunosi","Jazz","Dopamine and noradrenaline reuptake inhibitor","Excessive sleepiness due to narcolepsy or obstructive sleep apnoea","S, O",2019,"CHEMBL4297620"
"62","SIPONIMOD","Mayzent","Novartis","S1P receptor modulator","Relapsing forms of multiple sclerosis","S",2019,"CHEMBL2336071"
"63","ROMOSOZUMAB","Evenity","Amgen","Sclerostin inhibitor","Osteoporosis","S",2019,"CHEMBL2107874"
"64","ERDAFITINIB","Balversa","Janssen /J&J","FGFR inhibitor","Bladder cancer","P, B, A",2019,"CHEMBL3545376"
"65","RISANKIZUMAB","Skyrizi","AbbVie","IL-23 antagonist","Plaque psoriasis","S",2019,"CHEMBL3990029"
"66","TAFAMIDIS","Vyndaqel","Pfizer/Foldrx","Transthyretin stabilizer","Heart disease caused by ATTR-CM","P, O, B",2019,"CHEMBL2103837"
"67","ALPELISIB","Piqray","Novartis","PI3K inhibitor","Breast cancer","P",2019,"CHEMBL2396661"
"68","POLATUZUMAB VEDOTIN","Polivy","Roche","CD79b-directed ADC","Diffuse large B-cell lymphoma","P, O, B, A",2019,"CHEMBL3301582"
"69","BREMELANOTIDE","Vyleesi","Amag","Melanocortin receptor agonist","Hypoactive sexual desire disorder","S",2019,"CHEMBL2070241"
"70","SELINEXOR","Xpovio","Karyopharm Therapeutics","XPO1 inhibitor","Multiple myeloma","P, O, A",2019,"CHEMBL3545185"
"71","CILASTATIN","Recarbrio","Merck & Co.","A renal dehydropeptidase inhibitor, a penem antibacterial and a β-lactamase inhibitor","Complicated urinary tract and complicated intra-abdominal infections","P",2019,"CHEMBL766"
"72","IMIPENEM","Recarbrio","Merck & Co.","A renal dehydropeptidase inhibitor, a penem antibacterial and a β-lactamase inhibitor","Complicated urinary tract and complicated intra-abdominal infections","P",2019,"CHEMBL43708"
"73","IMIPENEM","Recarbrio","Merck & Co.","A renal dehydropeptidase inhibitor, a penem antibacterial and a β-lactamase inhibitor","Complicated urinary tract and complicated intra-abdominal infections","P",2019,"CHEMBL148"
"74","RELEBACTAM","Recarbrio","Merck & Co.","A renal dehydropeptidase inhibitor, a penem antibacterial and a β-lactamase inhibitor","Complicated urinary tract and complicated intra-abdominal infections","P",2019,"CHEMBL3301605"
