,Drug_name,DrugId,Brand_name,Sponsor,Properties,Indication,Indication_curated,Indication_EFO,DiseaseId,TA,Year
1,AVAPRITINIB,CHEMBL4204794,Ayvakit,Blueprint Medicines,"PDGFRA, PDGFRA mutants and KIT kinase inhibitor",GIST with PDGFRA exon 18 mutations,GIST,gastrointestinal stromal tumor,MONDO:0011719,,2020
2,TEPROTUMUMAB,CHEMBL1743079,Tepezza,Horizon Therapeutics,IGF1R-directed mAb,Thyroid eye disease,Thyroid eye disease,Graves disease,EFO_0004237,,2020
3,TAZEMETOSTAT,CHEMBL3414621,Tazverik,Epizyme,EZH2 inhibitor,Epithelioid sarcoma,Epithelioid sarcoma,epithelioid sarcoma,MONDO:0017387,,2020
4,LACTITOL,CHEMBL1661,Pizensy,Braintree Labs,Osmotic laxative,Chronic idiopathic constipation,constipation,migraine disorder,MONDO:0005277,,2020
5,EPTINEZUMAB,CHEMBL3833320,Vyepti,Lundbeck,CGRP-directed mAb,Migraine,Migraine,migraine disorder,MONDO:0005277,,2020
6,BEMPEDOIC ACID,CHEMBL3545313,Nexletol,Esperion Therapeutics,ACL inhibitor,HeFH or atherosclerotic cardiovascular disease,HeFH,atherosclerosis; familial hypercholesterolemia,EFO_0003914; EFO_0004911,,2020
7,AMISULPRIDE,CHEMBL243712,Barhemsys,Acacia,Dopamine D2 receptor antagonist,Nausea and vomiting after surgery,Nausea,multiple sclerosis,MONDO:0005301,,2020
8,RIMEGEPANT,CHEMBL2178422,Nurtec ODT,Biohaven,CGRP receptor antagonist,Migraine,Migraine,migraine disorder,MONDO:0005277,,2020
9,ISATUXIMAB,CHEMBL3545131,Sarclisa,Sanofi,CD38-directed mAb,Multiple myeloma,Multiple myeloma,multiple myeloma,EFO:0001378,,2020
10,OSILODROSTAT,CHEMBL3099695,Isturisa,Recordati Rare Diseases,Cortisol synthesis inhibitor,Cushing disease,Cushing disease,Cushing syndrome,EFO_0003099,,2020
11,OZANIMOD,CHEMBL3707247,Zeposia,Celgene/Bristol Myers Squibb,S1P receptor modulator,Multiple sclerosis,Multiple sclerosis,multiple sclerosis,MONDO:0005301,,2020
12,SELUMETINIB,CHEMBL1614701,Koselugo,AstraZeneca,MEK1/2 kinase inhibitor,Neurofibromatosis type 1,Neurofibromatosis type 1,neurofibromatosis type 1,MONDO:0018975,,2020
13,TUCATINIB,CHEMBL3989868,Tukysa,Seagen,HER2 kinase inhibitor,HER2-positive breast cancer,breast cancer,gastrointestinal stromal tumor,MONDO:0011719,,2020
14,PEMIGATINIB,CHEMBL4297522,Pemazyre,Incyte,FGFR1-3 kinase inhibitor,Cholangiocarcinoma,Cholangiocarcinoma,cholangiocarcinoma,EFO:0005221,,2020
15,SACITUZUMAB GOVITECAN,CHEMBL3545262,Trodelvy,Immunomedics/Gilead,"TROP2-directed ADC, with topoisomerase inhibitor",Triple-negative breast cancer,Triple-negative breast cancer,triple-negative breast cancer,EFO:0005537,,2020
16,OPICAPONE,CHEMBL1089318,Ongentys,Neurocrine,COMT inhibitor,Parkinson disease,Parkinson disease,parkinson disease,MONDO:0005180,,2020
17,CAPMATINIB,CHEMBL3188267,Tabrecta,Novartis,MET kinase inhibitor,NSCLC,NSCLC,non-small cell lung carcinoma,EFO:0003060,,2020
18,SELPERCATINIB,CHEMBL4559134,Retevmo,Eli Lilly/Loxo Oncology,RET kinase inhibitor,RET fusion-positive NSCLC and thyroid cancer,NSCLC,diffuse large b-cell lymphoma,EFO:0000403,,2020
19,RIPRETINIB,CHEMBL4216467,Qinlock,Deciphera,KIT and PDGFRA kinase inhibitor,GIST,GIST,gastrointestinal stromal tumor,MONDO:0011719,,2020
20,FLUOROESTRADIOL F-18,CHEMBL4594261,NA,Zionexa,Radioactive diagnostic,"Imaging, breast cancer","Imaging, breast cancer",NA,NA,,2020
21,ARTESUNATE,CHEMBL361497,Artesunate,Amivas,Artemisinin antimalarial,Severe malaria,Severe malaria,malaria,EFO:0001068,,2020
22,FLORTAUCIPIR F-18,CHEMBL3545253,NA,Eli Lilly,Radioactive diagnostic,"Imaging, tau in Alzheimer disease","Imaging, tau in Alzheimer disease",NA,NA,,2020
23,INEBILIZUMAB,CHEMBL2109334,Uplizna,Viela Bio,CD19-directed mAb,NMOSD,neuromyelitis optica spectrum disorder,neuromyelitis optica,EFO_0004256,,2020
24,LURBINECTEDIN,CHEMBL4297516,Zepzelca,Jazz,Alkylating drug,Small-cell lung cancer,Small cell lung cancer,decreased response to growth hormone stimulation test,HP:0000824,,2020
25,TRIHEPTANOIN,CHEMBL4297585,Dojolvi,Ultragenyx,Medium-chain triglyceride,LC-FAODs,Long-Chain Fatty Acid Oxidation Disorders,inherited fatty acid metabolism disorder,MONDO_0037858,,2020
26,FOSTEMSAVIR,CHEMBL3301594,Rukobia,ViiV Healthcare,Attachment inhibitor,HIV,HIV,hiv infection,EFO:0000764,,2020
27,REMIMAZOLAM,CHEMBL4297526,Byfavo,Acacia,Benzodiazepine,Procedural sedation,sedation,hereditary angioedema,MONDO:0019623,,2020
28,CEDAZURIDINE,CHEMBL3237547,Inqovi,Otsuka,Cytidine deaminase inhibitor; nucleoside metabolic inhibitor,Myelodysplastic syndromes,Myelodysplastic syndromes,myelodysplastic syndrome,EFO:0000198,,2020
29,DECITABINE,CHEMBL1201129,Inqovi,Otsuka,Cytidine deaminase inhibitor; nucleoside metabolic inhibitor,Myelodysplastic syndromes,Myelodysplastic syndromes,myelodysplastic syndrome,EFO:0000198,,2020
30,ABAMETAPIR,CHEMBL2205807,Xeglyze,Dr Reddy’s,Metalloproteinase inhibitor,Head lice,Head lice,lice infestation,MONDO_0003472,,2020
31,TAFASITAMAB,CHEMBL4298047,Monjuvi,MorphoSys,CD19-directed mAb,DLBCL,DLBCL,diffuse large b-cell lymphoma,EFO:0000403,,2020
32,BELANTAMAB MAFODOTIN,CHEMBL4298209,Blenrep,GlaxoSmithKline,"BCMA-directed ADC, with microtubule inhibitor",Multiple myeloma,Multiple myeloma,multiple myeloma,EFO:0001378,,2020
33,NIFURTIMOX,CHEMBL290960,Lampit,Bayer,Nitrofuran antiprotozoal,Chagas disease,Chagas disease,chagas disease,MONDO:0001444,,2020
34,OLICERIDINE,CHEMBL2443262,Olinvyk,Trevena,Opioid receptor agonist,Acute pain,Acute pain,pain,EFO_0003843,,2020
35,RISDIPLAM,CHEMBL4297528,Evrysdi,Roche/Genentech,SMN2 splicing modifier,Spinal muscular atrophy,Spinal muscular atrophy,spinal muscular atrophy,EFO:0008525,,2020
36,VILTOLARSEN,CHEMBL4298062,Viltepso,Nippon Shinyaku,Dystrophin splicing modifier,Duchenne muscular dystrophy,Duchenne muscular dystrophy,duchenne muscular dystrophy,MONDO:0010679,,2020
37,SATRALIZUMAB,CHEMBL3833307,Enspryng,Roche/Genentech,IL-6R-directed mAb,NMOSD,neuromyelitis optica spectrum disorder,neuromyelitis optica,EFO_0004256,,2020
38,CLASCOTERONE,CHEMBL3590187,Winlevi,Cassiopea SpA,Androgen receptor inhibitor,Acne vulgaris,Acne vulgaris,acne,EFO:0003894,,2020
39,SOMAPACITAN,CHEMBL3707290,Sogroya,Novo Nordisk,Growth hormone analogue,Growth hormone deficiency,Growth hormone deficiency,decreased response to growth hormone stimulation test,HP:0000824,,2020
40,COPPER DOTATATE CU-64,CHEMBL4297339,NA,Radiomedix,Radioactive diagnostic,"Imaging, cancer","Imaging, cancer",NA,NA,,2020
41,PRALSETINIB,CHEMBL4582651,Gavreto,Blueprint Medicines/Roche,RET kinase inhibitor,RET fusion-positive NSCLC,NSCLC,tuberculosis,MONDO:0018076,,2020
42,ATOLTIVIMAB,CHEMBL4298183,Inmazeb,Regeneron,Cocktail of Ebola glycoprotein-directed mAbs,Ebola virus,Ebola virus,Ebola hemorrhagic fever,EFO_0007243,,2020
43,ODESIVIMAB,CHEMBL4298188,Inmazeb,Regeneron,Cocktail of Ebola glycoprotein-directed mAbs,Ebola virus,Ebola virus,Ebola hemorrhagic fever,EFO_0007243,,2020
