Drug (brand name),Sponsor,Properties,Indication,DrugId,DiseaseId,TA,Manual disease mapping,ChemblCheck
Vericiguat (Verquvo),Merck & Co./Bayer,sGC stimulator,Chronic heart failure,CHEMBL4066936,EFO_0001645,Cardiovascular,fuzzy,
Cabotegravir; rilpivirine (Cabenuva Kit),ViiV,INSTI and an NNRTI,HIV-1 infection,CHEMBL2403238,EFO_0000180,Infectious,exact,
Voclosporin (Lupkynis),Aurinia,Calcineurin inhibitor,Lupus nephritis,CHEMBL2218919,EFO_0002690,Nephrology,exact,
Tepotinib (Tepmetko),EMD Serono,MET kinase inhibitor,NSCLC,CHEMBL3402762,EFO_0003060,Oncology,exact,
Umbralisib (Ukoniq),TG Therapeutics,PI3Kδ and CK1ε inhibitor,"MZL, follicular lymphoma",CHEMBL3948730,EFO_1000630,Oncology,exact,
Evinacumab (Evkeeza),Regeneron,ANGPTL3-targeted mAb,HoFH,CHEMBL3545191,Orphanet_391665,Metabolic,exact,
Trilaciclib (Cosela),G1 Therapeutics,CDK4 and CDK6 kinase inhibitor,Chemotherapy-induced myelosuppression,CHEMBL3894860,EFO_0000702,Oncology,NA,
Casimersen (Amondys 45),Sarepta,Exon 45-skipping ASO,DMD,CHEMBL4297566,Orphanet_98896,Other,exact,
Fosdenopterin (Nulibry),BridgeBio,cPMP,MoCD type A,CHEMBL2338675,Orphanet_308386,Other,exact,
Melphalan flufenamide (Pepaxto),Oncopeptides,Peptide-conjugated alkylating drug,Multiple myeloma,CHEMBL4303060,EFO_0001378,Oncology,exact,
Dexmethylphenidate; serdexmethylphenidate (Azstarys),Commave Therapeutics,CNS stimulant,ADHD,CHEMBL827,EFO_0003888,Psychiatric,exact,
Tivozanib (Fotivda),Aveo,VEGFR kinase inhibitor,Renal cell carcinoma,CHEMBL1289494,EFO_0000681,Oncology,exact,
Ponesimod (Ponvory),J&J,S1P receptor modulator,Relapsing multiple sclerosis,CHEMBL1096146,EFO_0003885,Other,fuzzy,
Dasiglucagon (Zegalogue),Zealand Pharma,Glucagon receptor agonist,Severe hypoglycaemia,CHEMBL4297741,EFO_0001360,Metabolic,exact,
Viloxazine (Qelbree),Supernus,SNRI,ADHD,CHEMBL306700,EFO_0003888,Psychiatric,exact,
Drospirenone; estetrol (Nextstellis),Mayne Pharma,Spironolactone and oestrogen analogues,To prevent pregnancy,CHEMBL1509,NA,Reproductive,NA,
Dostarlimab (Jemperli),GlaxoSmithKline,PD1-targeted mAb,Endometrial cancer,CHEMBL4298124,MONDO_0011962,Oncology,exact,
Loncastuximab tesirine (Zynlonta),ADC Therapeutics,CD19-targeted ADC,B-cell lymphoma,CHEMBL4297778,EFO_0000403,Oncology,exact,
Pegcetacoplan (Empaveli),Apellis,Complement protein C3 inhibitor,PNH,CHEMBL4298211,Orphanet_447,Other,exact,
Amivantamab (Rybrevant),J&J,EGFR×METR bispecific antibody,EGFR exon 20-mutated NSCLC,CHEMBL4297774,EFO_0003060,Oncology,fuzzy,
Piflufolastat F-18 (Pylarify),Progenics,Radiolabelled PSMA imaging agent,Prostate cancer imaging,NA,NA,Imaging,NA,
Infigratinib (Truseltiq),BridgeBio,FGFR2 kinase inhibitor,FGFR2-mutated bile duct cancer,CHEMBL1852688,EFO_0005540,Oncology,fuzzy,
Sotorasib (Lumakras),Amgen,KRAS-G12C inhibitor,KRASG12C-mutated NSCLC,CHEMBL4535757,EFO_0003060,Oncology,fuzzy,TRUE
Olanzapine; samidorphan (Lybalvi),Alkermes,Atypical antipsychotic and opioid antagonist,Schizophrenia and bipolar I disorder,CHEMBL715,EFO_0000692,Psychiatric,exact,
Ibrexafungerp (Brexafemme),Scynexis,Triterpenoid antifungal,Vulvovaginal candidiasis,CHEMBL4297513,EFO_0007543,Infectious,exact,
Aducanumab (Aduhelm),Biogen/Eisai,Amyloid-β-targeted mAb,Alzheimer’s disease,CHEMBL3039540,EFO_0000249,Other,exact,
Asparaginase erwinia chrysanthemi (Rylaze),Jazz,Recombinant asparagine-specific enzyme,"ALL and LBL, in patients allergic to E. coli-derived products",CHEMBL1863514,EFO_0000220,Oncology,fuzzy,
Finerenone (Kerendia),Bayer,Non-steroidal MR antagonist,CKD with type 2 diabetes,CHEMBL2181927,EFO_0000401,Other,exact,
Fexinidazole (Fexinidazole),Sanofi/DNDi,Nitroimidazole antimicrobial,Sleeping sickness,CHEMBL1631694,DOID_10113,Infectious,exact,
Belumosudil (Rezurock),Kadmon,ROCK2 kinase inhibitor,Chronic GVHD,CHEMBL4594302,MONDO_0013730,Other,exact,
Odevixibat (Bylvay),Albireo,IBAT inhibitor,Pruritus in PFIC,CHEMBL4297588,Orphanet_172,Other,exact,TRUE
Anifrolumab (Saphnelo),AstraZeneca,IFNAR-targeted mAb,SLE,CHEMBL2364653,EFO_0002690,Other,exact,
Avalglucosidase alfa (Nexviazyme),Sanofi,Recombinant α-glucosidase,Pompe disease,CHEMBL4594320,Orphanet_365,Other,fuzzy,
Belzutifan (Welireg),Merck & Co.,HIF-2α inhibitor,von Hippel-Lindau disease,CHEMBL4585668,Orphanet_892,Oncology,exact,TRUE
Difelikefalin (Korsuva),Cara Therapeutics,κ-Opioid receptor agonist,Pruritus associated with CKD,CHEMBL3989915,EFO_0003884,Other,fuzzy,
Lonapegsomatropin (Skytrofa),Ascendis Pharma,PEGylated human growth hormone,Growth failure due to GHD,CHEMBL4298185,HP_0001510,Other,NA,TRUE
Mobocertinib (Exkivity),Takeda,EGFR kinase inhibitor,EGFR exon 20-mutated NSCLC,CHEMBL4650319,EFO_0003060,Oncology,fuzzy,
Tisotumab vedotin (Tivdak),Seagen/Genmab,Tissue-factor-directed ADC,Cervical cancer,CHEMBL4297841,MONDO_0002974,Oncology,exact,
Atogepant (Qulipta),AbbVie,CGRP receptor antagonist,Episodic migraine,CHEMBL3991065,EFO_0003821,Other,fuzzy,
Maralixibat (Livmarli),Mirum,IBAT inhibitor,Pruritus in Alagille syndrome,CHEMBL363392,Orphanet_52,Other,fuzzy,
Avacopan (Tavneos),ChemoCentryx,Complement 5a receptor antagonist,ANCA-associated vasculitis,CHEMBL3989871,EFO_0004826,Cardiovascular,exact,
Asciminib (Scemblix),Novartis,ABL/BCR–ABL1 kinase inhibitor,Ph+ CML,CHEMBL4208229,EFO_0000339,Oncology,fuzzy,
Ropeginterferon alfa-2b (Besremi),Pharmaessentia,PEGylated interferon α-2b,Polycythaemia vera,CHEMBL4297819,EFO_0002429,Oncology,exact,
Vosoritide (Voxzogo),Biomarin,CNP analogue,Achondroplasia,CHEMBL3707276,Orphanet_15,Other,exact,
Maribavir (Livtencity),Takeda,CMV pUL97 kinase inhibitor,Post-transplant CMV infection,CHEMBL515408,EFO_0001062,Infectious,fuzzy,
