,brandDrugName,originalDrugName,drugName,sponsor,properties,reviewType,yearApproval,drugId,diseaseIds,diseaseName,indication,therapeuticArea
0,Leqembi,Lecanemab,LECANEMAB,Eisai/Biogen,Amyloid-_-targeted mAb,,2023,CHEMBL3833321,MONDO_0004975,Alzheimer disease,Alzheimer disease,Other
1,Brenzavvy,Bexagliflozin,BEXAGLIFLOZIN,Theracosbio,SGLT2 inhibitor,,2023,CHEMBL1808388,MONDO_0005148,diabetes mellitus type 2,Glycaemic control in type 2 diabetes mellitus,Other
2,Jaypirca,Pirtobrutinib,PIRTOBRUTINIB,Loxo/Eli Lilly,BTK inhibitor,,2023,CHEMBL4650485,EFO_1001469,Mantle cell lymphoma,Mantle cell lymphoma,Oncology
3,Orserdu,Elacestrant,ELACESTRANT,Stemline,ER antagonist,,2023,CHEMBL4297509,MONDO_0007254,breast cancer,"ER-positive, HER2-negative, ESR1-mutant breast cancer",Oncology
4,Jesduvroq,Daprodustat,DAPRODUSTAT,GSK,HIF-PH inhibitor,,2023,CHEMBL3544988,EFO_0003884,chronic kidney disease,Anaemia caused by CKD for adults on dialysis,Other
5,Lamzede,Velmanase alfa,VELMANASE ALFA,Chiesi,Recombinant _-mannosidase,,2023,CHEMBL4298010,MONDO_0009562,beta-mannosidosis,Non-CNS manifestations of beta-mannosidosis,Other
6,Filspari,Sparsentan,SPARSENTAN,Travere,Endothelin and angiotensin II receptor antagonist,,2023,CHEMBL539423,EFO_0004194,IGA glomerulonephritis,Proteinuria in primary IgA nephropathy,Other
7,Skyclarys,Omaveloxolone,OMAVELOXOLONE,Reata/Biogen,"Mechanism unknown, NRF2 activator",,2023,CHEMBL4303525,MONDO_0100339,Friedreich ataxia,Friedreich ataxia,Other
8,Zavzpret,Zavegepant,ZAVEGEPANT,Pfizer,CGRP receptor antagonist,,2023,CHEMBL2397415,MONDO_0005277,migraine disorder,Migraine,Other
9,Daybue,Trofinetide,TROFINETIDE,Acadia,Mechanism unknown,,2023,CHEMBL197084,MONDO_0010726,Rett syndrome,Rett syndrome,Other
10,Zynyz,Retifanlimab,RETIFANLIMAB,Incyte,PD1-targeted mAb,,2023,CHEMBL4298037,EFO_1001471,Merkel cell skin cancer,Merkel cell carcinoma,Oncology
11,Rezzayo,Rezafungin,REZAFUNGIN,Cidara,Echinocandin antifungal,,2023,CHEMBL3989945,EFO_1001283,"Candidiasis, Invasive",Candidemia and invasive candidiasis,Other
12,Joenja,Leniolisib,LENIOLISIB,Pharming,PI3K_ inhibitor,,2023,CHEMBL3643413,MONDO_0018338,activated PI3K-delta syndrome,Activated PI3Kdelta syndrome,Other
13,Qalsody,Tofersen,TOFERSEN,Biogen,SOD1-targeted ASO,,2023,CHEMBL3833346,EFO_0001356,familial amyotrophic lateral sclerosis,SOD1 amyotrophic lateral sclerosis,Other
14,Elfabrio,Pegunigalsidase alfa,PEGUNIGALSIDASE ALFA,Chiesi,PEGylated recombinant _-galactosidase _,,2023,CHEMBL4297801,MONDO_0010526,Fabry disease,Fabry disease,Other
15,Veozah,Fezolinetant,FEZOLINETANT,Astellas,Neurokinin 3 receptor antagonist,,2023,CHEMBL3608680,HP_0031217,Hot flashes,Hot flashes caused by menopause,Other
16,Miebo,Perfluorohexyloctane,PERFLUOROHEXYLOCTANE,Bausch + Lomb,Semifluorinated alkane,,2023,,EFO_1000906,dry eye syndrome,Dry eye disease,Other
17,Epkinly,Epcoritamab,EPCORITAMAB,Genmab/AbbVie,CD20 _ CD3 T-cell engager,,2023,CHEMBL4650393,MONDO_0044889,high grade B-cell lymphoma,DLBCL and high-grade B-cell lymphoma,Oncology
