Drug,chemblIds,targetId,comment,Type,Year
Avalglucosidase alfa,CHEMBL4594320,ENSG00000171298,MoA (GAA) was absent in OT,Enzyme therapy,2021
Vutrisiran,CHEMBL4594511,ENSG00000118271,MoA (TTR) was absent in OT,Pharmacological,2022
Mavacamten,CHEMBL4297517,ENSG00000092054,MoA (MYH7) was absent in OT,Pharmacological,2022
Lutetium Lu-177 vipivotide tetraxetan,CHEMBL4594406,ENSG00000142515,MoA (KLK3) was absent in OT,Pharmacological,2022
Mitapivat,CHEMBL4299940,ENSG00000143627,MoA (PKLR) was absent in OT,Pharmacological,2022
Olipudase alfa ,CHEMBL3707358,ENSG00000166311,MoA (SMPD1) was absent in OT,Enzyme therapy,2022
Terlipressin,CHEMBL2135460,ENSG00000166148,AVPR1 to AVPR1A,Receptor subtype,2022
Eflapegrastim,CHEMBL3833384,ENSG00000119535,MoA (CSF3R) was absent in OT,Pharmacological,2022
OMACETAXINE MEPESUCCINATE,CHEMBL46286,ENSG00000100316,MoA (RPL3) was absent in OT,Pharmacological,2012
OMACETAXINE MEPESUCCINATE,CHEMBL46286,ENSG00000116251,MoA (RPL2) was absent in OT,Pharmacological,2012
STIRIPENTOL,CHEMBL1983350,ENSG00000022355,MoA (GABRA1) was absent in OT*,Pharmacological,2018
ELAPEGADEMASE,CHEMBL3990026,ENSG00000196839,MoA (ADA) was absent in OT,Enzyme therapy,2018
CALASPARGASE PEGOL,CHEMBL2108728,ENSG00000166183,MoA (ASPG) was absent in OT ,Enzyme therapy,2018
Fosdenopterin,CHEMBL2338675,ENSG00000164172,MoA (MOCS2) was absent in OT,Pharmacological,2021
BRIVARACETAM,CHEMBL607400,ENSG00000144285,MoA (SCN1A*) was absent in OT,Pharmacological,2016
VESTRONIDASE ALFA,CHEMBL3707382,ENSG00000169919,MoA (GUSB) was absent in OT,Enzyme therapy,2017
CERLIPONASE ALFA,CHEMBL3544921,ENSG00000166340,MoA (TPP1) was absent in OT,Enzyme therapy,2017
Elosulfase alfa,CHEMBL2108676,ENSG00000141012,MoA (GALNS) was absent in OT,Enzyme therapy,2014
Trifluridine,CHEMBL1129,ENSG00000176890,MoA (TYMS) was absent in OT,Pharmacological,2015
Flibanserin,CHEMBL231068,ENSG00000178394,MoA (HTRA1) was absent in OT,Pharmacological,2015
Flibanserin,CHEMBL231068,ENSG00000102468,MoA (HTRA2) was absent in OT,Pharmacological,2015
Flibanserin,CHEMBL231068,ENSG00000069696,MoA (DRD4) was absent in OT,Pharmacological,2015
Asfotase alfa,CHEMBL2108311,ENSG00000162551,MoA (ALPL) was absent in OT,Enzyme therapy,2015
PiflufolastatF-18,CHEMBL4297334,ENSG00000086205,MoA (FOLH1) was absent in OT,Pharmacological,2021
FLUTEMETAMOL F-18,CHEMBL2042122,ENSG00000142192,MoA (APP) was absent in OT,Pharmacological,2014
FLUOROESTRADIOL F-18,CHEMBL4594261,ENSG00000186868,MoA (MAPT) was absent in OT,Pharmacological,2020
Flortaucipir F-18,CHEMBL3545253,ENSG00000186868,MoA (MAPT) was absent in OT,Pharmacological,2020
COPPER DOTATATE CU-64,CHEMBL4297339,ENSG00000180616,MoA (SSTR2) was absent in OT,Pharmacological,2020
PSMA-11 GA-68,CHEMBL4297335,ENSG00000142515,MoA (KLK3) was absent in OT,Pharmacological,2020
Pafolacianine,CHEMBL4297412,ENSG00000110195,MoA (FOLR1) was absent in OT,Pharmacological,2021
FLORBETABEN-F18,CHEMBL566752,ENSG00000142192,MoA (APP) was absent in OT,Pharmacological,2014
GALLIUM DOTATOC GA-68,CHEMBL4297340,ENSG00000180616,MoA (SSTR2) was absent in OT,Pharmacological,2019
SEBELIPASE ALFA,CHEMBL3039537,ENSG00000107798,MoA (LIPA) was absent in OT,Enzyme therapy,2015
TECHNETIUM TC 99M TILMANOCEPT,CHEMBL2108726,ENSG00000260314,MoA (MRC1) was absent in OT,Pharmacological,2013
Fluciclovine F-18,CHEMBL3707267,ENSG00000155465,MoA (SLC1A5) was absent in OT,Pharmacological,2016
Fluciclovine F-18,CHEMBL3707267,ENSG00000105281,MoA (SLC1A7) was absent in OT,Pharmacological,2016
Fluciclovine F-18,CHEMBL3707267,ENSG00000165349,MoA (SLC1A3) was absent in OT,Pharmacological,2016
FLOTUFOLASTAT F18,FLOTUFOLASTAT F18,ENSG00000086205,Drug absent in ChEMBL,Pharmacological,2023
EFBEMALENOGRASTIM ALFA,EFBEMALENOGRASTIM ALFA,ENSG00000119535,Drug absent in ChEMBL,Pharmacological|Enzyme therapy,2023
FLOTUFOLASTAT F18,FLOTUFOLASTAT F18,ENSG00000086205,Drug absent in ChEMBL,Pharmacological,2023
