diseaseId,phenotype,comment
EFO_0000401,HP_0012594,
Orphanet_172,EFO_0005653,
Orphanet_52,EFO_0005653,
Orphanet_15,EFO_0004339,
Orphanet_15,Orphanet_329191,
Orphanet_892,EFO_0000681,
EFO_0001360,MONDO_0018582,
HP_0001510,EFO_0004339,
EFO_0001645,EFO_0000612,
EFO_0000182,MONDO_0018531,hepatocellular carcinoma - carcinoma of liver and intrahepatic biliary tract (2022-2023)
MONDO_0001382,HP_0006554,Hepatorenal syndrome  - Acute hepatic failure (2022-2023)
MONDO_0018906,EFO_0000183,follicular lymphoma - Hodgkins lymphoma (MS4A1 involved in both) (2022-2023)
EFO_0000544,Orphanet_169142,infection - Recurrent infection due to specific granule deficiency (2022-2023)
EFO_0000274,HP_0000964,atopic eczema - eczema (2022-2023)
EFO_1000131,EFO_0000339,Blast Phase Chronic Myelogenous Leukemia; BCR-ABL1 Positive - chronic myelogenous leukemia (2021_new)
MONDO_0008667,EFO_0000681,von Hippel-Lindau disease - renal cell carcinoma (2021_new)
EFO_0003884,HP_0012594,chronic kidney disease - Moderate albuminuria (2021_new)
MONDO_0007318,EFO_0005653,Alagille syndrome - serum metabolite measurement (2021_new)
MONDO_0017290,EFO_0005653,familial intrahepatic cholestasis - serum metabolite measurement (2021_new)
EFO_0005761,MONDO_0007915,lupus nephritis - systemic lupus erythematosus (2021_new)
MONDO_0007037,EFO_0004339,achondroplasia - body height (2021_new)
MONDO_0007037,Orphanet_329191,achondroplasia - Tall stature - scoliosis - macrodactyly of the great toes (2021_new)
MONDO_0018328,EFO_0004611,homozygous familial hypercholesterolemia - low density lipoprotein cholesterol measurement
MONDO_0017387,EFO_1001968,epithelioid sarcoma -> soft tissue sarcoma (parent) (2020)
EFO_0000403,EFO_1001938,diffuse large b-cell lymphoma -> B-cell non-Hodgkins lymphoma (2020)
EFO_0001378,MONDO_0004095,multiple myeloma -> B-cell neoplasm (parent) (2020)
EFO_0009868,EFO_0003843,Procedural sedation -> pain	(2020)
EFO_0004256,MONDO_0000568,NMOSD -> autoimmune disorder of central nervous system (2020)
MONDO_0018975,EFO_0008514,neurofibromatosis type 1 -> neurofibromatosis	(2020)
EFO_0002496,EFO_0003784,actinic keratosis -> skin pigmentation (2020)









