Drug_name,Brand_name,Indication,Date_approval,Date_withdrawal,Indication_EFO,DiseaseId,TA,,
umbralisib,Ukoniq ,Adult patients with relapsed or refractory marginal zone lymphoma (MZL) who have received at least one prior anti-CD20- based regimen  ,2/5/2021,5/31/2022,MZL ,EFO_1000630,Oncology,,
umbralisib,Ukoniq ,Adult patients with relapsed or refractory follicular lymphoma (FL) who have received at least three prior lines of systemic therapy,2/5/2021,5/31/2022,follicular lymphoma,MONDO_0018906,Oncology,,
pembrolizumab,Keytruda ,Metastatic SCLC with disease progression on or after platinum-based chemotherapy and at least one other prior line of therapy,6/17/2019,3/30/2021,small cell lung carcinoma,EFO_0000702,Oncology,,
atezolizumab,Tecentriq ,"In combination with paclitaxel protein-bound for unresectable locally advanced or metastatic triple-negative breast cancer whose tumors express PD-L1 (PD-L1 stained tumor-infiltrating immune cells of any intensity covering = 1% of the tumor area), as determined by an FDA-approved test.",3/8/2019,10/6/2021,triple-negative breast cancer,EFO_0005537,Oncology,,
duvelisib,Copiktra ,Treatment of adult patients with relapsed or refractory follicular lymphoma (FL) after at least 2 prior systemic therapies,9/24/2018,12/17/2021,follicular lymphoma,MONDO_0018906,Oncology,,
nivolumab,Opdivo ,Metastatic SCLC with progression after platinum-based chemotherapy and at least one other line of therapy,8/16/2018,12/29/2020,small cell lung carcinoma,EFO_0000702,Oncology,,
pembrolizumab,Keytruda ,"For patients with recurrent or locally advanced or metastatic gastric or GEJ adenocarcinoma whose tumors express PD-L1 [CPS ≥1] as determined by an FDA-approved test, with disease progresson on/after two or more prior lines of therapy including fluoropyrimidine and platinum containing chemotherapy and if appropriate, HER2/NEU targeted therapy",9/22/2017,2/4/2022,gastric adenocarcinoma; gastroesophageal junction adenocarcinoma,EFO_0000503; MONDO_0003219,Oncology,,
nivolumab,Opdivo ,Hepatocellular carcinoma previously treated with sorafenib,9/22/2017,7/23/2021,hepatocellular carcinoma,EFO_0000182,Oncology,,
durvalumab,Imfinzi ,Locally advanced or metastatic urothelial carcinoma that progressed during or following platinum-containing chemotherapy or within 12 months of neoadjuvant or adjuvant treatment with platinum-containing chemotherapy,5/1/2017,2/19/2021,urothelial carcinoma,EFO_0008528,Oncology,,
atezolizumab,Tecentriq ,Patients with locally advanced or metastatic urothelial carcinoma (mUC) who are not eligible for cisplatin-containing chemotherapy and whose tumors express PD-L1 as determined by an FDA approved test or who are not eligble for any platinum-containing chemotherapy regardless of PD-L1 status.,4/17/2017,12/2/2022,urothelial carcinoma,EFO_0008528,Oncology,,
olaratumab,Lartruvo ,In combination with doxorubicin for adults with soft tissue sarcoma with a histologic subtype for which an anthracycline-containing regimen is appropriate and which is not amenable to curative treatment with radiotherapy or surgery,10/19/2016,2/25/2020,soft tissue sarcoma,EFO_1001968,Oncology,,
atezolizumab,Tecentriq ,Locally advanced or metastatic urothelial carcinoma that progressed during or following platinum-containing chemotherapy or within 12 months of neoadjuvant or adjuvant treatment with platinum-containing chemotherapy,5/18/2016,4/13/2021,urothelial carcinoma,EFO_0008528,Oncology,,
panobinostat,Farydak ,"In combination with bortezomib (BTZ) and dexamethasone (DEX) for the treatment of patients with multiple myeloma (MM) who have received at least 2 prior regimens, including BTZ and an immunomodulatory agent.",2/23/2015,3/24/2022,multiple myeloma,EFO_0001378,Oncology,,
idelalisib,Zydelig ,For the treatment of relapsed follicular B-cell Non-Hodgkin Lymphoma (FL) in patients who have received at least 2 prior systemic therapies and relapsed small lymphocytic lymphoma (SLL) in patients who have received at least 2 prior systemic therapies        ,7/23/2014,2/18/2022,B-cell non-Hodgkins lymphoma; ,EFO_1001938; ,Oncology,,
vincristine sulfate liposomal,Marqibo ,Adults with Philadelphia (PH) chromosome negative (-) ALL in second relapse or greater relapsed or whose disease has progressed following 2 or greater treatment lines of anti-leukemia therapies,8/9/2012,5/2/2022,acute lymphoblastic leukemia,EFO_0000220,Oncology,,
romidepsin,Istodax ,Peripheral T-cell lymphoma in patients who have received at least one prior therapy,6/16/2011,7/30/2021,T-cell non-Hodgkin lymphoma,MONDO_0015760,Oncology,,
fludarabine  phosphate,Oforta ,For adults with B-cell CLL that has not responded to or progressed during or after treatment with at least one standard alkylating agent containing regimen,12/18/2008,12/31/2011,B-cell non-Hodgkins lymphoma; ,EFO_1001938; ,Oncology,,
bevacizumab,Avastin ,In combination with paclitaxel for patients who have not received chemotherapy for metastatic HER2 negative breast cancer,2/22/2008,11/18/2011,HER2 negative breast carcinoma,EFO_0009780,Oncology,,
tositumomab and iodine i 131 tositumomab,Bexxar ,For patients with relapsed or refractory low-grade follicular or transformed CD20+ NHL who have not received rituximab,12/22/2004,10/23/2013,follicular lymphoma,MONDO_0018906,Oncology,,
gefitinib,Iressa ,As monotherapy for locally advanced or metastatic NSCLC after failure of platinum-based and docetaxel chemotherapy,5/5/2003,4/25/2012,non-small cell lung carcinoma,EFO_0003060,Oncology,,
gemtuzumab  ozogamicin,Mylotarg ,For patients with CD33+ AML in first relapse 60 years of age or older and not candidates for cytotoxic chemotherapy,5/17/2000,11/28/2011,acute myeloid leukemia,EFO_0000222,Oncology,,
celecoxib,Celebrex ,"To reduce the number of adenomatous colorectal polyps in familial adenomatous polyposis patients, as an adjunct to usual care",12/23/1999,6/8/2012,Familial adenomatous polyposis,Orphanet_733,Oncology,,
