"datasourceId","Drug_brand_name","TA","noTarget","interactionAssociation","phenotypeAssociation","score","datasourceName","datasourceType","Year"
"cancer_biomarkers","SRP-9001","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2023
"cancer_biomarkers","SER-109","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2023
"cancer_biomarkers","RSVpreF","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2023
"cancer_biomarkers","Olorofim","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2023
"cancer_biomarkers","Nedosiran","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023
"cancer_biomarkers","GSK3844766A","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2023
"cancer_biomarkers","Exagamglogene autotemcel","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2023
"cancer_biomarkers","Efanesoctocog alfa","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2023
"cancer_biomarkers","Bercolagene telserpavec","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2023
"cancer_biomarkers","Zuranolone","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023
"cancer_biomarkers","Zuranolone","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023
"cancer_biomarkers","Talquetamab","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023
"cancer_biomarkers","Concizumab","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023
"cancer_biomarkers","Concizumab","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023
"cancer_biomarkers","Momelotinib","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023
"cancer_biomarkers","Repotrectinib","Oncology",FALSE,TRUE,TRUE,0.936072224944711,"Cancer Biomarkers (CGI)","Somatic",2023
"cancer_biomarkers","Lecanemab","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023
"cancer_biomarkers","Donanemab","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023
"cancer_biomarkers","Tofersen","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023
"cancer_biomarkers","Valoctocogene roxaparvovec","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023
"cancer_gene_census","SRP-9001","No human target",TRUE,NA,NA,NA,"CGC (COSMIC)","Somatic",2023
"cancer_gene_census","SER-109","No human target",TRUE,NA,NA,NA,"CGC (COSMIC)","Somatic",2023
"cancer_gene_census","RSVpreF","No human target",TRUE,NA,NA,NA,"CGC (COSMIC)","Somatic",2023
"cancer_gene_census","Olorofim","No human target",TRUE,NA,NA,NA,"CGC (COSMIC)","Somatic",2023
"cancer_gene_census","Nedosiran","Other indication",FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2023
