"...1","Brand_name","Drug_name_original","Drug_name","Sponsor","DrugId","Properties","Indication","Indication_EFO","DiseaseId","TA","Review_type","Year","targetIds","has_GE","Priority","Breakthrough","Accelerated","Orphan","drugType","Standard"
1,"Lutathera","Lutetium Lu 177 dotatate","LUTETIUM LU 177 DOTATATE","Advanced Accelerator Applications/Novartis","CHEMBL3989924","Somatostatin receptor-targeted radiopharmaceutical","GEP-NETs","digestive system neuroendocrine neoplasm","MONDO_0024503","Oncology","P, O",2018,"ENSG00000139874, ENSG00000162009, ENSG00000278195, ENSG00000132671, ENSG00000180616",TRUE,TRUE,FALSE,FALSE,TRUE,"Small molecule",FALSE
4,"Erleada","Apalutamide","APALUTAMIDE","Johnson & Johnson","CHEMBL3183409","Androgen receptor inhibitor","Prostate cancer","prostate cancer","MONDO_0008315","Oncology","P",2018,"ENSG00000169083",TRUE,TRUE,FALSE,FALSE,FALSE,"Small molecule",FALSE
16,"Mektovi","Binimetinib","BINIMETINIB","Array BioPharma","CHEMBL3187723","MEK inhibitor","BRAF-mutated melanoma","melanoma","EFO_0000756","Oncology","S, O",2018,"ENSG00000169032, ENSG00000126934",TRUE,FALSE,FALSE,FALSE,TRUE,"Small molecule",TRUE
17,"Braftovi","Encorafenib","ENCORAFENIB","Array BioPharma","CHEMBL3301612","BRAF inhibitor","BRAF-mutated melanoma","melanoma","EFO_0000756","Oncology","S, O",2018,"ENSG00000157764",TRUE,FALSE,FALSE,FALSE,TRUE,"Small molecule",TRUE
18,"Tibsovo","Ivosidenib","IVOSIDENIB","Agios Pharmaceuticals","CHEMBL3989958","IDH1 inhibitor","IDH1-mutated AML, Locally Advanced or Metastatic Cholangiocarcinoma (*)","acute myeloid leukemia; cholangiocarcinoma","EFO_0000222; EFO_0005221","Oncology","P, O",2018,"ENSG00000138413",TRUE,TRUE,FALSE,FALSE,TRUE,"Small molecule",FALSE
22,"Poteligeo","Mogamulizumab","MOGAMULIZUMAB","Kyowa Hakko Kirin","CHEMBL1743041","CCR4 antibody","mycosis fungoides or Sezary syndrome","mycosis fungoides","EFO_1001051","Oncology","P, O, B",2018,"ENSG00000183813",TRUE,TRUE,TRUE,FALSE,TRUE,"Antibody",FALSE
30,"Lumoxiti","Moxetumomab pasudotox","MOXETUMOMAB PASUDOTOX","AstraZeneca","CHEMBL1743043","CD22-directed antibody‚Äìdrug conjugate","Hairy cell leukaemia","hairy cell leukemia","EFO_1000956","Oncology","P, O",2018,"ENSG00000167658, ENSG00000012124",TRUE,TRUE,FALSE,FALSE,TRUE,"Antibody",FALSE
32,"Copiktra","Duvelisib","DUVELISIB","Verastem","CHEMBL3039502","PI3K inhibitor","CLL, FL and SLL","chronic lymphocytic leukemia; follicular lymphoma","EFO_0000095; MONDO_0018906","Oncology","P, O, A",2018,"ENSG00000105851, ENSG00000171608",TRUE,TRUE,FALSE,TRUE,TRUE,"Small molecule",FALSE
34,"Vizimpro","Dacomitinib","DACOMITINIB","Pfizer","CHEMBL2105719","EGFR inhibitor","EGFR-mutated NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O",2018,"ENSG00000178568, ENSG00000146648, ENSG00000141736",TRUE,TRUE,FALSE,FALSE,TRUE,"Small molecule",FALSE
35,"Libtayo","Cemiplimab","CEMIPLIMAB","Regeneron/Sanofi","CHEMBL4297723","PD1 antibody","CSCC, BCC(*), NSCLC(*)","cutaneous squamous cell carcinoma; basal cell carcinoma; non-small cell lung carcinoma","EFO_1001927; EFO_0004193; EFO_0003060","Oncology","P, B",2018,"ENSG00000188389",TRUE,TRUE,TRUE,FALSE,FALSE,"Antibody",FALSE
38,"Talzenna","Talazoparib","TALAZOPARIB","Pfizer","CHEMBL3137320","PARP inhibitor","BRCA-mutated HER2-negative breast cancer","HER2 negative breast carcinoma","EFO_0009780","Oncology","P",2018,"ENSG00000143799, ENSG00000129484",TRUE,TRUE,FALSE,FALSE,FALSE,"Small molecule",FALSE
