"datasourceId","Drug_brand_name","TA","noTarget","interactionAssociation","phenotypeAssociation","score","datasourceName","datasourceType","Year"
"cancer_gene_census","ZANUBRUTINIB",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2019
"cancer_gene_census","VOXELOTOR",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2019
"cancer_gene_census","VILTOLARSEN",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2020
"cancer_gene_census","VIBEGRON",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2020
"cancer_gene_census","UPADACITINIB",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2019
"cancer_gene_census","UBROGEPANT",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2019
"cancer_gene_census","TUCATINIB",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2020
"cancer_gene_census","TRIHEPTANOIN","No human target",TRUE,NA,NA,NA,"CGC (COSMIC)","Somatic",2020
"cancer_gene_census","TRIFAROTENE",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2019
"cancer_gene_census","TRICLABENDAZOLE","No human target",TRUE,NA,NA,NA,"CGC (COSMIC)","Somatic",2019
"cancer_gene_census","TIRBANIBULIN",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2020
"cancer_gene_census","TILDRAKIZUMAB",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2018
"cancer_gene_census","TEZACAFTOR",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2019
"cancer_gene_census","TEZACAFTOR",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2018
"cancer_gene_census","TEPROTUMUMAB",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2020
"cancer_gene_census","TENOFOVIR ALAFENAMIDE","No human target",TRUE,NA,NA,NA,"CGC (COSMIC)","Somatic",2018
"cancer_gene_census","TENAPANOR",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2019
"cancer_gene_census","TECOVIRIMAT","No human target",TRUE,NA,NA,NA,"CGC (COSMIC)","Somatic",2018
"cancer_gene_census","TAZEMETOSTAT",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2020
"cancer_gene_census","TAGRAXOFUSP",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2018
"cancer_gene_census","TAFENOQUINE","No human target",TRUE,NA,NA,NA,"CGC (COSMIC)","Somatic",2018
"cancer_gene_census","TAFASITAMAB",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2020
"cancer_gene_census","TAFAMIDIS",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2019
"cancer_gene_census","STIRIPENTOL","No human target",TRUE,NA,NA,NA,"CGC (COSMIC)","Somatic",2018
"cancer_gene_census","SOMAPACITAN",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2020
"cancer_gene_census","SOLRIAMFETOL","No human target",TRUE,NA,NA,NA,"CGC (COSMIC)","Somatic",2019
"cancer_gene_census","SODIUM ZIRCONIUM CYCLOSILICATE","No human target",TRUE,NA,NA,NA,"CGC (COSMIC)","Somatic",2018
"cancer_gene_census","SIPONIMOD",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2019
"cancer_gene_census","SETMELANOTIDE",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2020
"cancer_gene_census","SELUMETINIB",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2020
"cancer_gene_census","SELPERCATINIB",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2020
"cancer_gene_census","SELINEXOR",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2019
"cancer_gene_census","SEGESTERONE ACETATE",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2018
"cancer_gene_census","SATRALIZUMAB",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2020
"cancer_gene_census","SARECYCLINE","No human target",TRUE,NA,NA,NA,"CGC (COSMIC)","Somatic",2018
"cancer_gene_census","SACITUZUMAB GOVITECAN",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2020
"cancer_gene_census","ROMOSOZUMAB",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2019
"cancer_gene_census","RISDIPLAM",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2020
"cancer_gene_census","RISANKIZUMAB",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2019
"cancer_gene_census","RIPRETINIB",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2020
"cancer_gene_census","RIMEGEPANT",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2020
"cancer_gene_census","RIFAMYCIN","No human target",TRUE,NA,NA,NA,"CGC (COSMIC)","Somatic",2018
"cancer_gene_census","RIFAMYCIN","No human target",TRUE,NA,NA,NA,"CGC (COSMIC)","Somatic",2018
"cancer_gene_census","REVEFENACIN",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2018
"cancer_gene_census","REMIMAZOLAM",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2020
"cancer_gene_census","REMDESIVIR","No human target",TRUE,NA,NA,NA,"CGC (COSMIC)","Somatic",2020
"cancer_gene_census","RELUGOLIX",NA,FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2020
"cancer_gene_census","RELEBACTAM","No human target",TRUE,NA,NA,NA,"CGC (COSMIC)","Somatic",2019
