Year,type,fraction,,
2013,without_GE,3.703703704,13.88067435,15.09485095
2014,without_GE,14.63414634,,
2015,without_GE,15.55555556,,
2016,without_GE,9.090909091,,
2017,without_GE,17.39130435,,
2018,without_GE,11.86440678,,
2019,without_GE,16.66666667,,
2020,without_GE,16.98113208,,
2021,without_GE,14,,
2022,without_GE,18.91891892,,
2013,noH,22.22222222,19.92701598,20.15996719
2014,noH,29.26829268,,
2015,noH,24.44444444,,
2016,noH,18.18181818,,
2017,noH,19.56521739,,
2018,noH,22.03389831,,
2019,noH,14.58333333,,
2020,noH,20.75471698,,
2021,noH,12,,
2022,noH,16.21621622,,
2013,GE_noH,74.07407407,66.19230968,65.48327989
2014,GE_noH,56.09756098,,
2015,GE_noH,60,,
2016,GE_noH,72.72727273,,
2017,GE_noH,63.04347826,,
2018,GE_noH,66.10169492,,
2019,GE_noH,68.75,,
2020,GE_noH,62.26415094,,
2021,GE_noH,74,,
2022,GE_noH,64.86486486,,
