Year,type,count
2013,without_GE,1
2014,without_GE,8
2015,without_GE,7
2016,without_GE,2
2017,without_GE,8
2018,without_GE,7
2019,without_GE,9
2020,without_GE,9
2021,without_GE,8
2022,without_GE,8
2013,noH,6
2014,noH,12
2015,noH,11
2016,noH,4
2017,noH,9
2018,noH,14
2019,noH,9
2020,noH,11
2021,noH,6
2022,noH,6
2013,GE_noH_after,10
2014,GE_noH_after,10
2015,GE_noH_after,13
2016,GE_noH_after,8
2017,GE_noH_after,14
2018,GE_noH_after,19
2019,GE_noH_after,15
2020,GE_noH_after,16
2021,GE_noH_after,18
2022,GE_noH_after,11
2013,GE_noH_before,10
2014,GE_noH_before,11
2015,GE_noH_before,14
2016,GE_noH_before,8
2017,GE_noH_before,15
2018,GE_noH_before,19
2019,GE_noH_before,15
2020,GE_noH_before,17
2021,GE_noH_before,18
2022,GE_noH_before,12
