"Year","type","fraction","count","label_ypos"
"2013","noH",22.2222222222222,6,88.8888888888889
"2014","noH",29.2682926829268,12,85.3658536585366
"2015","noH",24.4444444444444,11,87.7777777777778
"2016","noH",18.1818181818182,4,90.9090909090909
"2017","noH",19.5652173913043,9,90.2173913043478
"2018","noH",23.728813559322,14,88.135593220339
"2019","noH",18.75,9,90.625
"2020","noH",20.7547169811321,11,89.622641509434
"2021","noH",12,6,94
"2022","noH",16.2162162162162,6,91.8918918918919
"2013","without_GE",3.7037037037037,1,75.9259259259259
"2014","without_GE",19.5121951219512,8,60.9756097560976
"2015","without_GE",15.5555555555556,7,67.7777777777778
"2016","without_GE",9.09090909090909,2,77.2727272727273
"2017","without_GE",17.3913043478261,8,71.7391304347826
"2018","without_GE",11.864406779661,7,70.3389830508475
"2019","without_GE",18.75,9,71.875
"2020","without_GE",16.9811320754717,9,70.7547169811321
"2021","without_GE",16,8,80
"2022","without_GE",21.6216216216216,8,72.972972972973
"2013","GE_noH",74.0740740740741,20,37.037037037037
"2014","GE_noH",51.219512195122,21,25.609756097561
"2015","GE_noH",60,27,30
"2016","GE_noH",72.7272727272727,16,36.3636363636364
"2017","GE_noH",63.0434782608696,29,31.5217391304348
"2018","GE_noH",64.4067796610169,38,32.2033898305085
"2019","GE_noH",62.5,30,31.25
"2020","GE_noH",62.2641509433962,33,31.1320754716981
"2021","GE_noH",72,36,36
"2022","GE_noH",62.1621621621622,23,31.0810810810811
