targetB,Brand_name
ENSG00000120217,Libtayo
ENSG00000120217,Opdualag
ENSG00000141510,Zejula
ENSG00000169083,PSMA-11 Ga-68
ENSG00000169083,Pluvicto
ENSG00000136997,Blenrep
ENSG00000136997,Farydak
ENSG00000010671,Brukinsa
ENSG00000010671,Imbruvica
ENSG00000010671,Calquence
ENSG00000113851,Pomalyst
ENSG00000066468,Pemazyre
ENSG00000100311,Lartruvo
ENSG00000185920,Odomzo
ENSG00000182054,Idhifa
ENSG00000138413,Rezlidhia
ENSG00000141510,Rubraca
ENSG00000141510,Lynparza
ENSG00000138413,Tibsovo
ENSG00000165731,Lorbrena
ENSG00000171094,Lorbrena
ENSG00000068078,Ninlaro
ENSG00000136997,Ninlaro
ENSG00000146648,Gavreto
ENSG00000165731,Gavreto
ENSG00000171094,Gavreto
NA,Qinlock
NA,Ayvakit
ENSG00000122025,Xospata
ENSG00000146648,Alecensa
ENSG00000165731,Alecensa
ENSG00000171094,Alecensa
ENSG00000066468,Truseltiq
ENSG00000121879,Piqray
ENSG00000078061,Lumakras
ENSG00000133703,Lumakras
ENSG00000157764,Lumakras
ENSG00000078061,Krazati
ENSG00000133703,Krazati
ENSG00000157764,Krazati
ENSG00000065361,Balversa
ENSG00000068078,Balversa
ENSG00000165731,Zykadia
ENSG00000171094,Zykadia
ENSG00000169083,Nubeqa
ENSG00000169083,Erleada
ENSG00000132155,Cotellic
ENSG00000157764,Cotellic
ENSG00000132155,Mektovi
ENSG00000157764,Mektovi
ENSG00000146648,Retevmo
ENSG00000165731,Retevmo
ENSG00000171094,Retevmo
ENSG00000105976,Rozlytrek
ENSG00000146648,Rozlytrek
ENSG00000165731,Rozlytrek
ENSG00000171094,Rozlytrek
ENSG00000198400,Rozlytrek
ENSG00000105976,Tepmetko
ENSG00000146648,Tepmetko
ENSG00000105976,Tabrecta
ENSG00000146648,Tabrecta
ENSG00000126934,Braftovi
ENSG00000132155,Braftovi
ENSG00000157764,Braftovi
ENSG00000169032,Braftovi
ENSG00000213281,Braftovi
ENSG00000105976,Tagrisso
ENSG00000141736,Tagrisso
ENSG00000146648,Tagrisso
ENSG00000157168,Tagrisso
ENSG00000165731,Tagrisso
ENSG00000178568,Tagrisso
ENSG00000105976,Portrazza
ENSG00000141736,Portrazza
ENSG00000146648,Portrazza
ENSG00000157168,Portrazza
ENSG00000165731,Portrazza
ENSG00000178568,Portrazza
ENSG00000105976,Exkivity
ENSG00000141736,Exkivity
ENSG00000146648,Exkivity
ENSG00000157168,Exkivity
ENSG00000165731,Exkivity
ENSG00000178568,Exkivity
ENSG00000105976,Alunbrig
ENSG00000141736,Alunbrig
ENSG00000146648,Alunbrig
ENSG00000157168,Alunbrig
ENSG00000165731,Alunbrig
ENSG00000171094,Alunbrig
ENSG00000178568,Alunbrig
ENSG00000105976,Vizimpro
ENSG00000141736,Vizimpro
ENSG00000146648,Vizimpro
ENSG00000157168,Vizimpro
ENSG00000165731,Vizimpro
ENSG00000178568,Vizimpro
ENSG00000105976,Gilotrif
ENSG00000141736,Gilotrif
ENSG00000146648,Gilotrif
ENSG00000157168,Gilotrif
ENSG00000165731,Gilotrif
ENSG00000178568,Gilotrif
ENSG00000105976,Rybrevant
ENSG00000141736,Rybrevant
ENSG00000146648,Rybrevant
ENSG00000157168,Rybrevant
ENSG00000165731,Rybrevant
ENSG00000178568,Rybrevant
ENSG00000145675,Imjudo
ENSG00000145675,Lutathera
ENSG00000157613,Gazyva
ENSG00000168685,Gazyva
ENSG00000111679,Lumoxiti
ENSG00000165025,Lumoxiti
ENSG00000145675,Netspot
ENSG00000145675,Gallium dotatoc Ga-68
ENSG00000145675,Copper dotatate Cu-64
ENSG00000174775,Klisyri
ENSG00000145675,Copiktra
ENSG00000166501,Copiktra
ENSG00000179295,Libtayo
ENSG00000197646,Libtayo
ENSG00000065361,Padcev
ENSG00000080824,Padcev
ENSG00000083799,Padcev
ENSG00000091831,Padcev
ENSG00000126934,Padcev
ENSG00000130779,Padcev
ENSG00000133124,Padcev
ENSG00000136997,Padcev
ENSG00000146648,Padcev
ENSG00000177606,Padcev
ENSG00000179218,Padcev
ENSG00000204843,Padcev
ENSG00000179295,Opdualag
ENSG00000197646,Opdualag
ENSG00000065361,Beleodaq
ENSG00000100697,Beleodaq
ENSG00000107485,Beleodaq
ENSG00000113916,Beleodaq
ENSG00000127152,Beleodaq
ENSG00000141027,Beleodaq
ENSG00000141510,Beleodaq
ENSG00000141736,Beleodaq
ENSG00000146648,Beleodaq
ENSG00000147130,Beleodaq
ENSG00000148400,Beleodaq
ENSG00000162367,Beleodaq
ENSG00000168036,Beleodaq
ENSG00000169083,Beleodaq
ENSG00000177565,Beleodaq
ENSG00000181163,Beleodaq
ENSG00000181449,Beleodaq
ENSG00000065361,Tivdak
ENSG00000080824,Tivdak
ENSG00000083799,Tivdak
ENSG00000091831,Tivdak
ENSG00000126934,Tivdak
ENSG00000130779,Tivdak
ENSG00000133124,Tivdak
ENSG00000136997,Tivdak
ENSG00000146648,Tivdak
ENSG00000177606,Tivdak
ENSG00000179218,Tivdak
ENSG00000204843,Tivdak
ENSG00000065361,Elahere
ENSG00000080824,Elahere
ENSG00000083799,Elahere
ENSG00000091831,Elahere
ENSG00000126934,Elahere
ENSG00000130779,Elahere
ENSG00000133124,Elahere
ENSG00000136997,Elahere
ENSG00000146648,Elahere
ENSG00000177606,Elahere
ENSG00000179218,Elahere
ENSG00000204843,Elahere
ENSG00000082805,Zejula
