"datasourceId","Drug_name","TA","noTarget","interactionAssociation","phenotypeAssociation","score","datasourceName","datasourceType","Year"
"cancer_biomarkers","VIBEGRON","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","TRIHEPTANOIN","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","TEPROTUMUMAB","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","REMDESIVIR","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","PSMA-11 GA-68","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","OLICERIDINE","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","ODESIVIMAB","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","NIFURTIMOX","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","NAXITAMAB","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","MAFTIVIMAB","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","LURBINECTEDIN","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","LUMASIRAN","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","LONAFARNIB","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","LACTITOL","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","INEBILIZUMAB","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","FOSTEMSAVIR","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","FLUOROESTRADIOL F-18","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","FLORTAUCIPIR F-18","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","COPPER DOTATATE CU-64","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","BEROTRALSTAT","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","BEMPEDOIC ACID","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","BEMPEDOIC ACID","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","ATOLTIVIMAB","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","ARTESUNATE","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","ANSUVIMAB","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","AMISULPRIDE","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","ABAMETAPIR","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","RIMEGEPANT","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","OZANIMOD","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","CLASCOTERONE","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","CEDAZURIDINE","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","TAZEMETOSTAT","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","TAFASITAMAB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","SATRALIZUMAB","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","REMIMAZOLAM","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","ISATUXIMAB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","TIRBANIBULIN","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","SELUMETINIB","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","OPICAPONE","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","RELUGOLIX","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","SACITUZUMAB GOVITECAN","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","SACITUZUMAB GOVITECAN","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","OSILODROSTAT","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","TUCATINIB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","MARGETUXIMAB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
"cancer_biomarkers","BELANTAMAB MAFODOTIN","Oncology",FALSE,TRUE,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020
