"datasourceId","Drug_name","TA","noTarget","interactionAssociation","phenotypeAssociation","score","datasourceName","datasourceType","Year"
"cancer_biomarkers","CELECOXIB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic","12/23/1999"
"cancer_biomarkers","BEVACIZUMAB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic","2/22/2008"
"cancer_biomarkers","NIVOLUMAB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic","8/16/2018"
"cancer_biomarkers","NIVOLUMAB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic","9/22/2017"
"cancer_biomarkers","ROMIDEPSIN","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic","6/16/2011"
"cancer_biomarkers","TOSITUMOMAB AND IODINE I 131 TOSITUMOMAB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic","12/22/2004"
"cancer_biomarkers","DUVELISIB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic","9/24/2018"
"cancer_biomarkers","PEMBROLIZUMAB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic","6/17/2019"
"cancer_biomarkers","PEMBROLIZUMAB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic","9/22/2017"
"cancer_biomarkers","PEMBROLIZUMAB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic","9/22/2017"
"cancer_biomarkers","UMBRALISIB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic","02/05/2021"
"cancer_biomarkers","UMBRALISIB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic","02/05/2021"
"cancer_biomarkers","GEMTUZUMAB  OZOGAMICIN","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic","5/17/2000"
"cancer_biomarkers","DURVALUMAB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic","05/01/2017"
"cancer_biomarkers","PANOBINOSTAT","Oncology",FALSE,TRUE,NA,0,"Cancer Biomarkers (CGI)","Somatic","2/23/2015"
"cancer_biomarkers","IDELALISIB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic","7/23/2014"
"cancer_biomarkers","IDELALISIB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic","7/23/2014"
"cancer_biomarkers","OLARATUMAB","Oncology",FALSE,TRUE,NA,0,"Cancer Biomarkers (CGI)","Somatic","10/19/2016"
"cancer_biomarkers","ATEZOLIZUMAB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic","03/08/2019"
"cancer_biomarkers","ATEZOLIZUMAB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic","4/17/2017"
"cancer_biomarkers","ATEZOLIZUMAB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic","5/18/2016"
