"Brand_name","Drug_name_original","Sponsor","Properties","TA","Indication","Indication_EFO","DiseaseId","Year","has_GE","has_GE_ds","Drug_name","DrugId","targetIds"
"Accrufer","Ferric maltol","Shield Therapeutics","Iron replacement product","Other","Iron deficiency anaemia","iron deficiency anemia","HP_0001891",2019,NA,NA,"FERRIC MALTOL","CHEMBL4298110","NA"
"Adakveo","Crizanlizumab","Novartis","P-selectin blocker","Other","Painful complications of SCD","sickle cell disease and related diseases","MONDO_0017146",2019,FALSE,FALSE,"CRIZANLIZUMAB","CHEMBL4297734","ENSG00000174175"
"Adbry","Tralokinumab","LEO Pharma","IL-13-targeted mAb","Other","Atopic dermatitis","atopic eczema","EFO_0000274",2021,TRUE,TRUE,"Tralokinumab","CHEMBL1743081","ENSG00000169194"
"Addyi","Flibanserin","Sprout","Serotonin receptor modulator","Other","Hypoactive sexual desire disorder","sexual dysfunction","EFO_0004714",2015,FALSE,FALSE,"FLIBANSERIN","CHEMBL231068","ENSG00000178394, ENSG00000102468, ENSG00000069696"
"Adempas","Riociguat","Bayer","Soluble guanylyl cyclase stimulator","Other","Persistent or recurrent chronic thromboembolic pulmonary hypertension and pulmonary arterial hypertension","pulmonary arterial hypertension","EFO_0001361",2013,TRUE,TRUE,"RIOCIGUAT","CHEMBL2107834","ENSG00000123201, ENSG00000164116, ENSG00000061918, ENSG00000152402"
"Adlyxin","Lixisenatide","Sanofi","GLP1 receptor agonist","Other","Diabetes","diabetes mellitus","EFO_0000400",2016,TRUE,TRUE,"LIXISENATIDE","CHEMBL2108336","ENSG00000112164"
"Aduhelm","Aducanumab","Biogen/Eisai","Amyloid-beta-targeted mAb","Other","Alzheimers disease","Alzheimers disease","MONDO_0004975",2021,TRUE,TRUE,"Aducanumab","CHEMBL3039540","ENSG00000142192"
"Aemcolo","Rifamycin","Cosmo Technologies","Ansamycin antibacterial","Other","Travellers diarrhoea","Diarrhea","HP_0002014",2018,NA,NA,"RIFAMYCIN","CHEMBL437765","NA"
"Aimovig","Erenumab","Amgen/Novartis","CGRP receptor antibody","Other","Migraine","migraine disorder","MONDO_0005277",2018,TRUE,TRUE,"ERENUMAB","CHEMBL3833329","ENSG00000064989"
"Ajovy","Fremanezumab","Teva","CGRP antibody","Other","Migraine","migraine disorder","MONDO_0005277",2018,TRUE,TRUE,"FREMANEZUMAB","CHEMBL4297756","ENSG00000110680, ENSG00000175868"
"Aklief","Trifarotene","Galderma","Retinoic acid receptor agonist","Other","Acne vulgaris","acne","EFO_0003894",2019,FALSE,FALSE,"TRIFAROTENE","CHEMBL3707313","ENSG00000172819"
"Akynzeo","Netupitant; palonosetron","Helsinn","An NK1-receptor antagonist plus a 5-HT3-receptor antagonist","Other","Chemotherapy-related nausea","Chemotherapy-induced nausea and vomiting","EFO_0006911",2014,FALSE,FALSE,"NETUPITANT; PALONOSETRON","CHEMBL206253; CHEMBL1189679","ENSG00000115353; ENSG00000166736"
"Akynzeo IV","Palonosetron; fosnetupitant","Helsinn Group","5-HT3-receptor antagonist and NK1-receptor antagonist","Other","Chemotherapy-induced emesis","Chemotherapy-induced nausea and vomiting","EFO_0006911",2018,FALSE,FALSE,"PALONOSETRON; FOSNETUPITANT","CHEMBL1189679; CHEMBL3989917","ENSG00000166736; ENSG00000115353"
"Alecensa","Alectinib","Roche","ALK inhibitor","Oncology","NSCLC","non-small cell lung carcinoma","EFO_0003060",2015,TRUE,TRUE,"ALECTINIB","CHEMBL1738797","ENSG00000171094, ENSG00000143924, ENSG00000165731"
"Aliqopa","Copanlisib dihydrochloride","Bayer","PI3Kalpha/≈í¬• inhibitor","Oncology","Follicular lymphoma","follicular lymphoma","MONDO_0018906",2017,TRUE,TRUE,"COPANLISIB","CHEMBL3218576","ENSG00000171608, ENSG00000121879"
"Alunbrig","Brigatinib","Ariad Pharmaceuticals/Takeda","ALK inhibitor","Oncology","ALK-positive NSCLC","non-small cell lung carcinoma","EFO_0003060",2017,TRUE,TRUE,"BRIGATINIB","CHEMBL3545311","ENSG00000171094, ENSG00000146648"
"Amondys 45","Casimersen","Sarepta","Exon 45-skipping ASO","Other","DMD","Duchenne muscular dystrophy","MONDO_0010679",2021,TRUE,TRUE,"Casimersen","CHEMBL4297566","ENSG00000198947"
"Amvuttra","Vutrisiran","Alnylam","TTR-targeted siRNA","Other","Polyneuropathy of hereditary TTR-mediated amyloidosis","familial amyloid neuropathy","EFO_0004129",2022,TRUE,TRUE,"Vutrisiran","CHEMBL4594511","ENSG00000118271"
"Annovera","Segesterone acetate; ethinyl estradiol","TherapeuticsMD","Progestin and estrogen combined hormonal contraceptive","Other","Female contraception","contraception","EFO_0009520",2018,TRUE,TRUE,"SEGESTERONE ACETATE; ETHINYL ESTRADIOL","CHEMBL3707377; CHEMBL691","ENSG00000082175; ENSG00000091831"
"Anoro Ellipta","Umeclidinium; vilanterol","GSK","Anticholinergic and a LABA","Other","Chronic obstructive pulmonary disease","chronic obstructive pulmonary disease","EFO_0000341",2013,TRUE,TRUE,"UMECLIDINIUM; VILANTEROL","CHEMBL1187833; CHEMBL1198857","ENSG00000133019; ENSG00000169252"
"Anthim","Obiltoxaximab","Elusys Therapeutics","mAb against anthrax toxin","Other","Anthrax","anthrax infection","EFO_0000778",2016,NA,NA,"OBILTOXAXIMAB","CHEMBL3544926","NA"
"Aptiom","Eslicarbazepine","Sunovion","MOA unknown, but thought to involve voltage-gated sodium channels","Other","Partial-onset seizures","Seizure","HP_0001250",2013,TRUE,TRUE,"ESLICARBAZEPINE","CHEMBL315985","ENSG00000168356, ENSG00000169432, ENSG00000144285, ENSG00000007314, ENSG00000136546, ENSG00000185313, ENSG00000136531, ENSG00000183873, ENSG00000196876, ENSG00000153253"
"Aristada","Aripiprazole lauroxil","Alkermes","Extended release atypical antipsychotic","Other","Schizophrenia","schizophrenia","MONDO_0005090",2015,TRUE,TRUE,"ARIPIPRAZOLE LAUROXIL","CHEMBL2219425","ENSG00000102468, ENSG00000178394, ENSG00000149295"
"Artesunate","Artesunate","Amivas","Artemisinin antimalarial","Other","Severe malaria","malaria","EFO_0001068",2020,NA,NA,"ARTESUNATE","CHEMBL361497","NA"
"Asparlas","Calaspargase pegol","Servier","Asparagine specific enzyme","Oncology","ALL","acute lymphoblastic leukemia","EFO_0000220",2018,FALSE,FALSE,"CALASPARGASE PEGOL","CHEMBL2108728","ENSG00000166183"
"Austedo","Deutetrabenazine","Teva","VMAT2 inhibitor","Other","Chorea associated with Huntington disease","chorea; Huntington disease","EFO_0004152; MONDO_0007739",2017,TRUE,TRUE,"DUTETRABENAZINE","CHEMBL3137326","ENSG00000165646"
"Avycaz","Avibactam; ceftazidime","Allergan","A beta-lactamase inhibitor and a cephalosporin","Other","Complicated intra-abdominal infections and complicated urinary tract infections","infection","EFO_0000544",2015,NA,NA,"AVIBACTAM; CEFTAZIDIME","CHEMBL1689063; CHEMBL44354","NA; NA"
"Axumin","Fluciclovine F-18","Blue Earth","Radioactive diagnostic","Other","Suspected prostate cancer recurrence","prostate cancer","MONDO_0008315",2016,TRUE,TRUE,"FLUCICLOVINE F-18","CHEMBL3707267","ENSG00000155465, ENSG00000105281, ENSG00000165349"
"Ayvakit","Avapritinib","Blueprint Medicines","PDGFRA, PDGFRA mutants and KIT kinase inhibitor","Oncology","GIST with PDGFRA exon 18 mutations","gastrointestinal stromal tumor","MONDO_0011719",2020,TRUE,TRUE,"AVAPRITINIB","CHEMBL4204794","ENSG00000157404, ENSG00000134853"
"Azstarys","Dexmethylphenidate; serdexmethylphenidate","Commave Therapeutics","CNS stimulant","Other","ADHD","attention deficit hyperactivity disorder","EFO_0003888",2021,TRUE,TRUE,"Dexmethylphenidate; serdexmethylphenidate","CHEMBL827; CHEMBL4301162","ENSG00000103546, ENSG00000142319; ENSG00000142319, ENSG00000103546"
"Balversa","Erdafitinib","Janssen /J&J","FGFR inhibitor","Oncology","Bladder cancer","urinary bladder carcinoma","MONDO_0004986",2019,TRUE,TRUE,"ERDAFITINIB","CHEMBL3545376","ENSG00000077782, ENSG00000066468, ENSG00000160867, ENSG00000068078"
"Barhemsys","Amisulpride","Acacia","Dopamine receptors D2 & D3 antagonist","Other","Nausea and vomiting after surgery","Nausea and vomiting","HP_0002017",2020,FALSE,FALSE,"AMISULPRIDE","CHEMBL243712","ENSG00000151577, ENSG00000149295, ENSG00000164270, ENSG00000157219, ENSG00000158748, ENSG00000166736, ENSG00000186090, ENSG00000178084, ENSG00000102468, ENSG00000149305, ENSG00000179097, ENSG00000135914, ENSG00000178394, ENSG00000168830, ENSG00000147246, ENSG00000186038, ENSG00000148680, ENSG00000135312, ENSG00000179546"
"Bavencio","Avelumab","Merck KGaA/Pfizer","PDL1-blocking antibody","Oncology","Merkel cell carcinoma","Merkel cell skin cancer","EFO_1001471",2017,TRUE,TRUE,"AVELUMAB","CHEMBL3833373","ENSG00000120217"
"Baxdela","Delafloxacin","Melinta Therapeutics","Fluoroquinolone antibacterial","Other","Acute bacterial skin and skin structure infections","staphylococcal skin infections","EFO_1001849",2017,NA,NA,"DELAFLOXACIN","CHEMBL2105637","NA"
"Beleodaq","Belinostat","Spectrum","Histone-deacetylase inhibitor","Other","Peripheral T-cell lymphoma","unspecified peripheral T-cell lymphoma","EFO_0000211",2014,TRUE,FALSE,"BELINOSTAT","CHEMBL408513","ENSG00000108840, ENSG00000147099, ENSG00000061273, ENSG00000068024, ENSG00000171720, ENSG00000094631, ENSG00000163517, ENSG00000048052, ENSG00000100429, ENSG00000196591, ENSG00000116478"
"Belsomra","Suvorexant","Merck & Co.","Orexin-receptor antagonist","Other","Insomnia","insomnia","EFO_0004698",2014,TRUE,TRUE,"SUVOREXANT","CHEMBL1083659","ENSG00000137252, ENSG00000121764"
"Benznidazole","Benznidazole","Chemo Research","Nitroimidazole antimicrobial","Other","Chagas disease","Chagas disease","MONDO_0001444",2017,NA,NA,"BENZNIDAZOLE","CHEMBL110","NA"
"Beovu","Brolucizumab","Novartis","VEGF inhibitor","Other","Wet age-related macular degeneration","macular degeneration","EFO_0009606",2019,TRUE,TRUE,"BROLUCIZUMAB","CHEMBL3707357","ENSG00000112715"
"Besponsa","Inotuzumab ozogamicin","Pfizer","CD22-directed antibody‚Äö√Ñ√¨drug conjugate","Oncology","B cell precursor ALL","precursor B-cell acute lymphoblastic leukemia","MONDO_0020511",2017,TRUE,TRUE,"INOTUZUMAB OZOGAMICIN","CHEMBL2108611","ENSG00000012124"
