"Brand_name","Drug_name_original","Drug_name","DrugId","targetId","targetId_type","Sponsor","Properties","TA","Indication","Indication_cur","diseaseId","diseaseId_type","Disease_class","Year.x","Review_type","has_GE","Year.y","Interactor","Related","Interactor_Related"
"Accrufer","Ferric maltol","FERRIC MALTOL","CHEMBL4298110",NA,"Original","Shield Therapeutics","Iron replacement product","No human target","Iron deficiency anaemia","iron deficiency anemia","HP_0001891","Original","Not serious",2019,"S",NA,NA,NA,NA,NA
"Adakveo","Crizanlizumab","CRIZANLIZUMAB","CHEMBL4297734","ENSG00000174175","Original","Novartis","P-selectin blocker","Other indication","Painful complications of SCD","sickle cell disease and related diseases","MONDO_0017146","Original","Serious",2019,"P, O, B",FALSE,2019,FALSE,FALSE,FALSE
"Adbry","Tralokinumab","Tralokinumab","CHEMBL1743081","ENSG00000169194","Original","LEO Pharma","IL-13-targeted mAb","Other indication","Atopic dermatitis","atopic eczema","EFO_0000274","Original","Not serious",2021,"S",TRUE,2021,FALSE,FALSE,FALSE
"Addyi","Flibanserin","FLIBANSERIN","CHEMBL231068","ENSG00000178394, ENSG00000102468, ENSG00000069696","Original","Sprout","Serotonin receptor modulator","Other indication","Hypoactive sexual desire disorder","sexual dysfunction","EFO_0004714","Original","Not serious",2015,"S",FALSE,2015,FALSE,FALSE,FALSE
"Adempas","Riociguat","RIOCIGUAT","CHEMBL2107834","ENSG00000123201, ENSG00000164116, ENSG00000061918, ENSG00000152402","Original","Bayer","Soluble guanylyl cyclase stimulator","Other indication","Persistent or recurrent chronic thromboembolic pulmonary hypertension and pulmonary arterial hypertension","pulmonary arterial hypertension","EFO_0001361","Original","Serious",2013,"P, O",TRUE,2013,FALSE,FALSE,FALSE
"Adlyxin","Lixisenatide","LIXISENATIDE","CHEMBL2108336","ENSG00000112164","Original","Sanofi","GLP1 receptor agonist","Other indication","Diabetes","diabetes mellitus","EFO_0000400","Original","Not concordant",2016,"S",TRUE,2016,FALSE,FALSE,FALSE
"Aduhelm","Aducanumab","Aducanumab","CHEMBL3039540","ENSG00000142192","Original","Biogen/Eisai","Amyloid-beta-targeted mAb","Other indication","Alzheimers disease","Alzheimers disease","MONDO_0004975","Original","Serious",2021,"P, A, F",TRUE,2021,FALSE,FALSE,FALSE
"Aemcolo","Rifamycin","RIFAMYCIN","CHEMBL437765",NA,"Original","Cosmo Technologies","Ansamycin antibacterial","No human target","Travellers diarrhoea","Diarrhea","HP_0002014","Original","Not serious",2018,"P, F",NA,NA,NA,NA,NA
"Aimovig","Erenumab","ERENUMAB","CHEMBL3833329","ENSG00000064989","Original","Amgen/Novartis","CGRP receptor antibody","Other indication","Migraine","migraine disorder","MONDO_0005277","Original","Not serious",2018,"S",TRUE,2018,TRUE,FALSE,FALSE
"Ajovy","Fremanezumab","FREMANEZUMAB","CHEMBL4297756","ENSG00000110680, ENSG00000175868","Original","Teva","CGRP antibody","Other indication","Migraine","migraine disorder","MONDO_0005277","Original","Not serious",2018,"P",TRUE,2018,FALSE,FALSE,FALSE
"Aklief","Trifarotene","TRIFAROTENE","CHEMBL3707313","ENSG00000172819","Original","Galderma","Retinoic acid receptor agonist","Other indication","Acne vulgaris","acne","EFO_0003894","Original","Not serious",2019,"S",FALSE,2019,FALSE,FALSE,FALSE
