"table_data","estimate","lower","upper","midp_p_value","fisher_p_value","chi_square_p_value"
"non-Oncology",0.149114853280922,0.0500337560343998,0.351604346063052,1.10560690025352e-06,1.82312490254846e-06,6.21250479651079e-06
"Standard",0.485173965059345,0.27585353840912,0.84419834900776,0.010448738796161,0.0109740494963229,0.00939829224301773
"non-Expedited",0.517255171745871,0.295848445765648,0.903943973014086,0.0207977823082848,0.0205203614770933,0.0181995876423802
"Breakthrough",1.36531144392443,0.744490689781432,2.61726895832221,0.3208407063394,0.364648429131454,0.315286217017283
"Orphan",1.63103751243611,0.938052553091669,2.87172856963831,0.0831964566203811,0.0936762138823144,0.0805269342183653
"Fast track",1.92320438711215,1.04391480661551,3.72843140804661,0.0355246357162655,0.0406642735194484,0.0369531188056098
"Expedited",1.93337938586873,1.10626325287134,3.38010901971117,0.0207977823082848,0.0205203614770933,0.0181995876423802
"Priority",2.06119044701248,1.18455573998144,3.62511210030916,0.0104487387961609,0.0109740494963229,0.00939829224301773
"Oncology",6.70600524608511,2.84410591392598,19.9865066958488,1.10560690025352e-06,1.82312490254846e-06,6.21250479651079e-06
"Accelerated",8.50387168103656,2.55304349413373,56.8854004643635,5.84704976573924e-05,7.41352723996167e-05,0.00031236903228559
