"yearApproval","c_humanTargets","c_hasAnyGE","c_priorDate","c_postDate","n","c_nonhumanTargets","f_nonhumanTargets","c_noGE","f_noGE","f_priorDate","f_postDate"
2013,21,19,14,5,27,6,22.2222222222222,2,7.40740740740741,51.8518518518518,18.5185185185185
2014,28,20,17,3,41,13,31.7073170731707,8,19.5121951219512,41.4634146341463,7.31707317073171
2015,33,27,23,4,45,12,26.6666666666667,6,13.3333333333333,51.1111111111111,8.88888888888889
2016,18,16,14,2,22,4,18.1818181818182,2,9.09090909090909,63.6363636363636,9.09090909090909
2017,37,29,26,3,46,9,19.5652173913043,8,17.3913043478261,56.5217391304348,6.52173913043478
2018,45,38,36,2,59,14,23.728813559322,7,11.864406779661,61.0169491525424,3.38983050847458
2019,38,30,29,1,48,10,20.8333333333333,8,16.6666666666667,60.4166666666667,2.08333333333333
2020,42,33,32,1,53,11,20.7547169811321,9,16.9811320754717,60.377358490566,1.88679245283019
2021,44,36,36,0,50,6,12,8,16,72,0
2022,30,23,23,0,37,7,18.9189189189189,7,18.9189189189189,62.1621621621622,0
