"Brand_name","Drug_name_original","Drug_name","Sponsor","DrugId","Properties","Indication","Indication_EFO","DiseaseId","TA","Review_type","Year.x","Year.y","has_GE"
"Lutathera","Lutetium Lu 177 dotatate","LUTETIUM LU 177 DOTATATE","Advanced Accelerator Applications/Novartis","CHEMBL3989924","Somatostatin receptor-targeted radiopharmaceutical","GEP-NETs","digestive system neuroendocrine neoplasm","MONDO_0024503","Oncology","P, O",2018,2018,TRUE
"Biktarvy","Bictegravir; emtricitabine; tenofovir alafenamide","BICTEGRAVIR","Gilead Sciences","CHEMBL3989866","HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors","HIV","hiv infection","EFO_0000764","Infectious","P",2018,NA,NA
"Biktarvy","Bictegravir; emtricitabine; tenofovir alafenamide","EMTRICITABINE","Gilead Sciences","CHEMBL885","HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors","HIV","hiv infection","EFO_0000764","Infectious","P",2018,NA,NA
"Biktarvy","Bictegravir; emtricitabine; tenofovir alafenamide","TENOFOVIR ALAFENAMIDE","Gilead Sciences","CHEMBL2107825","HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors","HIV","hiv infection","EFO_0000764","Infectious","P",2018,NA,NA
"Symdeko","Tezacaftor; ivacaftor","TEZACAFTOR","Vertex Pharmaceuticals","CHEMBL3544914","CFTR corrector and CFTR potentiator","Cystic fibrosis","cystic fibrosis","MONDO_0009061","Metabolic","P, O, B",2018,2018,TRUE
"Symdeko","Tezacaftor; ivacaftor","IVACAFTOR","Vertex Pharmaceuticals","CHEMBL2010601","CFTR corrector and CFTR potentiator","Cystic fibrosis","cystic fibrosis","MONDO_0009061","Metabolic","P, O, B",2018,2018,TRUE
"Erleada","Apalutamide","APALUTAMIDE","Johnson & Johnson","CHEMBL3183409","Androgen receptor inhibitor","Prostate cancer","prostate cancer","MONDO_0008315","Oncology","P",2018,2018,TRUE
"Trogarzo","Ibalizumab","IBALIZUMAB","TaiMed Biologics/Theratechnologies","CHEMBL1743029","CD4 antibody","HIV","hiv infection","EFO_0000764","Infectious","P, O, B",2018,2018,TRUE
"Ilumya","Tildrakizumab","TILDRAKIZUMAB","Sun Pharma","CHEMBL2108681","IL-23 antibody","Plaque psoriasis","psoriasis vulgaris","EFO_1001494","Dermatology","S",2018,2018,TRUE
"Tavalisse","Fostamatinib","FOSTAMATINIB","Rigel Pharmaceuticals","CHEMBL2103830","SYK inhibitor","Immune thrombocytopenic purpura","autoimmune thrombocytopenic purpura","EFO_0007160","Hematology","S, O",2018,2018,TRUE
"Crysvita","Burosumab","BUROSUMAB","Ultragenyx Pharmaceutical/Kyowa Hakko Kirin","CHEMBL3707326","FGF23 antibody","X-linked hypophosphataemia","Hypophosphatemia","HP_0002148","Endocrine","P, O, B",2018,2018,TRUE
"Akynzeo IV","Palonosetron; fosnetupitant","PALONOSETRON","Helsinn Group","CHEMBL1189679","5-HT3-receptor antagonist and NK1-receptor antagonist","Chemotherapy-induced emesis","Chemotherapy-induced nausea and vomiting","EFO_0006911","Other","S",2018,2018,FALSE
"Akynzeo IV","Palonosetron; fosnetupitant","FOSNETUPITANT","Helsinn Group","CHEMBL3989917","5-HT3-receptor antagonist and NK1-receptor antagonist","Chemotherapy-induced emesis","Chemotherapy-induced nausea and vomiting","EFO_0006911","Other","S",2018,2018,FALSE
"Lucemyra","Lofexidine","LOFEXIDINE","US WorldMeds","CHEMBL17860","beta2-adrenoceptor agonist","Opioid withdrawal","opioid dependence","EFO_0005611","Other","P",2018,2018,FALSE
"Aimovig","Erenumab","ERENUMAB","Amgen/Novartis","CHEMBL3833329","CGRP receptor antibody","Migraine","migraine disorder","MONDO_0005277","Neurological","S",2018,2018,TRUE
"Lokelma","Sodium zirconium cyclosilicate","SODIUM ZIRCONIUM CYCLOSILICATE","AstraZeneca","CHEMBL3301592","Potassium binder","Hyperkalaemia","hyperkalemia","HP_0002153","Nephrology","S",2018,NA,NA
"Doptelet","Avatrombopag","AVATROMBOPAG","Dova Pharmaceuticals","CHEMBL2103883","Thrombopoietin receptor agonist","Thrombocytopenia","thrombocytopenia","HP_0001873","Hematology","P",2018,2018,TRUE
"Palynziq","Pegvaliase","PEGVALIASE","BioMarin Pharmaceutical","CHEMBL4297802","PAL replacement therapy","Phenylketonuria","phenylketonuria","MONDO_0009861","Metabolic","P, O",2018,NA,NA
"Olumiant","Baricitinib","BARICITINIB","Incyte/Eli Lilly","CHEMBL2105759","JAK inhibitor","Rheumatoid arthritis","rheumatoid arthritis","EFO_0000685","Immunology","S",2018,2018,TRUE
"Moxidectin","Moxidectin","MOXIDECTIN","Medicines Development for Global Health","CHEMBL2104415","Antihelmintic GABA receptor and glutamate channel modulator","River blindness","ocular onchocerciasis","EFO_0007398","Other","P, O",2018,NA,NA
"Epidiolex","Cannabidiol","CANNABIDIOL","GW Pharmaceuticals","CHEMBL190461","Cannabinoid","Dravet syndrome and Lennox-Gastaut syndrome","Dravet syndrome; Lennox-Gastaut syndrome","Orphanet_33069; MONDO_0016532","Neurological","P, O",2018,2018,FALSE
"Zemdri","Plazomicin","PLAZOMICIN","Achaogen","CHEMBL1650559","Aminoglycoside antibacterial","Urinary tract infections","urinary tract infection","EFO_0003103","Infectious","P",2018,NA,NA
"Mektovi","Binimetinib","BINIMETINIB","Array BioPharma","CHEMBL3187723","MEK inhibitor","BRAF-mutated melanoma","melanoma","EFO_0000756","Oncology","S, O",2018,2018,TRUE
"Braftovi","Encorafenib","ENCORAFENIB","Array BioPharma","CHEMBL3301612","BRAF inhibitor","BRAF-mutated melanoma","melanoma","EFO_0000756","Oncology","S, O",2018,2018,TRUE
"TPOXX","Tecovirimat","TECOVIRIMAT","SIGA Technologies","CHEMBL1257073","Viral p37 protein inhibitor","Smallpox","smallpox","MONDO_0004651","Infectious","P, O",2018,NA,NA
"Tibsovo","Ivosidenib","IVOSIDENIB","Agios Pharmaceuticals","CHEMBL3989958","IDH1 inhibitor","IDH1-mutated AML, Locally Advanced or Metastatic Cholangiocarcinoma (*)","acute myeloid leukemia; cholangiocarcinoma","EFO_0000222; EFO_0005221","Oncology","P, O",2018,2018,TRUE
"Krintafel","Tafenoquine","TAFENOQUINE","Medicines for Malaria Venture/GlaxoSmithKline","CHEMBL298470","8-Aminoquinoline antimalarial","Plasmodium vivax malaria","Plasmodium vivax malaria","EFO_0007445","Infectious","P, O, B",2018,NA,NA
"Orilissa","Elagolix sodium","ELAGOLIX SODIUM","AbbVie","CHEMBL502182","GnRH receptor antagonist","Pain associated with endometriosis","adenomyosis; pain","MONDO_0010888; EFO_0003843","Other","P",2018,2018,TRUE
"Omegaven","Fish oil triglycerides","FISH OIL TRIGLYCERIDES","Fresenius","CHEMBL4297535","Mixture of fatty acids","Parenteral nutrition-associated cholestasis","cholestasis","MONDO_0001751","Other","P, O",2018,2018,TRUE
"Mulpleta","Lusutrombopag","LUSUTROMBOPAG","Shionogi","CHEMBL2107831","Thrombopoietin receptor agonist","Thrombocytopenia","thrombocytopenia","HP_0001873","Hematology","P",2018,2018,TRUE
"Poteligeo","Mogamulizumab","MOGAMULIZUMAB","Kyowa Hakko Kirin","CHEMBL1743041","CCR4 antibody","mycosis fungoides or Sezary syndrome","mycosis fungoides","EFO_1001051","Oncology","P, O, B",2018,2018,TRUE
"Onpattro","Patisiran","PATISIRAN","Alnylam Pharmaceuticals","CHEMBL3989987","TTR-directed small interfering RNA","Hereditary TTR-mediated amyloidosis","hereditary ATTR amyloidosis","MONDO_0017132","Metabolic","P, O, B",2018,2018,TRUE
