"Brand_name","Drug_name_original","Drug_name","Sponsor","DrugId","Properties","Indication","Indication_EFO","DiseaseId","TA","Review_type","Year.x","targetIds","Year.y","has_GE"
"Lutathera","Lutetium Lu 177 dotatate","LUTETIUM LU 177 DOTATATE","Advanced Accelerator Applications/Novartis","CHEMBL3989924","Somatostatin receptor-targeted radiopharmaceutical","GEP-NETs","digestive system neuroendocrine neoplasm","MONDO_0024503","Oncology","P, O",2018,"ENSG00000139874; ENSG00000162009; ENSG00000278195; ENSG00000132671; ENSG00000180616",2018,TRUE
"Biktarvy","Bictegravir; emtricitabine; tenofovir alafenamide","BICTEGRAVIR","Gilead Sciences","CHEMBL3989866","HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors","HIV","hiv infection","EFO_0000764","Infectious","P",2018,"",NA,NA
"Biktarvy","Bictegravir; emtricitabine; tenofovir alafenamide","EMTRICITABINE","Gilead Sciences","CHEMBL885","HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors","HIV","hiv infection","EFO_0000764","Infectious","P",2018,"",NA,NA
"Biktarvy","Bictegravir; emtricitabine; tenofovir alafenamide","TENOFOVIR ALAFENAMIDE","Gilead Sciences","CHEMBL2107825","HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors","HIV","hiv infection","EFO_0000764","Infectious","P",2018,"",NA,NA
"Symdeko","Tezacaftor; ivacaftor","TEZACAFTOR","Vertex Pharmaceuticals","CHEMBL3544914","CFTR corrector and CFTR potentiator","Cystic fibrosis","cystic fibrosis","MONDO_0009061","Metabolic","P, O, B",2018,"ENSG00000001626; ENSG00000001626",2018,TRUE
"Symdeko","Tezacaftor; ivacaftor","IVACAFTOR","Vertex Pharmaceuticals","CHEMBL2010601","CFTR corrector and CFTR potentiator","Cystic fibrosis","cystic fibrosis","MONDO_0009061","Metabolic","P, O, B",2018,"ENSG00000001626; ENSG00000001626",2018,TRUE
"Erleada","Apalutamide","APALUTAMIDE","Johnson & Johnson","CHEMBL3183409","Androgen receptor inhibitor","Prostate cancer","prostate cancer","MONDO_0008315","Oncology","P",2018,"ENSG00000169083",2018,TRUE
"Trogarzo","Ibalizumab","IBALIZUMAB","TaiMed Biologics/Theratechnologies","CHEMBL1743029","CD4 antibody","HIV","hiv infection","EFO_0000764","Infectious","P, O, B",2018,"ENSG00000010610",2018,TRUE
"Ilumya","Tildrakizumab","TILDRAKIZUMAB","Sun Pharma","CHEMBL2108681","IL-23 antibody","Plaque psoriasis","psoriasis vulgaris","EFO_1001494","Dermatology","S",2018,"ENSG00000110944; ENSG00000113302",2018,TRUE
"Tavalisse","Fostamatinib","FOSTAMATINIB","Rigel Pharmaceuticals","CHEMBL2103830","SYK inhibitor","Immune thrombocytopenic purpura","autoimmune thrombocytopenic purpura","EFO_0007160","Hematology","S, O",2018,"ENSG00000165025",2018,TRUE
