"datasourceId","Drug_name","TA","noTarget","interactionAssociation","phenotypeAssociation","score","datasourceName","datasourceType","Year","Brand_name","Drug_name_original"
"cancer_biomarkers","Xenon Xe 129 hyperpolarized","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2022,NA,"Xenon Xe 129 hyperpolarized"
"cancer_biomarkers","Vonoprazan","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2022,NA,"Vonoprazan; amoxicillin; clarithromycin"
"cancer_biomarkers","Viloxazine","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021,NA,"Viloxazine"
"cancer_biomarkers","VIBEGRON","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020,"Gemtesa","Vibegron"
"cancer_biomarkers","Ublituximab","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2022,NA,"Ublituximab"
"cancer_biomarkers","TRIHEPTANOIN","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020,"Dojolvi","Triheptanoin"
"cancer_biomarkers","TRIFAROTENE","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2019,"Aklief","Trifarotene"
"cancer_biomarkers","TRICLABENDAZOLE","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2019,"Egaten","Triclabendazole"
"cancer_biomarkers","Terlipressin","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2022,NA,"Terlipressin"
"cancer_biomarkers","TEPROTUMUMAB","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020,"Tepezza","Teprotumumab"
"cancer_biomarkers","TENOFOVIR ALAFENAMIDE","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2018,"Biktarvy","Bictegravir; emtricitabine; tenofovir alafenamide"
"cancer_biomarkers","TENAPANOR","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2019,"Ibsrela","Tenapanor"
"cancer_biomarkers","TECOVIRIMAT","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2018,"TPOXX","Tecovirimat"
"cancer_biomarkers","Tebentafusp","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2022,NA,"Tebentafusp"
"cancer_biomarkers","taurursodiol","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2022,NA,"Sodium phenylbutyrate; taurursodiol"
"cancer_biomarkers","TAGRAXOFUSP","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2018,"Elzonris","Tagraxofusp"
"cancer_biomarkers","TAFENOQUINE","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2018,"Krintafel","Tafenoquine"
"cancer_biomarkers","Sutimlimab","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2022,NA,"Sutimlimab"
"cancer_biomarkers","SODIUM ZIRCONIUM CYCLOSILICATE","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2018,"Lokelma","Sodium zirconium cyclosilicate"
"cancer_biomarkers","Sodium phenylbutyrate","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2022,NA,"Sodium phenylbutyrate; taurursodiol"
"cancer_biomarkers","SARECYCLINE","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2018,"Seysara","Sarecycline"
"cancer_biomarkers","rilpivirine","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2021,NA,"Cabotegravir; rilpivirine"
"cancer_biomarkers","RIFAMYCIN","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2018,"Aemcolo","Rifamycin"
"cancer_biomarkers","REMDESIVIR","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020,"Veklury","Remdesivir"
"cancer_biomarkers","RELEBACTAM","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2019,"Recarbrio","Cilastatin; imipenem; relebactam"
"cancer_biomarkers","Relatlimab","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2022,NA,"Relatlimab; nivolumab"
"cancer_biomarkers","Relatlimab","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2022,NA,"Relatlimab; nivolumab"
"cancer_biomarkers","Relatlimab","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2022,NA,"Relatlimab; nivolumab"
"cancer_biomarkers","PSMA-11 GA-68","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020,"PSMA-11 Ga-68","PSMA-11 Ga-68"
"cancer_biomarkers","PRUCALOPRIDE","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2018,"Motegrity","Prucalopride"
"cancer_biomarkers","PRETOMANID","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2019,"Pretomanid","Pretomanid"
"cancer_biomarkers","PRABOTULINUMTOXIN A","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2019,"Jeuveau","Prabotulinumtoxin A"
"cancer_biomarkers","PLAZOMICIN","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2018,"Zemdri","Plazomicin"
"cancer_biomarkers","PITOLISANT","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2019,"Wakix","Pitolisant"
"cancer_biomarkers","Piflufolastat F-18","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2021,NA,"Piflufolastat F-18"
"cancer_biomarkers","PEGVALIASE","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2018,"Palynziq","Pegvaliase"
"cancer_biomarkers","PALONOSETRON","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2018,"Akynzeo IV","Palonosetron; fosnetupitant"
"cancer_biomarkers","Pafolacianine","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2021,NA,"Pafolacianine"
"cancer_biomarkers","Oteseconazole","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2022,NA,"Oteseconazole"
"cancer_biomarkers","Omidenepag isopropyl","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2022,NA,"Omidenepag isopropyl"
"cancer_biomarkers","Omidenepag isopropyl","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2022,NA,"Omidenepag isopropyl"
"cancer_biomarkers","OMADACYCLINE","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2018,"Nuzyra","Omadacycline"
"cancer_biomarkers","OMADACYCLINE","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2018,"Nuzyra","Omadacycline"
"cancer_biomarkers","OLICERIDINE","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020,"Olinvyk","Oliceridine"
"cancer_biomarkers","ODESIVIMAB","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020,"Inmazeb","Atoltivimab; odesivimab; maftivimab"
"cancer_biomarkers","NIFURTIMOX","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020,"Lampit","Nifurtimox"
"cancer_biomarkers","NAXITAMAB","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020,"Danyelza","Naxitamab"
"cancer_biomarkers","MOXIDECTIN","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2018,"Moxidectin","Moxidectin"
"cancer_biomarkers","Melphalan flufenamide","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2021,NA,"Melphalan flufenamide"
"cancer_biomarkers","Maribavir","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2021,NA,"Maribavir"
"cancer_biomarkers","MAFTIVIMAB","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020,"Inmazeb","Atoltivimab; odesivimab; maftivimab"
"cancer_biomarkers","LURBINECTEDIN","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020,"Zepzelca","Lurbinectedin"
"cancer_biomarkers","LUMASIRAN","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020,"Oxlumo","Lumasiran"
"cancer_biomarkers","LONAFARNIB","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020,"Zokinvy","Lonafarnib"
"cancer_biomarkers","LOFEXIDINE","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2018,"Lucemyra","Lofexidine"
"cancer_biomarkers","Lenacapavir","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2022,NA,"Lenacapavir"
"cancer_biomarkers","LEFAMULIN","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2019,"Xenleta","Lefamulin"
"cancer_biomarkers","LASMIDITAN","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2019,"Reyvow","Lasmiditan"
"cancer_biomarkers","LANADELUMAB","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2018,"Takhzyro","Lanadelumab"
"cancer_biomarkers","LACTITOL","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020,"Pizensy","Lactitol"
"cancer_biomarkers","INEBILIZUMAB","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020,"Uplizna","Inebilizumab"
"cancer_biomarkers","IMIPENEM","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2019,"Recarbrio","Cilastatin; imipenem; relebactam"
"cancer_biomarkers","Ibrexafungerp","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2021,NA,"Ibrexafungerp"
"cancer_biomarkers","GIVOSIRAN","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2019,"Givlaari","Givosiran"
"cancer_biomarkers","GALLIUM DOTATOC GA-68","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2019,"Gallium dotatoc Ga-68","Gallium dotatoc Ga-68"
"cancer_biomarkers","Gadopiclenol","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2022,NA,"Gadopiclenol"
"cancer_biomarkers","FOSTEMSAVIR","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020,"Rukobia","Fostemsavir"
"cancer_biomarkers","FOSNETUPITANT","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2018,"Akynzeo IV","Palonosetron; fosnetupitant"
"cancer_biomarkers","Fosdenopterin","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2021,NA,"Fosdenopterin"
"cancer_biomarkers","FLUOROESTRADIOL F-18","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020,"Fluoroestradiol F-18","Fluoroestradiol F-18"
"cancer_biomarkers","FLUORODOPA F-18","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2019,"Fluorodopa F-18","Fluorodopa F-18"
"cancer_biomarkers","FLORTAUCIPIR F-18","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020,"Flortaucipir F-18","Flortaucipir F-18"
"cancer_biomarkers","Fexinidazole","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2021,NA,"Fexinidazole"
"cancer_biomarkers","estetrol","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021,NA,"Drospirenone; estetrol"
"cancer_biomarkers","ERAVACYCLINE","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2018,"Xerava","Eravacycline"
"cancer_biomarkers","EMTRICITABINE","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2018,"Biktarvy","Bictegravir; emtricitabine; tenofovir alafenamide"
"cancer_biomarkers","Efgartigimod alfa","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021,NA,"Efgartigimod alfa"
"cancer_biomarkers","Drospirenone","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021,NA,"Drospirenone; estetrol"
"cancer_biomarkers","DORAVIRINE","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2018,"Pifeltro","Doravirine"
"cancer_biomarkers","Difelikefalin","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021,NA,"Difelikefalin"
"cancer_biomarkers","DaxibotulinumtoxinA","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2022,NA,"DaxibotulinumtoxinA"
"cancer_biomarkers","CRIZANLIZUMAB","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2019,"Adakveo","Crizanlizumab"
