"datasourceId","Drug_name","TA","noTarget","interactionAssociation","phenotypeAssociation","score","datasourceName","datasourceType","Year","Brand_name","Drug_name_original"
"cancer_biomarkers","VORAPAXAR","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Zontivity","Vorapaxar"
"cancer_biomarkers","VORAPAXAR","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Zontivity","Vorapaxar"
"cancer_biomarkers","URIDINE","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Xuriden","Uridine"
"cancer_biomarkers","TRIFLURIDINE","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Lonsurf","Tipiracil; trifluridine"
"cancer_biomarkers","TRABECTEDIN","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Yondelis","Trabectedin"
"cancer_biomarkers","TRABECTEDIN","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Yondelis","Trabectedin"
"cancer_biomarkers","TIPIRACIL","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Lonsurf","Tipiracil; trifluridine"
"cancer_biomarkers","TENOFOVIR","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Genvoya","Elvitegravir; cobicistat; emtricitabine; tenofovir"
"cancer_biomarkers","TEDIZOLID","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2014,"Sivextro","Tedizolid"
"cancer_biomarkers","TAZOBACTAM","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2014,"Zerbaxa","Ceftolozane; tazobactam"
"cancer_biomarkers","TAVABOROLE","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2014,"Kerydin","Tavaborole"
"cancer_biomarkers","TASIMELTEON","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Hetlioz","Tasimelteon"
"cancer_biomarkers","SULFUR HEXAFLUORIDE LIPID-TYPE A MICROSPHERES","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2014,"Lumason","Sulfur hexafluoride lipid-type A microspheres"
"cancer_biomarkers","SUGAMMADEX","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Bridion","Sugammadex"
"cancer_biomarkers","SOFOSBUVIR","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2014,"Harvoni","Ledipasvir; sofosbuvir"
"cancer_biomarkers","SELEXIPAG","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Uptravi","Selexipag"
"cancer_biomarkers","SECUKINUMAB","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Cosentyx","Secukinumab"
"cancer_biomarkers","SEBELIPASE ALFA","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Kanuma","Sebelipase alfa"
"cancer_biomarkers","SACUBITRIL","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Entresto","Sacubitril; valsartan"
"cancer_biomarkers","ROLAPITANT","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Varubi","Rolapitant"
"cancer_biomarkers","RITONAVIR","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Viekira Pak","Ombitasvir; paritaprevir; dasabuvir; ritonavir"
"cancer_biomarkers","PIRFENIDONE","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2014,"Esbriet","Pirfenidone"
"cancer_biomarkers","PERAMIVIR","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2014,"Rapivab","Peramivir"
"cancer_biomarkers","PERAMIVIR","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2014,"Rapivab","Peramivir"
"cancer_biomarkers","PEMBROLIZUMAB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Keytruda","Pembrolizumab"
"cancer_biomarkers","PEGINTERFERON BETA-1A","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Plegridy","Peginterferon beta-1A"
"cancer_biomarkers","PATIROMER SORBITEX","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Veltassa","Patiromer sorbitex"
"cancer_biomarkers","PARITAPREVIR","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2014,"Viekira Pak","Ombitasvir; paritaprevir; dasabuvir; ritonavir"
"cancer_biomarkers","PALONOSETRON","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Akynzeo","Netupitant; palonosetron"
"cancer_biomarkers","ORITAVANCIN","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2014,"Orbactiv","Oritavancin"
"cancer_biomarkers","OMBITASVIR","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2014,"Viekira Pak","Ombitasvir; paritaprevir; dasabuvir; ritonavir"
"cancer_biomarkers","NIVOLUMAB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Opdivo","Nivolumab"
"cancer_biomarkers","NETUPITANT","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Akynzeo","Netupitant; palonosetron"
"cancer_biomarkers","NALOXEGOL","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Movantik","Naloxegol"
"cancer_biomarkers","MILTEFOSINE","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2014,"Impavido","Miltefosine"
"cancer_biomarkers","LEDIPASVIR","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2014,"Harvoni","Ledipasvir; sofosbuvir"
"cancer_biomarkers","ISAVUCONAZONIUM","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Cresemba","Isavuconazonium"
"cancer_biomarkers","ISAVUCONAZONIUM","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Cresemba","Isavuconazonium"
"cancer_biomarkers","IDARUCIZUMAB","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Praxbind","Idarucizumab"
"cancer_biomarkers","FLORBETABEN-F18","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2014,"Neuraceq","Florbetaben-F18"
"cancer_biomarkers","FLIBANSERIN","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Addyi","Flibanserin"
"cancer_biomarkers","FINAFLOXACIN","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2014,"Xtoro","Finafloxacin"
"cancer_biomarkers","EMTRICITABINE","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Genvoya","Elvitegravir; cobicistat; emtricitabine; tenofovir"
"cancer_biomarkers","EMPAGLIFLOZIN","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Jardiance","Empagliflozin"
"cancer_biomarkers","ELVITEGRAVIR","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Genvoya","Elvitegravir; cobicistat; emtricitabine; tenofovir"
"cancer_biomarkers","ELUXADOLINE","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Viberzi","Eluxadoline"
"cancer_biomarkers","ELOSULFASE ALFA","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2014,"Vimizim","Elosulfase alfa"
"cancer_biomarkers","ELIGLUSTAT","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Cerdelga","Eliglustat"
"cancer_biomarkers","EFINACONAZOLE","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2014,"Jublia","Efinaconazole"
"cancer_biomarkers","DINUTUXIMAB","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Unituxin","Dinutuximab"
"cancer_biomarkers","DEOXYCHOLIC ACID","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Kybella","Deoxycholic acid"
"cancer_biomarkers","DASABUVIR","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2014,"Viekira Pak","Ombitasvir; paritaprevir; dasabuvir; ritonavir"
"cancer_biomarkers","DAPAGLIFLOZIN","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Farxiga","Dapagliflozin"
"cancer_biomarkers","DALBAVANCIN","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2014,"Dalvance","Dalbavancin"
"cancer_biomarkers","DACLATASVIR","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Daklinza","Daclatasvir"
"cancer_biomarkers","COBICISTAT","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Genvoya","Elvitegravir; cobicistat; emtricitabine; tenofovir"
"cancer_biomarkers","CHOLIC ACID","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Cholbam","Cholic acid"
"cancer_biomarkers","CHOLIC ACID","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Cholbam","Cholic acid"
"cancer_biomarkers","CEFTOLOZANE","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2014,"Zerbaxa","Ceftolozane; tazobactam"
"cancer_biomarkers","CEFTAZIDIME","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Avycaz","Avibactam; ceftazidime"
"cancer_biomarkers","CANGRELOR","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Kengreal","Cangrelor"
"cancer_biomarkers","BLINATUMOMAB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Blincyto","Blinatumomab"
"cancer_biomarkers","AVIBACTAM","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Avycaz","Avibactam; ceftazidime"
"cancer_biomarkers","ASFOTASE ALFA","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Strensiq","Asfotase alfa"
"cancer_biomarkers","VALSARTAN","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Entresto","Sacubitril; valsartan"
"cancer_biomarkers","OLODATEROL","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Striverdi Respimat","Olodaterol"
"cancer_biomarkers","EVOLOCUMAB","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Repatha","Evolocumab"
"cancer_biomarkers","ELOTUZUMAB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Empliciti","Elotuzumab"
"cancer_biomarkers","DROXIDOPA","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Northera","Droxidopa"
"cancer_biomarkers","BELINOSTAT","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Beleodaq","Belinostat"
"cancer_biomarkers","ALIROCUMAB","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Praluent","Alirocumab"
"cancer_biomarkers","NINTEDANIB","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Ofev","Nintedanib"
"cancer_biomarkers","MEPOLIZUMAB","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Nucala","Mepolizumab"
"cancer_biomarkers","DARATUMUMAB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Darzalex","Daratumumab"
"cancer_biomarkers","APREMILAST","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Otezla","Apremilast"
"cancer_biomarkers","APREMILAST","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Otezla","Apremilast"
"cancer_biomarkers","IVABRADINE","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Corlanor","Ivabradine"
"cancer_biomarkers","SUVOREXANT","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Belsomra","Suvorexant"
"cancer_biomarkers","METRELEPTIN","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Myalept","Metreleptin"
"cancer_biomarkers","EDOXABAN","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Savaysa","Edoxaban"
"cancer_biomarkers","EDOXABAN","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Savaysa","Edoxaban"
"cancer_biomarkers","PALBOCICLIB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Ibrance","Palbociclib"
"cancer_biomarkers","PANOBINOSTAT","Oncology",FALSE,TRUE,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Farydak","Panobinostat"
"cancer_biomarkers","SILTUXIMAB","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Sylvant","Siltuximab"
"cancer_biomarkers","IDELALISIB","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Zydelig","Idelalisib"
"cancer_biomarkers","IDELALISIB","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Zydelig","Idelalisib"
"cancer_biomarkers","PARATHYROID HORMONE","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Natpara","Parathyroid hormone"
"cancer_biomarkers","PARATHYROID HORMONE","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Natpara","Parathyroid hormone"
"cancer_biomarkers","VEDOLIZUMAB","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Entyvio","Vedolizumab"
"cancer_biomarkers","VEDOLIZUMAB","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Entyvio","Vedolizumab"
"cancer_biomarkers","LESINURAD","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Zurampic","Lesinurad"
"cancer_biomarkers","RAMUCIRUMAB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Cyramza","Ramucirumab"
"cancer_biomarkers","OLAPARIB","Oncology",FALSE,TRUE,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Lynparza","Olaparib"
"cancer_biomarkers","ARIPIPRAZOLE LAUROXIL","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Aristada","Aripiprazole lauroxil"
"cancer_biomarkers","DULAGLUTIDE","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Trulicity","Dulaglutide"
"cancer_biomarkers","ALBIGLUTIDE","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Tanzeum","Albiglutide"
"cancer_biomarkers","CARIPRAZINE","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Vraylar","Cariprazine"
"cancer_biomarkers","CARIPRAZINE","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Vraylar","Cariprazine"
"cancer_biomarkers","LENVATINIB","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Lenvima","Lenvatinib"
"cancer_biomarkers","SONIDEGIB","Oncology",FALSE,TRUE,TRUE,0.607930797611621,"Cancer Biomarkers (CGI)","Somatic",2015,"Odomzo","Sonidegib"
"cancer_biomarkers","BREXPIPRAZOLE","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Rexulti","Brexpiprazole"
"cancer_biomarkers","BREXPIPRAZOLE","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Rexulti","Brexpiprazole"
"cancer_biomarkers","IXAZOMIB","Oncology",FALSE,TRUE,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Ninlaro","Ixazomib"
"cancer_biomarkers","LUMACAFTOR","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Orkambi","Ivacaftor; lumacaftor"
"cancer_biomarkers","IVACAFTOR","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Orkambi","Ivacaftor; lumacaftor"
"cancer_biomarkers","ALECTINIB","Oncology",FALSE,TRUE,TRUE,0.979400228199195,"Cancer Biomarkers (CGI)","Somatic",2015,"Alecensa","Alectinib"
"cancer_biomarkers","CERITINIB","Oncology",FALSE,TRUE,TRUE,0.979400228199195,"Cancer Biomarkers (CGI)","Somatic",2014,"Zykadia","Ceritinib"
