drugId,yearApproval,brandDrugName,originalDrugName,drugName,targetIds,interactorIds,targetType,sponsor,properties,therapeuticArea,indication,diseaseName,diseaseIds,relatedIds,diseaseType,diseaseClass,reviewType,hasAnyGE,hasInteractorDiseasesGE,hasTargetRelatedGE,hasInteractorRelatedGE,hasTargetDiseaseGE
CHEMBL4297802,2018,Palynziq,Pegvaliase,PEGVALIASE,NA,NA,Original,BioMarin Pharmaceutical,PAL replacement therapy,No human target,Phenylketonuria,phenylketonuria,MONDO_0009861,NA,Original,Serious,"P,O,F",NA,NA,NA,NA,NA
"CHEMBL3039514,CHEMBL2063090",2016,Zepatier,"Elbasvir, grazoprevir","ELBASVIR,GRAZOPREVIR","NA,NA",NA,Original,Merck & Co.,NS5A inhibitor plus NS3/4A protease inhibitor,No human target,HCV genotypes 1 and 4,hepatitis C virus infection,EFO_0003047,NA,Original,Serious,"P,B",NA,NA,NA,NA,NA
CHEMBL1650559,2018,Zemdri,Plazomicin,PLAZOMICIN,NA,NA,Original,Achaogen,Aminoglycoside antibacterial,No human target,Urinary tract infections,urinary tract infection,EFO_0003103,NA,Original,Not serious,P,NA,NA,NA,NA,NA
CHEMBL361497,2020,Artesunate,Artesunate,ARTESUNATE,NA,NA,Original,Amivas,Artemisinin antimalarial,No human target,Serious malaria,malaria,EFO_0001068,NA,Original,Serious,"P,O,B,F",NA,NA,NA,NA,NA
CHEMBL4297513,2021,Brexafemme,Ibrexafungerp,Ibrexafungerp,NA,NA,Original,Scynexis,Triterpenoid antifungal,No human target,Vulvovaginal candidiasis,NA,NA,NA,Original,NA,"P,F",NA,NA,NA,NA,NA
CHEMBL3989974,2019,Fetroja,Cefiderocol,CEFIDEROCOL,NA,NA,Original,Shionogi,Cephalosporin antibacterial,No human target,Complicated urinary tract infections,urinary tract infection,EFO_0003103,NA,Original,Not serious,"P,F",NA,NA,NA,NA,NA
"CHEMBL3127326,CHEMBL3391662,CHEMBL3137312,CHEMBL163",2014,Viekira Pak,"Ombitasvir, paritaprevir, dasabuvir, ritonavir","OMBITASVIR,PARITAPREVIR,DASABUVIR,RITONAVIR","NA,NA,NA,ENSG00000021461,ENSG00000160870,ENSG00000106258,ENSG00000160868",NA,Original,AbbVie,An NS5A inhibitor plus an NS3A- and NS4A-protease inhibitor plus a non-nucleoside NS5B-palm-polymerase inhibitor plus a CYP3A inhibitor,Other indication,Chronic HCV genotype 1 infection,hepatitis C virus infection,EFO_0003047,NA,Original,Serious,"P,B,F",NA,FALSE,FALSE,FALSE,NA
CHEMBL2219415,2013,Dotarem,Gadoterate meglumine,GADOTERATEMEGLUMINE,NA,NA,Original,Guerbet,Gadolinium-based contrast agent,No human target,Contrast agent to visualize disruption of the blood-brain barrier,NA,NA,NA,Original,NA,P,NA,NA,NA,NA,NA
CHEMBL110,2017,Benznidazole,Benznidazole,BENZNIDAZOLE,NA,NA,Original,Chemo Research,Nitroimidazole antimicrobial,No human target,Chagas disease,Chagas disease,MONDO_0001444,NA,Original,Serious,"P,O,A",NA,NA,NA,NA,NA
CHEMBL1257073,2018,TPOXX,Tecovirimat,TECOVIRIMAT,NA,NA,Original,SIGA Technologies,Viral p37 protein inhibitor,No human target,Smallpox,smallpox,MONDO_0004651,NA,Original,Serious,"P,O,F",NA,NA,NA,NA,NA
CHEMBL125,2014,Impavido,Miltefosine,MILTEFOSINE,NA,NA,Original,Knight,MOA unknown,No human target,Leishmaniasis,Leishmaniasis,EFO_0005044,NA,Original,Not concordant,"P,O,F",NA,NA,NA,NA,NA
