"brandDrugName","originalDrugName","drugName","drugId","sponsor","properties","therapeuticArea","indication","diseaseName","diseaseIds","diseaseClass","reviewType","yearApproval","OriginalDrugId","targetIds","interactorIds","relatedIds"
"Accrufer","Ferric maltol","FERRICMALTOL","CHEMBL4298110","Shield Therapeutics","Iron replacement product","No human target","Iron deficiency anaemia","iron deficiency anemia","HP_0001891","Not serious","S","2019","CHEMBL4298110","NA","NA","EFO_0004272"
"Adakveo","Crizanlizumab","CRIZANLIZUMAB","CHEMBL4297734","Novartis","P-selectin blocker","Other indication","Painful complications of SCD","sickle cell disease and related diseases","MONDO_0017146","Serious","P,O,B","2019","CHEMBL4297734","ENSG00000174175","ENSG00000110876","NA"
"Adbry","Tralokinumab","Tralokinumab","CHEMBL1743081","LEO Pharma","IL-13-targeted mAb","Other indication","Atopic dermatitis","atopic eczema","EFO_0000274","Not serious","S","2021","CHEMBL1743081","ENSG00000169194","ENSG00000123496,ENSG00000131724","MONDO_0002406,HP_0000964"
"Addyi","Flibanserin","FLIBANSERIN","CHEMBL231068","Sprout","Serotonin receptor modulator","Other indication","Hypoactive sexual desire disorder","sexual dysfunction","EFO_0004714","Not serious","S","2015","CHEMBL231068","ENSG00000069696,ENSG00000178394,ENSG00000102468","ENSG00000043591,ENSG00000077782,ENSG00000111142,ENSG00000125967,ENSG00000147246,ENSG00000136854,ENSG00000170214,ENSG00000107186,ENSG00000118432,ENSG00000135914,ENSG00000142192,ENSG00000166573,ENSG00000183840,ENSG00000069696,ENSG00000164082,ENSG00000172020,ENSG00000102468","EFO_0008343"
"Adempas","Riociguat","RIOCIGUAT","CHEMBL2107834","Bayer","Soluble guanylyl cyclase stimulator","Other indication","Persistent or recurrent chronic thromboembolic pulmonary hypertension and pulmonary arterial hypertension","pulmonary arterial hypertension","EFO_0001361","Serious","P,O","2013","CHEMBL2107834","ENSG00000152402,ENSG00000123201,ENSG00000061918,ENSG00000164116","ENSG00000075711,ENSG00000063515,ENSG00000172164,ENSG00000074319,ENSG00000180900,ENSG00000061918,ENSG00000132535,ENSG00000164116,ENSG00000101400","EFO_0000537"
"Adlyxin","Lixisenatide","LIXISENATIDE","CHEMBL2108336","Sanofi","GLP1 receptor agonist","Other indication","Diabetes","diabetes mellitus","EFO_0000400","Not concordant","S","2016","CHEMBL2108336","ENSG00000112164","ENSG00000254997,ENSG00000221880,ENSG00000272804,ENSG00000186860,ENSG00000188581,ENSG00000221837,ENSG00000187766,ENSG00000197191,ENSG00000264343,ENSG00000286219","NA"
"Aduhelm","Aducanumab","Aducanumab","CHEMBL3039540","Biogen/Eisai","Amyloid-beta-targeted mAb","Other indication","Alzheimers disease","Alzheimers disease","MONDO_0004975","Serious","P,A,F","2021","CHEMBL3039540","ENSG00000142192","ENSG00000002330,ENSG00000008382,ENSG00000010017,ENSG00000011132,ENSG00000068001,ENSG00000078596,ENSG00000084234,ENSG00000108468,ENSG00000109971,ENSG00000111640,ENSG00000113575,ENSG00000115041,ENSG00000117984,ENSG00000120899,ENSG00000122861,ENSG00000124145,ENSG00000129515,ENSG00000132589,ENSG00000133816,ENSG00000134243,ENSG00000137642,ENSG00000137801,ENSG00000140941,ENSG00000143933,ENSG00000144744,ENSG00000145675,ENSG00000147955,ENSG00000151694,ENSG00000154096,ENSG00000158747,ENSG00000158828,ENSG00000160307,ENSG00000161011,ENSG00000163932,ENSG00000165025,ENSG00000168477,ENSG00000169783,ENSG00000169884,ENSG00000170276,ENSG00000178175,ENSG00000182240,ENSG00000183098,ENSG00000184144,ENSG00000184634,ENSG00000188157,ENSG00000198400,ENSG00000198668,ENSG00000198805,ENSG00000205572,ENSG00000256762,ENSG00000277586,ENSG00000278195,ENSG00000014216,ENSG00000049540,ENSG00000065320,ENSG00000072062,ENSG00000101439,ENSG00000102804,ENSG00000105851,ENSG00000107938,ENSG00000113140,ENSG00000113805,ENSG00000114646,ENSG00000118271,ENSG00000120885,ENSG00000121691,ENSG00000123384,ENSG00000123560,ENSG00000124214,ENSG00000126214,ENSG00000128482,ENSG00000130522,ENSG00000132703,ENSG00000132773,ENSG00000133858,ENSG00000134318,ENSG00000134853,ENSG00000135218,ENSG00000137463,ENSG00000137752,ENSG00000139318,ENSG00000141433,ENSG00000141551,ENSG00000142156,ENSG00000150093,ENSG00000151224,ENSG00000153002,ENSG00000156697,ENSG00000157450,ENSG00000157578,ENSG00000159593,ENSG00000160695,ENSG00000167004,ENSG00000170348,ENSG00000172466,ENSG00000175344,ENSG00000179218,ENSG00000180210,ENSG00000185933,ENSG00000196230,ENSG00000196531,ENSG00000196549,ENSG00000197386,ENSG00000204301,ENSG00000221914,ENSG00000023318,ENSG00000051382,ENSG00000054523,ENSG00000070756,ENSG00000075651,ENSG00000080824,ENSG00000100505,ENSG00000101204,ENSG00000102974,ENSG00000105376,ENSG00000117505,ENSG00000119912,ENSG00000119917,ENSG00000123143,ENSG00000128989,ENSG00000130234,ENSG00000132692,ENSG00000135698,ENSG00000136156,ENSG00000136827,ENSG00000137098,ENSG00000137845,ENSG00000138095,ENSG00000143369,ENSG00000144339,ENSG00000144381,ENSG00000144619,ENSG00000148082,ENSG00000153234,ENSG00000156475,ENSG00000157766,ENSG00000161202,ENSG00000161955,ENSG00000163879,ENSG00000164953,ENSG00000165059,ENSG00000165916,ENSG00000166228,ENSG00000166949,ENSG00000167770,ENSG00000168610,ENSG00000170315,ENSG00000171132,ENSG00000173548,ENSG00000176884,ENSG00000183775,ENSG00000184986,ENSG00000186868,ENSG00000188153,ENSG00000188517,ENSG00000196136,ENSG00000196712,ENSG00000196776,ENSG00000196924,ENSG00000198959,ENSG00000204305,ENSG00000204843,ENSG00000205302,ENSG00000232810,ENSG00000067560,ENSG00000069329,ENSG00000069696,ENSG00000073060,ENSG00000076248,ENSG00000078114,ENSG00000078549,ENSG00000080815,ENSG00000088832,ENSG00000101266,ENSG00000106211,ENSG00000106333,ENSG00000108387,ENSG00000113721,ENSG00000119041,ENSG00000120948,ENSG00000124788,ENSG00000126934,ENSG00000128052,ENSG00000130066,ENSG00000131508,ENSG00000134259,ENSG00000134287,ENSG00000135823,ENSG00000139182,ENSG00000139719,ENSG00000141646,ENSG00000143801,ENSG00000147224,ENSG00000154277,ENSG00000157212,ENSG00000158560,ENSG00000162604,ENSG00000167037,ENSG00000168077,ENSG00000168765,ENSG00000170345,ENSG00000171049,ENSG00000171055,ENSG00000176697,ENSG00000181773,ENSG00000182585,ENSG00000184203,ENSG00000185345,ENSG00000189403,ENSG00000214087,ENSG00000239697,ENSG00000241837,ENSG00000275700,ENSG00000007047,ENSG00000036672,ENSG00000044574,ENSG00000062725,ENSG00000063660,ENSG00000066027,ENSG00000067113,ENSG00000070748,ENSG00000087245,ENSG00000087884,ENSG00000092969,ENSG00000101412,ENSG00000102030,ENSG00000108179,ENSG00000108578,ENSG00000109501,ENSG00000112592,ENSG00000115234,ENSG00000115414,ENSG00000116133,ENSG00000116141,ENSG00000121653,ENSG00000123416,ENSG00000123643,ENSG00000124222,ENSG00000127445,ENSG00000134709,ENSG00000136535,ENSG00000139329,ENSG00000142192,ENSG00000146072,ENSG00000148798,ENSG00000158792,ENSG00000159023,ENSG00000162366,ENSG00000163697,ENSG00000167552,ENSG00000168484,ENSG00000171497,ENSG00000171603,ENSG00000171989,ENSG00000172058,ENSG00000172977,ENSG00000175203,ENSG00000175582,ENSG00000177426,ENSG00000177606,ENSG00000178127,ENSG00000184702,ENSG00000196470,ENSG00000198736,ENSG00000198804,ENSG00000239886,ENSG00000006125,ENSG00000034053,ENSG00000065154,ENSG00000072506,ENSG00000075624,ENSG00000100285,ENSG00000100985,ENSG00000102003,ENSG00000102879,ENSG00000103415,ENSG00000104805,ENSG00000105329,ENSG00000105974,ENSG00000106617,ENSG00000112769,ENSG00000116288,ENSG00000123091,ENSG00000125656,ENSG00000125977,ENSG00000129219,ENSG00000132155,ENSG00000132535,ENSG00000133703,ENSG00000135018,ENSG00000137312,ENSG00000143153,ENSG00000143514,ENSG00000146648,ENSG00000146731,ENSG00000147257,ENSG00000148400,ENSG00000157168,ENSG00000164305,ENSG00000164402,ENSG00000166033,ENSG00000167900,ENSG00000169604,ENSG00000171564,ENSG00000171867,ENSG00000172059,ENSG00000172115,ENSG00000178741,ENSG00000185499,ENSG00000188130,ENSG00000197442,ENSG00000197565,ENSG00000198840,ENSG00000204264,ENSG00000210082,ENSG00000011465,ENSG00000019169,ENSG00000064300,ENSG00000071242,ENSG00000077942,ENSG00000095970,ENSG00000100030,ENSG00000100083,ENSG00000102466,ENSG00000105229,ENSG00000105290,ENSG00000107282,ENSG00000107959,ENSG00000108551,ENSG00000109099,ENSG00000109846,ENSG00000113108,ENSG00000115091,ENSG00000115884,ENSG00000117362,ENSG00000118526,ENSG00000120910,ENSG00000122194,ENSG00000127824,ENSG00000128595,ENSG00000130024,ENSG00000130203,ENSG00000136238,ENSG00000137947,ENSG00000138798,ENSG00000140395,ENSG00000143870,ENSG00000145335,ENSG00000152256,ENSG00000160691,ENSG00000160963,ENSG00000162236,ENSG00000163956,ENSG00000166313,ENSG00000166598,ENSG00000168385,ENSG00000169375,ENSG00000170312,ENSG00000171314,ENSG00000171791,ENSG00000172020,ENSG00000173020,ENSG00000173406,ENSG00000179399,ENSG00000185825,ENSG00000188313,ENSG00000196262,ENSG00000196535,ENSG00000198055,ENSG00000204463,ENSG00000242689,ENSG00000010810,ENSG00000051128,ENSG00000064012,ENSG00000069424,ENSG00000070182,ENSG00000070808,ENSG00000074317,ENSG00000082701,ENSG00000089685,ENSG00000092201,ENSG00000099250,ENSG00000105723,ENSG00000106305,ENSG00000108443,ENSG00000111237,ENSG00000115318,ENSG00000123080,ENSG00000125848,ENSG00000126767,ENSG00000127022,ENSG00000130669,ENSG00000131042,ENSG00000136854,ENSG00000138449,ENSG00000138613,ENSG00000138685,ENSG00000140564,ENSG00000141434,ENSG00000142875,ENSG00000143196,ENSG00000144711,ENSG00000153071,ENSG00000157005,ENSG00000160014,ENSG00000162733,ENSG00000164885,ENSG00000166851,ENSG00000166913,ENSG00000167755,ENSG00000167772,ENSG00000168615,ENSG00000168702,ENSG00000172531,ENSG00000177706,ENSG00000182871,ENSG00000184937,ENSG00000186318,ENSG00000187554,ENSG00000197746,ENSG00000197971,ENSG00000205155,ENSG00000205542,ENSG00000108107,ENSG00000118137,ENSG00000131187,ENSG00000133961,ENSG00000241563,ENSG00000254087","NA"
"Aemcolo","Rifamycin","RIFAMYCIN","CHEMBL437765","Cosmo Technologies","Ansamycin antibacterial","No human target","Travellers diarrhoea","Diarrhea","HP_0002014","Not serious","P,F","2018","CHEMBL437765","NA","NA","NA"
"Aimovig","Erenumab","ERENUMAB","CHEMBL3833329","Amgen/Novartis","CGRP receptor antibody","Other indication","Migraine","migraine disorder","MONDO_0005277","Not serious","S","2018","CHEMBL3833329","ENSG00000064989","ENSG00000148926,ENSG00000110680,ENSG00000131477,ENSG00000132329","NA"
"Ajovy","Fremanezumab","FREMANEZUMAB","CHEMBL4297756","Teva","CGRP antibody","Other indication","Migraine","migraine disorder","MONDO_0005277","Not serious","P","2018","CHEMBL4297756","ENSG00000110680,ENSG00000175868","ENSG00000064989,ENSG00000157087,ENSG00000186469,ENSG00000058668,ENSG00000087460,ENSG00000110680,ENSG00000132329,ENSG00000185043,ENSG00000078369,ENSG00000167522","NA"
"Aklief","Trifarotene","TRIFAROTENE","CHEMBL3707313","Galderma","Retinoic acid receptor agonist","Other indication","Acne vulgaris","acne","EFO_0003894","Not serious","S","2019","CHEMBL3707313","ENSG00000172819","ENSG00000143171,ENSG00000111049,ENSG00000204231,ENSG00000188191,ENSG00000140463","NA"
