"datasourceId","drugId","therapeuticArea","noTarget","interactionAssociation","phenotypeAssociation","score","datasourceName","datasourceType","yearApproval","brandDrugName","originalDrugName"
"cancer_biomarkers","CHEMBL885","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Genvoya","Elvitegravir, cobicistat, emtricitabine, tenofovir"
"cancer_biomarkers","CHEMBL885","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2018,"Biktarvy","Bictegravir, emtricitabine, tenofovir alafenamide"
"cancer_biomarkers","CHEMBL766","No human target",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2019,"Recarbrio","Cilastatin, imipenem, relebactam"
"cancer_biomarkers","CHEMBL515408","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2021,"Livtencity","Maribavir"
"cancer_biomarkers","CHEMBL501849","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2013,"Olysio","Simeprevir"
"cancer_biomarkers","CHEMBL498847","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2017,"Solosec","Secnidazole"
"cancer_biomarkers","CHEMBL493982","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Zontivity","Vorapaxar"
"cancer_biomarkers","CHEMBL493982","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2014,"Zontivity","Vorapaxar"
"cancer_biomarkers","CHEMBL483","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Genvoya","Elvitegravir, cobicistat, emtricitabine, tenofovir"
"cancer_biomarkers","CHEMBL462605","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2019,"Wakix","Pitolisant"
"cancer_biomarkers","CHEMBL4594438","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2022,"Sunlenca","Lenacapavir"
"cancer_biomarkers","CHEMBL4594411","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2022,"Xenoview","Xenon Xe 129 hyperpolarized"
"cancer_biomarkers","CHEMBL4594388","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020,"Ebanga","Ansuvimab"
"cancer_biomarkers","CHEMBL4594271","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020,"Orladeyo","Berotralstatc"
"cancer_biomarkers","CHEMBL4594264","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2019,"ExEm Foam","Air polymer-type A"
"cancer_biomarkers","CHEMBL4594250","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2017,"Rhopressa","Netarsudil"
"cancer_biomarkers","CHEMBL4594250","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2017,"Rhopressa","Netarsudil"
"cancer_biomarkers","CHEMBL450449","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Yondelis","Trabectedin"
"cancer_biomarkers","CHEMBL450449","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Yondelis","Trabectedin"
"cancer_biomarkers","CHEMBL44354","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Avycaz","Avibactam, ceftazidime"
"cancer_biomarkers","CHEMBL443052","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2014,"Kerydin","Tavaborole"
"cancer_biomarkers","CHEMBL437765","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2018,"Aemcolo","Rifamycin"
"cancer_biomarkers","CHEMBL4303060","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2021,"Pepaxto","Melphalan flufenamide"
"cancer_biomarkers","CHEMBL4298188","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020,"Inmazeb","Atoltivimab, odesivimab, maftivimab"
"cancer_biomarkers","CHEMBL4298184","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020,"Inmazeb","Atoltivimab, odesivimab, maftivimab"
"cancer_biomarkers","CHEMBL4298183","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020,"Inmazeb","Atoltivimab, odesivimab, maftivimab"
"cancer_biomarkers","CHEMBL4298110","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2019,"Accrufer","Ferric maltol"
"cancer_biomarkers","CHEMBL4297990","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2022,"Kimmtrak","Tebentafusp"
"cancer_biomarkers","CHEMBL4297984","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020,"Danyelza","Naxitamab"
"cancer_biomarkers","CHEMBL4297911","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2022,"Spevigo","Spesolimab"
"cancer_biomarkers","CHEMBL4297832","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2022,"Enjaymo","Sutimlimab"
"cancer_biomarkers","CHEMBL4297802","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2018,"Palynziq","Pegvaliase"
"cancer_biomarkers","CHEMBL4297779","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020,"Oxlumo","Lumasiran"
"cancer_biomarkers","CHEMBL4297760","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2019,"Givlaari","Givosiran"
"cancer_biomarkers","CHEMBL4297741","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021,"Zegalogue","Dasiglucagon"
"cancer_biomarkers","CHEMBL4297734","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2019,"Adakveo","Crizanlizumab"
"cancer_biomarkers","CHEMBL4297666","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2022,"Omlonti","Omidenepag isopropyl"
"cancer_biomarkers","CHEMBL4297666","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2022,"Omlonti","Omidenepag isopropyl"
"cancer_biomarkers","CHEMBL4297634","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2022,"Elucirem","Gadopiclenol"
"cancer_biomarkers","CHEMBL4297620","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2019,"Sunosi","Solriamfetol"
"cancer_biomarkers","CHEMBL4297620","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2019,"Sunosi","Solriamfetol"
"cancer_biomarkers","CHEMBL4297620","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2019,"Sunosi","Solriamfetol"
"cancer_biomarkers","CHEMBL4297585","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020,"Dojolvi","Triheptanoin"
"cancer_biomarkers","CHEMBL4297573","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2018,"Elzonris","Tagraxofusp"
"cancer_biomarkers","CHEMBL4297551","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021,"Vyvgart","Efgartigimod alfa"
"cancer_biomarkers","CHEMBL4297535","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2018,"Omegaven","Fish oil triglycerides"
"cancer_biomarkers","CHEMBL4297516","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020,"Zepzelca","Lurbinectedin"
"cancer_biomarkers","CHEMBL4297513","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2021,"Brexafemme","Ibrexafungerp"
"cancer_biomarkers","CHEMBL4297503","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2018,"Xofluza","Baloxavir marboxil"
"cancer_biomarkers","CHEMBL4297412","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021,"Cytalux","Pafolacianine"
"cancer_biomarkers","CHEMBL4297334","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021,"Pylarify","Piflufolastat F-18"
"cancer_biomarkers","CHEMBL4297229","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2019,"Jeuveau","Prabotulinumtoxin A"
"cancer_biomarkers","CHEMBL4173394","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2019,"Tissueblue","Brilliant Blue G"
"cancer_biomarkers","CHEMBL4065616","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020,"Veklury","Remdesivir"
"cancer_biomarkers","CHEMBL406393","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Kybella","Deoxycholic acid"
"cancer_biomarkers","CHEMBL404","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2014,"Zerbaxa","Ceftolozane, tazobactam"
"cancer_biomarkers","CHEMBL3990047","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2017,"Xepi","Ozenoxacin"
"cancer_biomarkers","CHEMBL3990044","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2022,"Opdualag","Relatlimab, nivolumab"
"cancer_biomarkers","CHEMBL3989974","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2019,"Fetroja","Cefiderocol"
"cancer_biomarkers","CHEMBL3989917","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2018,"Akynzeo IV","Palonosetron, fosnetupitant"
"cancer_biomarkers","CHEMBL3989915","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021,"Korsuva","Difelikefalin"
"cancer_biomarkers","CHEMBL3989871","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021,"Tavneos","Avacopan"
"cancer_biomarkers","CHEMBL3989866","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2018,"Biktarvy","Bictegravir, emtricitabine, tenofovir alafenamide"
"cancer_biomarkers","CHEMBL3989402","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2014,"Rapivab","Peramivir"
"cancer_biomarkers","CHEMBL3707372","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2017,"Vosevi","Sofosbuvir, velpatasvir, voxilaprevir"
"cancer_biomarkers","CHEMBL3707359","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2022,"Daxxify","DaxibotulinumtoxinA"
"cancer_biomarkers","CHEMBL3707331","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Varubi","Rolapitant"
"cancer_biomarkers","CHEMBL3707313","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2019,"Aklief","Trifarotene"
"cancer_biomarkers","CHEMBL361497","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2020,"Artesunate","Artesunate"
"cancer_biomarkers","CHEMBL3545363","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2017,"Mavyret","Glecaprevir, pibrentasvir"
"cancer_biomarkers","CHEMBL3545313","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020,"Nexletol","Bempedoic acid"
"cancer_biomarkers","CHEMBL3545313","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2020,"Nexletol","Bempedoic acid"
"cancer_biomarkers","CHEMBL3545189","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2018,"Takhzyro","Lanadelumab"
"cancer_biomarkers","CHEMBL3545123","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2017,"Mavyret","Glecaprevir, pibrentasvir"
"cancer_biomarkers","CHEMBL3545062","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2016,"Epclusa","Sofosbuvir, velpatasvir"
"cancer_biomarkers","CHEMBL3545062","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2017,"Vosevi","Sofosbuvir, velpatasvir, voxilaprevir"
"cancer_biomarkers","CHEMBL3544996","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2015,"Praxbind","Idarucizumab"
"cancer_biomarkers","CHEMBL3544926","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2016,"Anthim","Obiltoxaximab"
"cancer_biomarkers","CHEMBL354077","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2018,"Firdapse","Amifampridine"
"cancer_biomarkers","CHEMBL3400972","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2019,"Fluorodopa F-18","Fluorodopa F-18"
"cancer_biomarkers","CHEMBL3391662","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2014,"Viekira Pak","Ombitasvir, paritaprevir, dasabuvir, ritonavir"
"cancer_biomarkers","CHEMBL334966","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2015,"Kengreal","Cangrelor"
"cancer_biomarkers","CHEMBL3348963","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2017,"Xermelo","Telotristat etiprate"
"cancer_biomarkers","CHEMBL3348963","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2017,"Xermelo","Telotristat etiprate"
"cancer_biomarkers","CHEMBL3317857","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2017,"Vabomere","Meropenem, vaborbactam"
"cancer_biomarkers","CHEMBL3311228","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2022,"Vivjoa","Oteseconazole"
"cancer_biomarkers","CHEMBL3304485","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2019,"Ibsrela","Tenapanor"
"cancer_biomarkers","CHEMBL3301669","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2014,"Dalvance","Dalbavancin"
