"datasourceId","drugId","therapeuticArea","noTarget","interactionAssociation","phenotypeAssociation","score","datasourceName","datasourceType","yearApproval","brandDrugName","originalDrugName"
"cancer_biomarkers","FLOTUFOLASTAT F18","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023,"Posluma","Flotufolastat F18"
"cancer_biomarkers","CHEMBL539423","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023,"Filspari","Sparsentan"
"cancer_biomarkers","CHEMBL4802135","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2023,"Paxlovid","Nirmatrelvir, ritonavir"
"cancer_biomarkers","CHEMBL4650393","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023,"Epkinly","Epcoritamab"
"cancer_biomarkers","CHEMBL4650299","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2023,"Defencath","Taurolidine, heparin"
"cancer_biomarkers","CHEMBL4650244","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2023,"Rivfloza","Nedosiran"
"cancer_biomarkers","CHEMBL4594448","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023,"Fabhalta","Iptacopan"
"cancer_biomarkers","CHEMBL4594334","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023,"Wainua","Eplontersen"
"cancer_biomarkers","CHEMBL4594334","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023,"Wainua","Eplontersen"
"cancer_biomarkers","CHEMBL4303214","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023,"Fruzaqla","Fruquintinib"
"cancer_biomarkers","CHEMBL4298137","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2023,"Xacduro","Sulbactam, durlobactam"
"cancer_biomarkers","CHEMBL4298086","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023,"Veopoz","Pozelimab"
"cancer_biomarkers","CHEMBL4297820","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023,"Rystiggo","Rozanolixizumab"
"cancer_biomarkers","CHEMBL4297801","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2023,"Elfabrio","Pegunigalsidase alfa"
"cancer_biomarkers","CHEMBL4297700","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023,"Bimzelx","Bimekizumab"
"cancer_biomarkers","CHEMBL4297575","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2023,"Beyfortus","Nirsevimab"
"cancer_biomarkers","CHEMBL403","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2023,"Xacduro","Sulbactam, durlobactam"
"cancer_biomarkers","CHEMBL3989945","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2023,"Rezzayo","Rezafungin"
"cancer_biomarkers","CHEMBL3707311","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2023,"Agamree","Vamorolone"
"cancer_biomarkers","CHEMBL3707310","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2023,"Xdemvy","Lotilaner"
"cancer_biomarkers","CHEMBL3608680","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023,"Veozah","Fezolinetant"
"cancer_biomarkers","CHEMBL3544988","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023,"Jesduvroq","Daprodustat"
"cancer_biomarkers","CHEMBL3358920","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023,"Velsipity","Etrasimod"
"cancer_biomarkers","CHEMBL2105648","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023,"Sohonos","Palovarotene"
"cancer_biomarkers","CHEMBL2105420","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2023,"Defencath","Taurolidine, heparin"
