Brand_name,Drug_name_original,Drug_name,DrugId,targetIds,Sponsor,Properties,TA,TA_check,Indication,Indication_EFO,DiseaseId,Review_type,Year,has_GE,comment,Disease_class
Accrufer,Ferric maltol,FERRIC MALTOL,CHEMBL4298110,NA,Shield Therapeutics,Iron replacement product,Other,No human target,Iron deficiency anaemia,iron deficiency anemia,HP_0001891,S,2019,NA,,Non Severe
Adakveo,Crizanlizumab,CRIZANLIZUMAB,CHEMBL4297734,ENSG00000174175,Novartis,P-selectin blocker,Other,Other indication,Painful complications of SCD,sickle cell disease and related diseases,MONDO_0017146,"P, O, B",2019,FALSE,Symptomatic,Severe
Adbry,Tralokinumab,Tralokinumab,CHEMBL1743081,ENSG00000169194,LEO Pharma,IL-13-targeted mAb,Other,Other indication,Atopic dermatitis,atopic eczema,EFO_0000274,S,2021,TRUE,,Non Severe
Addyi,Flibanserin,FLIBANSERIN,CHEMBL231068,"ENSG00000178394, ENSG00000102468, ENSG00000069696",Sprout,Serotonin receptor modulator,Other,Other indication,Hypoactive sexual desire disorder,sexual dysfunction,EFO_0004714,S,2015,FALSE,,Non Severe
Adempas,Riociguat,RIOCIGUAT,CHEMBL2107834,"ENSG00000123201, ENSG00000164116, ENSG00000061918, ENSG00000152402",Bayer,Soluble guanylyl cyclase stimulator,Other,Other indication,Persistent or recurrent chronic thromboembolic pulmonary hypertension and pulmonary arterial hypertension,pulmonary arterial hypertension,EFO_0001361,"P, O",2013,TRUE,,Severe
Adlyxin,Lixisenatide,LIXISENATIDE,CHEMBL2108336,ENSG00000112164,Sanofi,GLP1 receptor agonist,Other,Other indication,Diabetes,diabetes mellitus,EFO_0000400,S,2016,TRUE,,Severe
Aduhelm,Aducanumab,Aducanumab,CHEMBL3039540,ENSG00000142192,Biogen/Eisai,Amyloid-beta-targeted mAb,Other,Other indication,Alzheimers disease,Alzheimers disease,MONDO_0004975,"P, A, F",2021,TRUE,,Severe
Aemcolo,Rifamycin,RIFAMYCIN,CHEMBL437765,NA,Cosmo Technologies,Ansamycin antibacterial,Other,No human target,Travellers diarrhoea,Diarrhea,HP_0002014,"P, F",2018,NA,,Non Severe
Aimovig,Erenumab,ERENUMAB,CHEMBL3833329,ENSG00000064989,Amgen/Novartis,CGRP receptor antibody,Other,Other indication,Migraine,migraine disorder,MONDO_0005277,S,2018,TRUE,,Non Severe
Ajovy,Fremanezumab,FREMANEZUMAB,CHEMBL4297756,"ENSG00000110680, ENSG00000175868",Teva,CGRP antibody,Other,Other indication,Migraine,migraine disorder,MONDO_0005277,P,2018,TRUE,,Non Severe
Aklief,Trifarotene,TRIFAROTENE,CHEMBL3707313,ENSG00000172819,Galderma,Retinoic acid receptor agonist,Other,Other indication,Acne vulgaris,acne,EFO_0003894,S,2019,FALSE,,Non Severe
Akynzeo,Netupitant; palonosetron,NETUPITANT; PALONOSETRON,CHEMBL206253; CHEMBL1189679,ENSG00000115353; ENSG00000166736,Helsinn,An NK1-receptor antagonist plus a 5-HT3-receptor antagonist,Other,Other indication,Chemotherapy-related nausea,Chemotherapy-induced nausea and vomiting,EFO_0006911,S,2014,FALSE,Symptomatic,Non Severe
Akynzeo IV,Palonosetron; fosnetupitant,PALONOSETRON; FOSNETUPITANT,CHEMBL1189679; CHEMBL3989917,ENSG00000166736; ENSG00000115353,Helsinn Group,5-HT3-receptor antagonist and NK1-receptor antagonist,Other,Other indication,Chemotherapy-induced emesis,Chemotherapy-induced nausea and vomiting,EFO_0006911,S,2018,FALSE,Symptomatic,Non Severe
Alecensa,Alectinib,ALECTINIB,CHEMBL1738797,"ENSG00000171094, ENSG00000143924, ENSG00000165731",Roche,ALK inhibitor,Oncology,Oncology,NSCLC,non-small cell lung carcinoma,EFO_0003060,"P, O, B, A",2015,TRUE,,Severe
Aliqopa,Copanlisib dihydrochloride,COPANLISIB,CHEMBL3218576,"ENSG00000171608, ENSG00000121879",Bayer,PI3Kalpha/‚âà√≠¬¨‚Ä¢ inhibitor,Oncology,Oncology,Follicular lymphoma,follicular lymphoma,MONDO_0018906,"P, O, A, F",2017,TRUE,,Severe
Alunbrig,Brigatinib,BRIGATINIB,CHEMBL3545311,"ENSG00000171094, ENSG00000146648",Ariad Pharmaceuticals/Takeda,ALK inhibitor,Oncology,Oncology,ALK-positive NSCLC,non-small cell lung carcinoma,EFO_0003060,"P, O, B, A",2017,TRUE,,Severe
Amondys 45,Casimersen,Casimersen,CHEMBL4297566,ENSG00000198947,Sarepta,Exon 45-skipping ASO,Other,Other indication,DMD,Duchenne muscular dystrophy,MONDO_0010679,"P, O, A, F",2021,TRUE,,Severe
Amvuttra,Vutrisiran,Vutrisiran,CHEMBL4594511,ENSG00000118271,Alnylam,TTR-targeted siRNA,Other,Other indication,Polyneuropathy of hereditary TTR-mediated amyloidosis,familial amyloid neuropathy,EFO_0004129,"S, O, F",2022,TRUE,,Severe
Annovera,Segesterone acetate; ethinyl estradiol,SEGESTERONE ACETATE; ETHINYL ESTRADIOL,CHEMBL3707377; CHEMBL691,ENSG00000082175; ENSG00000091831,TherapeuticsMD,Progestin and estrogen combined hormonal contraceptive,Other,Other indication,Female contraception,contraception,EFO_0009520,S,2018,TRUE,,Non Severe
Anoro Ellipta,Umeclidinium; vilanterol,UMECLIDINIUM; VILANTEROL,CHEMBL1187833; CHEMBL1198857,ENSG00000133019; ENSG00000169252,GSK,Anticholinergic and a LABA,Other,Other indication,Chronic obstructive pulmonary disease,chronic obstructive pulmonary disease,EFO_0000341,S,2013,TRUE,,Severe
Anthim,Obiltoxaximab,OBILTOXAXIMAB,CHEMBL3544926,NA,Elusys Therapeutics,mAb against anthrax toxin,Other,No human target,Anthrax,anthrax infection,EFO_0000778,"S, O, F",2016,NA,,Severe
Aptiom,Eslicarbazepine,ESLICARBAZEPINE,CHEMBL315985,"ENSG00000168356, ENSG00000169432, ENSG00000144285, ENSG00000007314, ENSG00000136546, ENSG00000185313, ENSG00000136531, ENSG00000183873, ENSG00000196876, ENSG00000153253",Sunovion,"MOA unknown, but thought to involve voltage-gated sodium channels",Other,Other indication,Partial-onset seizures,Seizure,HP_0001250,S,2013,TRUE,,Not concordant
Aristada,Aripiprazole lauroxil,ARIPIPRAZOLE LAUROXIL,CHEMBL2219425,"ENSG00000102468, ENSG00000178394, ENSG00000149295",Alkermes,Extended release atypical antipsychotic,Other,Other indication,Schizophrenia,schizophrenia,MONDO_0005090,S,2015,TRUE,,Not concordant
Artesunate,Artesunate,ARTESUNATE,CHEMBL361497,NA,Amivas,Artemisinin antimalarial,Other,No human target,Severe malaria,malaria,EFO_0001068,"P, O, B, F",2020,NA,,Severe
Asparlas,Calaspargase pegol,CALASPARGASE PEGOL,CHEMBL2108728,ENSG00000166183,Servier,Asparagine specific enzyme,Oncology,Oncology,ALL,acute lymphoblastic leukemia,EFO_0000220,"S, O",2018,FALSE,,Severe
Austedo,Deutetrabenazine,DUTETRABENAZINE,CHEMBL3137326,ENSG00000165646,Teva,VMAT2 inhibitor,Other,Other indication,Chorea associated with Huntington disease,chorea; Huntington disease,EFO_0004152; MONDO_0007739,"S, O",2017,TRUE,,Severe
Avycaz,Avibactam; ceftazidime,AVIBACTAM; CEFTAZIDIME,CHEMBL1689063; CHEMBL44354,NA; NA,Allergan,A beta-lactamase inhibitor and a cephalosporin,Other,No human target,Complicated intra-abdominal infections and complicated urinary tract infections,infection,EFO_0000544,"P, F",2015,NA,,Severe
Axumin,Fluciclovine F-18,FLUCICLOVINE F-18,CHEMBL3707267,"ENSG00000155465, ENSG00000105281, ENSG00000165349",Blue Earth,Radioactive diagnostic,Other,Other indication,Suspected prostate cancer recurrence,prostate cancer,MONDO_0008315,P,2016,TRUE,,Severe
Ayvakit,Avapritinib,AVAPRITINIB,CHEMBL4204794,"ENSG00000157404, ENSG00000134853",Blueprint Medicines,"PDGFRA, PDGFRA mutants and KIT kinase inhibitor",Oncology,Oncology,GIST with PDGFRA exon 18 mutations,gastrointestinal stromal tumor,MONDO_0011719,"P, O, B, F",2020,TRUE,,Severe
Azstarys,Dexmethylphenidate; serdexmethylphenidate,Dexmethylphenidate; serdexmethylphenidate,CHEMBL827; CHEMBL4301162,"ENSG00000103546, ENSG00000142319; ENSG00000142319, ENSG00000103546",Commave Therapeutics,CNS stimulant,Other,Other indication,ADHD,attention deficit hyperactivity disorder,EFO_0003888,S,2021,TRUE,,Non Severe
Balversa,Erdafitinib,ERDAFITINIB,CHEMBL3545376,"ENSG00000077782, ENSG00000066468, ENSG00000160867, ENSG00000068078",Janssen /J&J,FGFR inhibitor,Oncology,Oncology,Bladder cancer,urinary bladder carcinoma,MONDO_0004986,"P, B, A",2019,TRUE,,Severe
Barhemsys,Amisulpride,AMISULPRIDE,CHEMBL243712,"ENSG00000151577, ENSG00000149295, ENSG00000164270, ENSG00000157219, ENSG00000158748, ENSG00000166736, ENSG00000186090, ENSG00000178084, ENSG00000102468, ENSG00000149305, ENSG00000179097, ENSG00000135914, ENSG00000178394, ENSG00000168830, ENSG00000147246, ENSG00000186038, ENSG00000148680, ENSG00000135312, ENSG00000179546",Acacia,Dopamine receptors D2 & D3 antagonist,Other,Other indication,Nausea and vomiting after surgery,Nausea and vomiting,HP_0002017,S,2020,FALSE,Symptomatic,Non Severe
Bavencio,Avelumab,AVELUMAB,CHEMBL3833373,ENSG00000120217,Merck KGaA/Pfizer,PDL1-blocking antibody,Oncology,Oncology,Merkel cell carcinoma,Merkel cell skin cancer,EFO_1001471,"P, O, B, A, F",2017,TRUE,,Severe
Baxdela,Delafloxacin,DELAFLOXACIN,CHEMBL2105637,NA,Melinta Therapeutics,Fluoroquinolone antibacterial,Other,No human target,Acute bacterial skin and skin structure infections,staphylococcal skin infections,EFO_1001849,"P, F",2017,NA,,Non Severe
Beleodaq,Belinostat,BELINOSTAT,CHEMBL408513,"ENSG00000108840, ENSG00000147099, ENSG00000061273, ENSG00000068024, ENSG00000171720, ENSG00000094631, ENSG00000163517, ENSG00000048052, ENSG00000100429, ENSG00000196591, ENSG00000116478",Spectrum,Histone-deacetylase inhibitor,Oncology,Other indication,Peripheral T-cell lymphoma,unspecified peripheral T-cell lymphoma,EFO_0000211,"P, O, A, F",2014,TRUE,,Severe
Belsomra,Suvorexant,SUVOREXANT,CHEMBL1083659,"ENSG00000137252, ENSG00000121764",Merck & Co.,Orexin-receptor antagonist,Other,Other indication,Insomnia,insomnia,EFO_0004698,S,2014,TRUE,,Non Severe
Benznidazole,Benznidazole,BENZNIDAZOLE,CHEMBL110,NA,Chemo Research,Nitroimidazole antimicrobial,Other,No human target,Chagas disease,Chagas disease,MONDO_0001444,"P, O, A",2017,NA,,Severe
Beovu,Brolucizumab,BROLUCIZUMAB,CHEMBL3707357,ENSG00000112715,Novartis,VEGF inhibitor,Other,Other indication,Wet age-related macular degeneration,macular degeneration,EFO_0009606,S,2019,TRUE,,Not concordant
Besponsa,Inotuzumab ozogamicin,INOTUZUMAB OZOGAMICIN,CHEMBL2108611,ENSG00000012124,Pfizer,CD22-directed antibody‚Äö√Ñ√∂‚àö√ë‚àö¬®drug conjugate,Oncology,Oncology,B cell precursor ALL,precursor B-cell acute lymphoblastic leukemia,MONDO_0020511,"P, O, B",2017,TRUE,,Severe
Besremi,Ropeginterferon alfa-2b,Ropeginterferon alfa-2b,CHEMBL4297819,"ENSG00000142166, ENSG00000159110",Pharmaessentia,PEGylated interferon alpha-2b,Oncology,Oncology,Polycythaemia vera,polycythemia vera,EFO_0002429,"S, O",2021,TRUE,,Severe
Bevyxxa,Betrixaban,BETRIXABAN,CHEMBL512351,ENSG00000126218,Portola Pharmaceuticals,FXa inhibitor,Other,Other indication,Prophylaxis of venous thromboembolism,venous thromboembolism,EFO_0004286,"P, F",2017,TRUE,,Severe
Biktarvy,Bictegravir; emtricitabine; tenofovir alafenamide,BICTEGRAVIR; EMTRICITABINE; TENOFOVIR ALAFENAMIDE,CHEMBL3989866; CHEMBL885; CHEMBL2107825,NA; NA; NA,Gilead Sciences,HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors,Other,No human target,HIV,hiv infection,EFO_0000764,P,2018,NA,,Severe
Blenrep,Belantamab mafodotin,BELANTAMAB MAFODOTIN,CHEMBL4298209,"ENSG00000048462, ENSG00000152086, ENSG00000167553, ENSG00000188229, ENSG00000137267, ENSG00000176014, ENSG00000261456, ENSG00000127824, ENSG00000123416, ENSG00000137285, ENSG00000258947, ENSG00000167552, ENSG00000198033, ENSG00000196230, ENSG00000104833, ENSG00000101162",GlaxoSmithKline,"BCMA-directed ADC, with microtubule inhibitor",Oncology,Oncology,Multiple myeloma,multiple myeloma,EFO_0001378,"P, O, B, A",2020,TRUE,,Severe
Blincyto,Blinatumomab,BLINATUMOMAB,CHEMBL1742992,"ENSG00000177455, ENSG00000160654, ENSG00000167286, ENSG00000198851",Amgen,CD19- and CD3-bispecific antibody,Oncology,Oncology,B-ALL,precursor B-cell acute lymphoblastic leukemia,MONDO_0020511,"P, O, B, A",2014,TRUE,,Severe
Braftovi,Encorafenib,ENCORAFENIB,CHEMBL3301612,ENSG00000157764,Array BioPharma,BRAF inhibitor,Oncology,Oncology,BRAF-mutated melanoma,melanoma,EFO_0000756,"S, O",2018,TRUE,,Severe
Breo Ellipta,Fluticasone; vilanterol,FLUTICASONE; VILANTEROL,CHEMBL1473; CHEMBL1198857,ENSG00000113580; ENSG00000169252,GSK,Corticosteroid plus LABA,Other,Other indication,Chronic obstructive pulmonary disease,chronic obstructive pulmonary disease,EFO_0000341,S,2013,TRUE,,Severe
Brexafemme,Ibrexafungerp,Ibrexafungerp,CHEMBL4297513,NA,Scynexis,Triterpenoid antifungal,Other,No human target,Vulvovaginal candidiasis,NA,NA,"P, F",2021,NA,,NA
Bridion,Sugammadex,SUGAMMADEX,CHEMBL2111107,NA,Merck & Co.,A modified gamma cyclodextrin,Other,No human target,Reversal of neuromuscular blockade during surgery,neuromuscular disease,EFO_1001902,P,2015,NA,,Severe
Brineura,Cerliponase alfa,CERLIPONASE ALFA,CHEMBL3544921,ENSG00000166340,BioMarin Pharmaceutical,Tripeptidyl peptidase,Other,Other indication,Tripeptidyl peptidase 1 deficiency (neuronal ceroid lipofuscinosis type 2*),neuronal ceroid lipofuscinosis 2,MONDO_0008769,"P, O, B",2017,TRUE,,Severe
Brintellix,Vortioxetine,VORTIOXETINE,CHEMBL2104993,"ENSG00000178394, ENSG00000108576, ENSG00000166736",Takeda,Serotonin reuptake inhibitor,Other,Other indication,Major depressive disorder,major depressive disorder,MONDO_0002009,S,2013,TRUE,,Non Severe
Briumvi,Ublituximab,Ublituximab,CHEMBL2108354,ENSG00000156738,TG Therapeutics,CD20-targeted mAb,Other,Other indication,Relapsing forms of multiple sclerosis,relapsing-remitting multiple sclerosis,EFO_0003929,S,2022,FALSE,,Severe
Briviact,Brivaracetam,BRIVARACETAM,CHEMBL607400,"ENSG00000159164, ENSG00000144285",UCB,"Anticonvulsant with unknown MOA, binds to SV2A",Other,Other indication,Partial-onset seizures,Focal-onset seizure,HP_0007359,S,2016,TRUE,,Not concordant
Brukinsa,Zanubrutinib,ZANUBRUTINIB,CHEMBL3936761,ENSG00000010671,BeiGene,BTK inhibitor,Oncology,Oncology,Mantle cell lymphoma,mantle cell lymphoma,EFO_1001469,"P, O, B, A, F",2019,TRUE,,Severe
Byfavo,Remimazolam,REMIMAZOLAM,CHEMBL4297526,"ENSG00000102287, ENSG00000163288, ENSG00000186297, ENSG00000145864, ENSG00000113327, ENSG00000011677, ENSG00000094755, ENSG00000163285, ENSG00000151834, ENSG00000109158, ENSG00000268089, ENSG00000187730, ENSG00000182256, ENSG00000022355, ENSG00000145863, ENSG00000166206",Acacia,Benzodiazepine,Other,Other indication,Procedural sedation,sedation,EFO_0009868,S,2020,TRUE,,Non Severe
Bylvay,Odevixibat,Odevixibat,CHEMBL4297588,ENSG00000125255,Albireo,IBAT inhibitor,Other,Other indication,Pruritus in PFIC,familial intrahepatic cholestasis,MONDO_0017290,"P, O, F",2021,TRUE,,Severe
Cabenuva Kit,Cabotegravir; rilpivirine,Cabotegravir; rilpivirine,CHEMBL2403238; CHEMBL175691,NA; NA,ViiV,INSTI and an NNRTI,Other,No human target,HIV-1 infection,NA,NA,"P, F",2021,NA,,NA
Cablivi,Caplacizumab,CAPLACIZUMAB,CHEMBL2109624,ENSG00000110799,Sanofi/Ablynx,vWF-directed nanobody,Other,Other indication,ATTP,thrombotic thrombocytopenic purpura,MONDO_0018896,"P, O, F",2019,TRUE,,Severe
Calquence,Acalabrutinib,ACALABRUTINIB,CHEMBL3707348,ENSG00000010671,AstraZeneca/Acerta Pharma,BTK inhibitor,Oncology,Oncology,Mantle cell lymphoma,Mantle cell lymphoma,EFO_1001469,"P, O, B, A",2017,TRUE,,Severe
Camzyos,Mavacamten,Mavacamten,CHEMBL4297517,ENSG00000092054,Bristol Myers Squibb,Cardiac myosin inhibitor,Other,Other indication,Classes of obstructive HCM (Hypertrophic Obstructive Cardiomyopathy),hypertrophic cardiomyopathy,EFO_0000538,"S, O, B",2022,TRUE,,Severe
Caplyta,Lumateperone,LUMATEPERONE,CHEMBL3306803,"ENSG00000102468, ENSG00000108576, ENSG00000149295",Intra-Cellular Therapies,Atypical antipsychotic,Other,Other indication,Schizophrenia,schizophrenia,MONDO_0005090,"S, F",2019,TRUE,,Not concordant
Cerdelga,Eliglustat,ELIGLUSTAT,CHEMBL2110588,ENSG00000148154,Genzyme,Glucosylceramide-synthase inhibitor,Other,Other indication,Gaucher's disease,Gaucher disease,MONDO_0018150,"P, O",2014,FALSE,,Severe
Cholbam,Cholic acid,CHOLIC ACID,CHEMBL205596,NA,Retrophin,A primary bile acid,Other,No human target,Bile acid synthesis disorders and peroxisomal disorders,peroxisomal disease; Disorder of bile acid synthesis,MONDO_0019053; Orphanet_79168,"P, O",2015,NA,,Severe
Cibinqo,Abrocitinib,Abrocitinib,CHEMBL3655081,ENSG00000162434,Pfizer,JAK inhibitor,Other,Other indication,Atopic dermatitis,"atopic eczema, Eczema",EFO_0000274; HP_0000964,"P, B",2022,TRUE,,Non Severe
Cinqair,Reslizumab,RESLIZUMAB,CHEMBL2107884,ENSG00000113525,Teva,IL-5 antagonist,Other,Other indication,Severe asthma,Status Asthmaticus,EFO_0008590,S,2016,TRUE,,Severe
Copiktra,Duvelisib,DUVELISIB,CHEMBL3039502,"ENSG00000105851, ENSG00000171608",Verastem,PI3K inhibitor,Oncology,Oncology,"CLL, FL and SLL",chronic lymphocytic leukemia; follicular lymphoma,EFO_0000095; MONDO_0018906,"P, O, A, F",2018,TRUE,,Severe
Copper dotatate Cu-64,Copper dotatate Cu-64,COPPER DOTATATE CU-64,CHEMBL4297339,ENSG00000180616,Radiomedix,Radioactive diagnostic,Other,Other indication,"Imaging, cancer",neuroendocrine neoplasm,EFO_1001901,"P, O, F",2020,TRUE,Imaging,Severe
Corlanor,Ivabradine,IVABRADINE,CHEMBL471737,ENSG00000138622,Amgen,Hyperpolarization-activated cyclic nucleotide-gated channel blocker,Other,Other indication,Chronic heart failure,congestive heart failure,EFO_0000373,"P, F",2015,TRUE,,Severe
Cosela,Trilaciclib,Trilaciclib,CHEMBL3894860,"ENSG00000135446, ENSG00000105810",G1 Therapeutics,CDK4 and CDK6 kinase inhibitor,Oncology,Oncology,Chemotherapy-induced myelosuppression,myelosuppression; small cell lung carcinoma,EFO_0007053; EFO_0000702,"P, B",2021,TRUE,,Severe
Cosentyx,Secukinumab,SECUKINUMAB,CHEMBL1743068,ENSG00000112115,Novartis,IL-17A antagonist,Other,Other indication,"Plaque psoriasis, *psoriatic arthritis, ankylosing spondylitis, along with other joint inflammatory disorders.",psoriasis vulgaris,EFO_1001494,S,2015,FALSE,,Non severe
Cotellic,Cobimetinib,COBIMETINIB,CHEMBL2146883,"ENSG00000126934, ENSG00000169032",Genentech,MEK inhibitor,Oncology,Oncology,Melanoma with BRAFV600E/K mutations,melanoma,EFO_0000756,"P, O, F",2015,TRUE,,Severe
Cresemba,Isavuconazonium,ISAVUCONAZONIUM,CHEMBL1183349,NA,Astellas,Azole antifungal,Other,No human target,Antifungal,aspergillosis; mucormycosis,EFO_0007157; EFO_0007380,"P, O",2015,NA,,Severe
Crysvita,Burosumab,BUROSUMAB,CHEMBL3707326,ENSG00000118972,Ultragenyx Pharmaceutical/Kyowa Hakko Kirin,FGF23 antibody,Other,Other indication,X-linked hypophosphataemia,Hypophosphatemia,HP_0002148,"P, O, B, F",2018,TRUE,,Non Severe
Cyramza,Ramucirumab,RAMUCIRUMAB,CHEMBL1743062,ENSG00000128052,Eli Lilly,VEGFR2 antagonist,Oncology,Oncology,Gastric cancer,gastric cancer,MONDO_0001056,"P, O, F",2014,TRUE,,Severe
Cytalux,Pafolacianine,Pafolacianine,CHEMBL4297412,ENSG00000110195,On Target Labs,Fluorescent FR imaging agent,Other,Other indication,Ovarian cancer imaging,ovarian carcinoma,EFO_0001075,"P, O, F",2021,FALSE,Imaging,Severe
Daklinza,Daclatasvir,DACLATASVIR,CHEMBL2023898,NA,Bristol-Myers Squibb,NS5A inhibitor,Other,No human target,HCV,hepatitis C virus infection,EFO_0003047,"P, F",2015,NA,,Severe
Dalvance,Dalbavancin,DALBAVANCIN,CHEMBL3301669,NA,Durata,Semisynthetic lipoglycopeptide,Other,No human target,ABSSSI (Acute Bacterial Skin and Skin Structure Infections),staphylococcal skin infections,EFO_1001849,"P, F",2014,NA,,Non Severe
Danyelza,Naxitamab,NAXITAMAB,CHEMBL4297984,NA,Y-mAbs Therapeutics,GD2-directed mAb,Oncology,,High-risk neuroblastoma,neuroblastoma,EFO_0000621,"P, O, B, A",2020,NA,,Severe
Darzalex,Daratumumab,DARATUMUMAB,CHEMBL1743007,ENSG00000004468,Johnson & Johnson,CD38-directed mAb,Oncology,Oncology,Multiple myeloma,multiple myeloma,EFO_0001378,"P, O, B, A, F",2015,TRUE,,Severe
Daurismo,Glasdegib,GLASDEGIB,CHEMBL2043437,ENSG00000128602,Pfizer,Hedgehog pathway inhibitor,Oncology,Oncology,AML,acute myeloid leukemia,EFO_0000222,"P, O",2018,TRUE,,Severe
Daxxify,DaxibotulinumtoxinA,DaxibotulinumtoxinA,CHEMBL3707359,ENSG00000132639,Revance,Botulinum toxin,Other,Other indication,Glabellar lines,Facial wrinkling,HP_0009762,S,2022,FALSE,Symptomatic,Non severe
Dayvigo,Lemborexant,LEMBOREXANT,CHEMBL3545367,"ENSG00000121764, ENSG00000137252",Eisai,Orexin receptor antagonist,Other,Other indication,Insomnia,insomnia,EFO_0004698,S,2019,TRUE,,Non Severe
Defitelio,Defibrotide sodium,DEFIBROTIDE SODIUM,CHEMBL3707226,ENSG00000122194,Gentium,Profibrinolytic,Other,Other indication,Hepatic veno-occlusive disease,hepatic veno-occlusive disease,MONDO_0019514,"P, O, F",2016,TRUE,,Severe
