"datasourceId","DrugId","phenotypeAssociation"
"expression_atlas","CHEMBL3990029",TRUE
"europepmc","CHEMBL4435170",TRUE
"orphanet","CHEMBL1614701",TRUE
"europepmc","CHEMBL4594511",TRUE
"ot_genetics_portal","CHEMBL3545191",TRUE
"europepmc","CHEMBL3990029",TRUE
"ot_genetics_portal","CHEMBL2070241",TRUE
"europepmc","CHEMBL1614701",TRUE
"chembl","CHEMBL2364648",TRUE
"chembl","CHEMBL566315",TRUE
"impc","CHEMBL566315",TRUE
"ot_genetics_portal","CHEMBL2219536",TRUE
"europepmc","CHEMBL1742996",TRUE
"ot_genetics_portal","CHEMBL259571",TRUE
"expression_atlas","CHEMBL514800",TRUE
"chembl","CHEMBL514800",TRUE
"ot_genetics_portal","CHEMBL3990029",TRUE
"slapenrich","CHEMBL4585668",TRUE
"gene_burden","CHEMBL2103822",TRUE
"ot_genetics_portal","CHEMBL2103822",TRUE
"ot_genetics_portal","CHEMBL4435170",TRUE
"europepmc","CHEMBL259571",TRUE
"ot_genetics_portal","CHEMBL4298185",TRUE
"chembl","CHEMBL4435170",TRUE
"expression_atlas","CHEMBL1743034",TRUE
"chembl","CHEMBL1614701",TRUE
"europepmc","CHEMBL566315",TRUE
"gene_burden","CHEMBL3545191",TRUE
"europepmc","CHEMBL2364648",TRUE
"eva","CHEMBL1742996",TRUE
"europepmc","CHEMBL110458",TRUE
"europepmc","CHEMBL2108681",TRUE
"gene_burden","CHEMBL3707276",TRUE
"chembl","CHEMBL1743034",TRUE
"ot_genetics_portal","CHEMBL4585668",TRUE
"chembl","CHEMBL259571",TRUE
"ot_genetics_portal","CHEMBL2108681",TRUE
"chembl","CHEMBL3990029",TRUE
"europepmc","CHEMBL514800",TRUE
"chembl","CHEMBL4585668",TRUE
"cancer_gene_census","CHEMBL4585668",TRUE
"genomics_england","CHEMBL110458",TRUE
"europepmc","CHEMBL4585668",TRUE
"chembl","CHEMBL1742996",TRUE
"expression_atlas","CHEMBL2364648",TRUE
"chembl","CHEMBL1743068",TRUE
"expression_atlas","CHEMBL2108681",TRUE
"ot_genetics_portal","CHEMBL514800",TRUE
"ot_genetics_portal","CHEMBL2364648",TRUE
"expression_atlas","CHEMBL1743068",TRUE
"europepmc","CHEMBL1743068",TRUE
"europepmc","CHEMBL1743034",TRUE
"gene_burden","CHEMBL2219536",TRUE
"chembl","CHEMBL2108681",TRUE
"ot_genetics_portal","CHEMBL3707276",TRUE
"europepmc","CHEMBL4298047",TRUE
"chembl","CHEMBL3301582",TRUE
"impc","CHEMBL4298047",TRUE
"chembl","CHEMBL1742992",TRUE
"uniprot_literature","CHEMBL3707276",TRUE
"chembl","CHEMBL4298047",TRUE
"genomics_england","CHEMBL3707276",TRUE
"slapenrich","CHEMBL3301582",TRUE
"europepmc","CHEMBL3301582",TRUE
"europepmc","CHEMBL2108611",TRUE
"slapenrich","CHEMBL2108611",TRUE
"europepmc","CHEMBL1742992",TRUE
"impc","CHEMBL2108611",TRUE
"chembl","CHEMBL2108611",TRUE
"ot_genetics_portal","CHEMBL1083659",TRUE
"impc","CHEMBL3301582",TRUE
"orphanet","CHEMBL3707276",TRUE
"ot_genetics_portal","CHEMBL4297590",TRUE
"impc","CHEMBL1742992",TRUE
"europepmc","CHEMBL2108658",TRUE
"chembl","CHEMBL2108658",TRUE
"eva","CHEMBL3707276",TRUE
"cancer_gene_census","CHEMBL3301582",TRUE
"ot_genetics_portal","CHEMBL3545367",TRUE
