"","id","name"
"1","CHEMBL559","DEXTROTHYROXINE"
"2","CHEMBL1075733","VALNOCTAMIDE"
"3","CHEMBL2103821","ROPIDOXURIDINE"
"4","CHEMBL1380","ABACAVIR"
"5","CHEMBL4061538","CHEMBL4061538"
"6","CHEMBL4297365","CESIUM CS-131"
"7","CHEMBL499458","CHEMBL499458"
"8","CHEMBL533","IBUTILIDE"
"9","CHEMBL1851805","PROPACETAMOL"
"10","CHEMBL1836264","CHEMBL1836264"
"11","CHEMBL1201035","BIPERIDEN HYDROCHLORIDE"
"12","CHEMBL2251240","SCOPOLAMINE HYDROBROMIDE"
"13","CHEMBL99889","CP-320626"
"14","CHEMBL139020","CHEMBL139020"
"15","CHEMBL4802130","BELUMOSUDIL MESYLATE"
"16","CHEMBL2108696","WHEAT BRAN"
"17","CHEMBL96852","CHEMBL96852"
"18","CHEMBL2109327","CSL-360"
"19","CHEMBL407874","6-O-BENZYLGUANINE"
"20","CHEMBL502097","MIPOMERSEN SODIUM"
"21","CHEMBL1201891","DEFLAZACORT"
"22","CHEMBL2105634","COLENEURAMIDE"
"23","CHEMBL504535","IMRECOXIB"
"24","CHEMBL674","OSELTAMIVIR CARBOXYLATE"
"25","CHEMBL1818341","PF-04455242"
"26","CHEMBL1289926","AXITINIB"
"27","CHEMBL1201785","HEXAMINOLEVULINATE HYDROCHLORIDE"
"28","CHEMBL3780740","LOBEGLITAZONE SULFATE"
"29","CHEMBL4802153","SONLICROMANOL"
"30","CHEMBL4298024","BINTRAFUSP ALFA"
"31","CHEMBL91397","RUPATADINE"
"32","CHEMBL1200578","THEOPHYLLINE SODIUM GLYCINATE"
"33","CHEMBL1788386","TETRAMETHRIN"
"34","CHEMBL113142","ZM-241385"
"35","CHEMBL2107027","SALCAPROZATE SODIUM"
"36","CHEMBL1200574","SODIUM CHLORIDE"
"37","CHEMBL3989948","LANABECESTAT"
"38","CHEMBL2107525","SODIUM PHOSPHATE P 32"
"39","CHEMBL3545157","TIDEGLUSIB"
"40","CHEMBL4298043","ROLUPERIDONE HYDROCHLORIDE"
"41","CHEMBL4594494","SC-005"
"42","CHEMBL4297916","BNC-105P"
"43","CHEMBL2105686","CENICRIVIROC MESYLATE"
"44","CHEMBL2110924","DALEDALIN"
"45","CHEMBL43048","MIDOMAFETAMINE"
"46","CHEMBL2103884","OPROZOMIB"
"47","CHEMBL2108102","ST. JOHN'S WORT"
"48","CHEMBL2362016","ARSENIC TRIOXIDE"
"49","CHEMBL593019","PYRIDOXAMINE"
"50","CHEMBL1232510","SOLITHROMYCIN"
"51","CHEMBL3833320","EPTINEZUMAB"
"52","CHEMBL4297336","ACETIC ACID C-11"
"53","CHEMBL938","SARALASIN"
"54","CHEMBL230153","CHEMBL230153"
"55","CHEMBL242469","CHEMBL242469"
"56","CHEMBL1789842","INDACATEROL MALEATE"
"57","CHEMBL4802211","M-4076"
"58","CHEMBL2103920","ULARITIDE"
"59","CHEMBL1533","DESOGESTREL"
"60","CHEMBL2107823","GANDOTINIB"
"61","CHEMBL25","ASPIRIN"
"62","CHEMBL54661","FLUPENTIXOL"
"63","CHEMBL1201165","QUINESTROL"
"64","CHEMBL353972","ATIPAMEZOLE"
"65","CHEMBL1229846","PHENOXYETHANOL"
"66","CHEMBL4650274","DASIGLUCAGON HYDROCHLORIDE"
"67","CHEMBL4802220","BELUDAVIMAB"
"68","CHEMBL4650416","PLASMALYTE A"
"69","CHEMBL86304","MOCLOBEMIDE"
"70","CHEMBL937","DIETHYLCARBAMAZINE CITRATE"
"71","CHEMBL471036","LITOXETINE"
"72","CHEMBL1618116","CHEMBL1618116"
"73","CHEMBL1200802","TALBUTAL"
"74","CHEMBL380394","CHEMBL380394"
"75","CHEMBL4297767","HYLAN G-F 20"
"76","CHEMBL153813","CHEMBL153813"
"77","CHEMBL1436","CEFUROXIME"
"78","CHEMBL4594581","INSULIN 287"
"79","CHEMBL1370","BUDESONIDE"
"80","CHEMBL2106277","DIFLUCORTOLONE PIVALATE"
"81","CHEMBL4802139","VK-0214"
"82","CHEMBL238103","BMS-488043"
"83","CHEMBL457","GEMFIBROZIL"
"84","CHEMBL349803","PIRETANIDE"
"85","CHEMBL3989868","TUCATINIB"
"86","CHEMBL93645","ACECLOFENAC"
"87","CHEMBL70586","SPIRADOLINE"
"88","CHEMBL4297691","ALX-009"
"89","CHEMBL576127","FENSPIRIDE"
"90","CHEMBL4650405","LERODALCIBEP"
"91","CHEMBL1276678","VTP-27999"
"92","CHEMBL410668","CHEMBL410668"
"93","CHEMBL3185133","CHEMBL3185133"
"94","CHEMBL379367","CHEMBL379367"
"95","CHEMBL1040","CALCIFEDIOL"
"96","CHEMBL126648","PLEVITREXED"
"97","CHEMBL3545213","BENTAMAPIMOD"
"98","CHEMBL675","ALENDRONATE SODIUM"
"99","CHEMBL233360","CHEMBL233360"
"100","CHEMBL427683","ORGANON"
"101","CHEMBL1075834","SHP-627"
"102","CHEMBL4650319","MOBOCERTINIB"
"103","CHEMBL1201049","ECONAZOLE NITRATE"
"104","CHEMBL56367","NIMESULIDE"
"105","CHEMBL4298069","POLY (ADP-RIBOSE) POLYMERASE 1"
"106","CHEMBL1200522","AVOBENZONE"
"107","CHEMBL1441","ETHIONAMIDE"
"108","CHEMBL2108710","RIMABOTULINUMTOXINB"
"109","CHEMBL1200698","PENTETATE CALCIUM TRISODIUM YB 169"
"110","CHEMBL1200747","AMMONIUM LACTATE"
"111","CHEMBL507361","MIRDAMETINIB"
"112","CHEMBL1200497","CYCLIZINE LACTATE"
"113","CHEMBL514270","EMICERFONT"
"114","CHEMBL1201723","SINECATECHINS"
"115","CHEMBL315838","ENCAINIDE"
"116","CHEMBL3707302","MAGNESIUM LEVULINATE"
"117","CHEMBL52011","THIODIGALACTOSIDE"
"118","CHEMBL1229967","CHEMBL1229967"
"119","CHEMBL447629","MITOBRONITOL"
"120","CHEMBL3084748","TROSPIUM CHLORIDE"
"121","CHEMBL4650519","ULILEDLIMAB"
"122","CHEMBL257978","DABUZALGRON"
"123","CHEMBL404216","TOFISOPAM"
